q_user,q_record,rep,seed,method,lambda,epsilon_learning,metric_value,run_id,config_hash,validation_pass
0.25,0.25,0,910000001,adaptive-v2,0.0,3.9,0.081875,8de9dbfc468a868a99fb4d574500d71e95152a5e1b4c56a87921a3d6636182f0,e4a2f63b014573ad60a7b6188504a03b78f116a57a359ee244a11f9ef4989e10,True
0.25,0.25,0,910000001,fixed-0.9,0.9,4.0,0.07719254032258065,7d10b89326c07dc165190151bfd39fb2ba73cc9a8b5c8aacfa1cced5fde77f2d,9c6b271de81088ed366a60ee80f756aeb15a803d9622f03930a6430212ca72c4,True
0.25,0.25,0,910000001,handle-only,1.0,4.0,0.07766633064516129,a26d68c67f0bbe0c667053617ea6544bd492a9217663bdaa46cd6a814a563f36,9c6b271de81088ed366a60ee80f756aeb15a803d9622f03930a6430212ca72c4,True
0.25,0.25,0,910000001,stable-local,0.0,4.0,0.08,c3dec3796b077c2193b649a04a97975a271fe13dd114b09cc42b9299c0fa201a,9c6b271de81088ed366a60ee80f756aeb15a803d9622f03930a6430212ca72c4,True
0.25,0.25,1,910000002,adaptive-v2,0.0,3.9,0.09484375,8046cd659841f45c05c553eb0dd9c3f6efa952bb409541f83e4d410549b28256,7a57d08ef16270e7418f5b3af5af4ac485613b8df2e2bced3e178616116ad68c,True
0.25,0.25,1,910000002,handle-only,1.0,4.0,0.08953125,310125e65379edb96169d48b5830fa8f87955a57e444a8b632e732a83494720d,260c102c439bf056b57379730fd9e015313649b0e90ab162c6880752c350c4f3,True
0.25,0.25,1,910000002,fixed-0.9,0.9,4.0,0.08875,65ef9e6138acb22fe0d420f01d76a936bacd050e7254106d5b800b7d6a68e169,260c102c439bf056b57379730fd9e015313649b0e90ab162c6880752c350c4f3,True
0.25,0.25,1,910000002,stable-local,0.0,4.0,0.09671875,e030e1b887c8a15736f97fe7c7568d1bfa64c67d6484414e145b33a5878ac898,260c102c439bf056b57379730fd9e015313649b0e90ab162c6880752c350c4f3,True
0.25,0.25,2,910000003,adaptive-v2,0.0,3.9,0.09219758064516129,55d99a9a000727f78ba453f5989f3e725439c5204da86aa9fd8f44f9fad15b5b,db3b7b95765c8888c18891bbe21e580fdd73fda9230b39812ead74c62a5a06fd,True
0.25,0.25,2,910000003,stable-local,0.0,4.0,0.09422883064516129,c52a928d28fd8223ce1349c0662a766810f4cbedcfd2c6164019b7bba9e98ad2,086ade49333024ec5e7a69b2e580d599e00d727b232adb19f7b21122c1df7a3c,True
