method,implementation_provenance,privacy_semantics,comparison_tier,seed,config_hash,lambda,H,B,C,q_user,q_record_given_handle,realized_q_user,realized_q_record_given_handle,overlap_probability,realized_overlap,gradient_correlation,mixed_local_slots,realized_pairwise_cosine_mean,realized_pairwise_cosine_p10,realized_pairwise_cosine_p50,realized_pairwise_cosine_p90,certified_sensitivity,structural_sensitivity_bound,certificate_type,noise_sensitivity,effective_record_utilization,partial_handle_record_fraction,residual_record_fraction,partial_handle_units,local_atom_units,local_mixed_units,active_units,clip_fraction,aggregate_snr,wall_time_seconds,deterministic_distortion,noisy_aggregate_mse,reported_method,gate_lambda,cell_hash
stable-local-fallback,this-work,user-certified,primary,600,402a55581fbd5e20a8d8af4c328923e2dc5aa6a81672f9b00e02608895609fe4,0.0,2,2,1.0,0.75,0.5,0.75,0.5,0.75,0.759,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.0,1.0,0,1759,0,1759,1.0,5.980361255259028,0.031057099986355752,0.00011469496811896592,0.00012278542268984096,stable-local-fallback,0.0,8bb832a362a919870d707601064d6bff9f7568b14ff113c72e38bb4b44a76a0f
unitscope-tuned,this-work,user-certified,primary,600,402a55581fbd5e20a8d8af4c328923e2dc5aa6a81672f9b00e02608895609fe4,0.75,2,2,1.0,0.75,0.5,0.75,0.5,0.75,0.759,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.37436043206367253,0.6256395679363275,1317,1544,0,2861,1.0,5.177061029515785,0.041934699984267354,0.00030671541763970965,0.00032802367124190666,ungated-unitscope-lambda075,0.75,8bb832a362a919870d707601064d6bff9f7568b14ff113c72e38bb4b44a76a0f
unitscope-tuned,this-work,user-certified,primary,600,0d43a48591b0b58ed62d407112b18ef2d9b6a7e3fcaf448780bbfadf2268b052,0.0,2,2,1.0,0.75,0.5,0.75,0.5,0.75,0.759,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.0,1.0,0,1759,0,1759,1.0,5.980361255259028,0.030352900037541986,0.00011469496811896592,0.00012278542268984096,gated-unitscope,0.0,8bb832a362a919870d707601064d6bff9f7568b14ff113c72e38bb4b44a76a0f
stable-local-fallback,this-work,user-certified,primary,601,402a55581fbd5e20a8d8af4c328923e2dc5aa6a81672f9b00e02608895609fe4,0.0,2,2,1.0,0.75,0.5,0.75,0.5,0.75,0.755,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.0,1.0,0,1755,0,1755,1.0,3.6639356537155376,0.031379499996546656,6.718932298451898e-05,0.00012440075218010888,stable-local-fallback,0.0,70ad6de74c5ada9bafc40b44923d59ba1fb14fe40e6db2d607ab119f3e3f4070
unitscope-tuned,this-work,user-certified,primary,601,402a55581fbd5e20a8d8af4c328923e2dc5aa6a81672f9b00e02608895609fe4,0.75,2,2,1.0,0.75,0.5,0.75,0.5,0.75,0.755,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.3754985754985755,0.6245014245014245,1318,1564,0,2882,1.0,3.059400028300059,0.04250699997646734,0.00022395142769127336,0.00031199249531064306,ungated-unitscope-lambda075,0.75,70ad6de74c5ada9bafc40b44923d59ba1fb14fe40e6db2d607ab119f3e3f4070
unitscope-tuned,this-work,user-certified,primary,601,0d43a48591b0b58ed62d407112b18ef2d9b6a7e3fcaf448780bbfadf2268b052,0.0,2,2,1.0,0.75,0.5,0.75,0.5,0.75,0.755,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.0,1.0,0,1755,0,1755,1.0,3.6639356537155376,0.030641500023193657,6.718932298451898e-05,0.00012440075218010888,gated-unitscope,0.0,70ad6de74c5ada9bafc40b44923d59ba1fb14fe40e6db2d607ab119f3e3f4070
stable-local-fallback,this-work,user-certified,primary,602,402a55581fbd5e20a8d8af4c328923e2dc5aa6a81672f9b00e02608895609fe4,0.0,2,2,1.0,0.75,0.5,0.75,0.5,0.75,0.766,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.0,1.0,0,1766,0,1766,1.0,4.685581887211569,0.029949799994938076,8.768219458996285e-05,0.00011544621639996019,stable-local-fallback,0.0,6545b88a718675f10d445c49d23ee7b96da09b4ab1fca837929fff281632e815
unitscope-tuned,this-work,user-certified,primary,602,402a55581fbd5e20a8d8af4c328923e2dc5aa6a81672f9b00e02608895609fe4,0.75,2,2,1.0,0.75,0.5,0.75,0.5,0.75,0.766,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.37514156285390715,0.6248584371460929,1325,1586,0,2911,1.0,4.107873428035207,0.041992400016169995,0.00024297017787066374,0.00027012543463665454,ungated-unitscope-lambda075,0.75,6545b88a718675f10d445c49d23ee7b96da09b4ab1fca837929fff281632e815
unitscope-tuned,this-work,user-certified,primary,602,0d43a48591b0b58ed62d407112b18ef2d9b6a7e3fcaf448780bbfadf2268b052,0.0,2,2,1.0,0.75,0.5,0.75,0.5,0.75,0.766,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.0,1.0,0,1766,0,1766,1.0,4.685581887211569,0.031136500008869916,8.768219458996285e-05,0.00011544621639996019,gated-unitscope,0.0,6545b88a718675f10d445c49d23ee7b96da09b4ab1fca837929fff281632e815
stable-local-fallback,this-work,user-certified,primary,603,402a55581fbd5e20a8d8af4c328923e2dc5aa6a81672f9b00e02608895609fe4,0.0,2,2,1.0,0.75,0.5,0.75,0.5,0.75,0.73,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.0,1.0,0,1730,0,1730,1.0,4.3590746182046844,0.029132199997548014,9.208851468138706e-05,0.00015177325548969864,stable-local-fallback,0.0,00100129357a8a2faa2a615714de962d89f5c6d1a50f77405fb01c45e6bf669f
