B,mixed_local_slots,reported_method,deterministic_distortion_mean,deterministic_distortion_ci_lower,deterministic_distortion_ci_upper,noisy_aggregate_mse_mean,noisy_aggregate_mse_ci_lower,noisy_aggregate_mse_ci_upper,seeds,gate_lambda,certified_sensitivity_max
2,False,gated-unitscope,8.379706252462774e-05,7.44901203236761e-05,9.383143837524892e-05,0.0001245866606006187,0.00011516689494239881,0.00013538208714728627,10,0.0,1.0
2,False,stable-local-fallback,8.379706252462774e-05,7.437330073576625e-05,9.37516445187981e-05,0.0001245866606006187,0.00011522980939371891,0.00013529374037281935,10,0.0,1.0
2,False,ungated-unitscope-lambda075,0.00025665993703186677,0.00023534117170328605,0.0002760795384055317,0.00030168674150354006,0.00027450705621102597,0.0003212795715624824,10,0.75,1.0
2,True,gated-unitscope,0.0003360690967010968,0.0003062495994181353,0.0003644886714950382,0.00038382401809409567,0.0003485657454663548,0.0004113502032263156,10,0.75,1.0
2,True,stable-local-fallback,0.00040713762251523756,0.0003587046718639848,0.00046557393201900976,0.0004607838761513944,0.00041481292661449626,0.00051015473469032,10,0.0,1.0
2,True,ungated-unitscope-lambda075,0.0003360690967010968,0.00030667670922793894,0.000364555334434791,0.00038382401809409567,0.00034813216565038996,0.00041068881647802975,10,0.75,1.0
4,False,gated-unitscope,0.0003360690967010967,0.00030560657655377,0.0003643730232270521,0.0003838240180940956,0.00034798601262813676,0.00041117968971792797,10,0.75,1.0
4,False,stable-local-fallback,0.0004071376225152374,0.00035839340395604926,0.00046538352000527537,0.00046078387615139437,0.0004142498662930994,0.000510060943705536,10,0.0,1.0
4,False,ungated-unitscope-lambda075,0.0003360690967010967,0.0003061414387050938,0.0003644337768844615,0.0003838240180940956,0.00034851530817142315,0.0004108350342779917,10,0.75,1.0
4,True,gated-unitscope,0.0003819065292653688,0.00034672729935494786,0.0004156138219641228,0.00043102550911903033,0.00038990097035682917,0.0004635098584753369,10,0.75,1.0
4,True,stable-local-fallback,0.0006891311048308273,0.0006040989972436389,0.0007893149220812069,0.0007492056862470671,0.0006654750945748417,0.0008379291044583533,10,0.0,1.0
4,True,ungated-unitscope-lambda075,0.0003819065292653688,0.00034686766316439655,0.0004154402520243626,0.00043102550911903033,0.00039007032156311756,0.0004633986955601795,10,0.75,1.0
6,False,gated-unitscope,0.0003661730996898958,0.0003328127426179192,0.0003983553129968023,0.0004148373933900031,0.0003755091790275227,0.00044556303918493075,10,0.75,1.0
6,False,stable-local-fallback,0.0005862204475907946,0.0005137732227583163,0.0006718104905360959,0.0006441522530803402,0.0005738089447590407,0.0007198436919896296,10,0.0,1.0
6,False,ungated-unitscope-lambda075,0.0003661730996898958,0.000333159530813005,0.00039817013566623713,0.0004148373933900031,0.00037550926634406014,0.00044527692182382505,10,0.75,1.0
6,True,gated-unitscope,0.0003980942442282232,0.00036130285187641905,0.00043371925076081776,0.00044766791023543906,0.0004046905674652367,0.0004821170507066782,10,0.75,1.0
6,True,stable-local-fallback,0.0008009545918723623,0.0007014609505159789,0.0009148953091878895,0.0008631719492152966,0.0007647301388832782,0.0009665783660430311,10,0.0,1.0
6,True,ungated-unitscope-lambda075,0.0003980942442282232,0.0003617135549561057,0.0004332819346487007,0.00044766791023543906,0.00040512167836692675,0.0004821858136667126,10,0.75,1.0
8,False,gated-unitscope,0.0003819065292653686,0.0003468961420797273,0.0004157568826979223,0.0004310255091190303,0.00038987633492649815,0.0004631024858639802,10,0.75,1.0
8,False,stable-local-fallback,0.000689131104830827,0.000604049389651473,0.0007903794024016744,0.000749205686247067,0.0006656840591067947,0.0008391440226610834,10,0.0,1.0
8,False,ungated-unitscope-lambda075,0.0003819065292653686,0.00034730068411826815,0.00041556855949300423,0.0004310255091190303,0.0003901032622001795,0.0004631477719664619,10,0.75,1.0
8,True,gated-unitscope,0.00040635845872991896,0.0003685480520659972,0.0004427357044215554,0.000456159467813912,0.000412602610055551,0.0004911727321700576,10,0.75,1.0
8,True,stable-local-fallback,0.0008602086465686933,0.0007537274805391098,0.0009850010886711142,0.0009234973918749749,0.0008182502130816401,0.0010369006243193257,10,0.0,1.0
8,True,ungated-unitscope-lambda075,0.00040635845872991896,0.00036918100344474677,0.00044288180583030684,0.000456159467813912,0.00041337861427545694,0.000491461687779749,10,0.75,1.0
