stage,H,B,mixed_local_slots,target_epsilon,policy_lambda,deterministic_improvement_vs_fallback_mean,deterministic_improvement_vs_fallback_ci_lower,deterministic_improvement_vs_fallback_ci_upper,deterministic_improvement_vs_handle_mean,deterministic_improvement_vs_handle_ci_lower,deterministic_improvement_vs_handle_ci_upper,noisy_improvement_vs_fallback_mean,noisy_improvement_vs_fallback_ci_lower,noisy_improvement_vs_fallback_ci_upper,noisy_improvement_vs_handle_mean,noisy_improvement_vs_handle_ci_lower,noisy_improvement_vs_handle_ci_upper,paired_seeds
fallback_bound,2,2,False,8.0,0.75,-0.0001770433860533905,-0.00019409520481258646,-0.0001591942243661491,0.00010715644127865,9.129684034707952e-05,0.00012382967462299998,-0.00018510663575637998,-0.0002049629171110714,-0.00016668595773988994,0.00010984035520394001,9.339138545281001e-05,0.00012760803500444273,10
fallback_bound,2,2,True,8.0,0.75,7.049381031518e-05,3.379751073785125e-05,0.00011351984510283052,2.6104041552500003e-05,9.457558243423253e-06,4.194598653211601e-05,6.726122031371999e-05,2.5861727271609504e-05,0.0001169168564079607,2.717965356516001e-05,8.265978067619265e-06,4.474902383175949e-05,10
fallback_bound,2,4,False,8.0,0.75,7.049381031518e-05,3.381300339995026e-05,0.00011307294820277669,2.6104041552500003e-05,9.469784951501505e-06,4.199869814465701e-05,6.726122031371999e-05,2.6290406119420493e-05,0.00011639352008228264,2.717965356516001e-05,8.31907550256575e-06,4.484659313810949e-05,10
fallback_bound,2,4,True,8.0,0.75,0.00031098213842859,0.00025152368097361004,0.00038148745083079665,-2.0749661986540004e-05,-3.87168761494545e-05,-4.412877470850511e-06,0.00031016487827786995,0.00024372734655971976,0.00039168850827006873,-2.0478200930210004e-05,-4.176248290055475e-05,-1.6963904607499957e-06,10
fallback_bound,2,6,False,8.0,0.75,0.00022217345647011002,0.00017079072915791448,0.0002820075009822497,-4.663056830869999e-06,-2.2021125287058246e-05,1.1416208174639741e-05,0.00022055108636915001,0.0001632347378685645,0.0002898130169431229,-4.123545455769989e-06,-2.4290248541147494e-05,1.4143864347039509e-05,10
fallback_bound,2,6,True,8.0,0.75,0.00040843672630775003,0.0003393098428487385,0.0004909600773657066,-3.730497111822e-05,-5.5793882399066995e-05,-2.066224468372001e-05,0.0004084245761072899,0.00033122891109601,0.0005038754756821717,-3.730156038064999e-05,-5.9495674034269e-05,-1.7970648864259986e-05,10
fallback_bound,2,8,False,8.0,0.75,0.00031098213842859,0.00025128538695483126,0.00038148864020555256,-2.0749661986540004e-05,-3.86243579448915e-05,-4.517652733068013e-06,0.00031016487827786995,0.00024359594842316898,0.0003915519447939032,-2.0478200930210004e-05,-4.161568742101001e-05,-1.7369467764067498e-06,10
fallback_bound,2,8,True,8.0,0.75,0.00046040623496758,0.00038517805771623274,0.000548251242660766,-4.575838967505e-05,-6.444229312310999e-05,-2.8656013281692506e-05,0.00046079663974226,0.000376464457525921,0.0005601072669313144,-4.588900409688e-05,-6.812421456028077e-05,-2.5815109808829983e-05,10
handle_multiplicity,1,6,False,8.0,0.75,0.00033105991496519,0.00028272711300714046,0.00038474424667018364,2.476777657379998e-06,-1.0985150273624003e-05,1.4653823013349242e-05,0.00033238973657052993,0.00027597657169534795,0.0004003903510764024,1.8053886320899917e-06,-1.4046400030762998e-05,1.710797571488548e-05,10
handle_multiplicity,2,6,False,8.0,0.75,0.00032752943530653004,0.000280903483083322,0.00038012833739110386,-2.5790780057099895e-06,-1.5986714815465478e-05,9.351826957244492e-06,0.00032843365729262,0.000273484040817593,0.0003951845898932253,-3.108600491209991e-06,-1.9430729221995995e-05,1.2067433717790498e-05,10
handle_multiplicity,4,6,False,8.0,0.75,0.00028482810152936,0.00024430911261463627,0.00033169165718638827,-1.8208763976240007e-05,-3.107194520505051e-05,-6.320993276817249e-06,0.00028589232903392006,0.00023751249851719053,0.00034664161688750464,-1.879162163461e-05,-3.5422439003036e-05,-3.8864005462899985e-06,10
privacy_level,2,4,False,1.0,0.75,7.049381031518e-05,3.359315209118025e-05,0.000113122467685362,2.6104041552500003e-05,9.624842582205758e-06,4.194954377398001e-05,4.707452148521004e-05,-3.563730854681847e-05,0.00014402602231581,3.3896575830499984e-05,-6.630444433252707e-06,6.842384945135941e-05,10
privacy_level,2,4,False,2.0,0.75,7.049381031518e-05,3.3600510205275764e-05,0.00011268333965845419,2.6104041552500003e-05,9.500812396999245e-06,4.2034246574251256e-05,5.8624040347729985e-05,1.5787926268032415e-06,0.00012731060797145999,3.005358886857002e-05,2.9934888586480457e-06,5.408659988394772e-05,10
privacy_level,2,4,False,4.0,0.75,7.049381031518e-05,3.388212055727001e-05,0.00011338200880985593,2.6104041552500003e-05,9.34227589002825e-06,4.19724776072155e-05,6.436927218495001e-05,1.8722193803725263e-05,0.00012034500720596667,2.8141920399450008e-05,6.471221721249246e-06,4.760580239564101e-05,10
privacy_level,2,4,False,8.0,0.75,7.049381031518e-05,3.3541401062800005e-05,0.00011478460334069623,2.6104041552500003e-05,9.030959059950005e-06,4.208771809575e-05,6.726122031371999e-05,2.62467147626625e-05,0.0001181005424610257,2.717965356516001e-05,7.816638803229e-06,4.477597852005302e-05,10
privacy_level,2,4,False,16.0,0.75,7.049381031518e-05,3.361342456407951e-05,0.00011329215912368395,2.6104041552500003e-05,9.355902217507251e-06,4.198517016637098e-05,6.872324785222e-05,2.9585820621585244e-05,0.0001152513445371604,2.669317851496999e-05,8.830653204472247e-06,4.3382895974415224e-05,10
