method,implementation_provenance,privacy_semantics,comparison_tier,seed,config_hash,lambda,H,B,C,q_user,q_record_given_handle,realized_q_user,realized_q_record_given_handle,overlap_probability,realized_overlap,gradient_correlation,mixed_local_slots,realized_pairwise_cosine_mean,realized_pairwise_cosine_p10,realized_pairwise_cosine_p50,realized_pairwise_cosine_p90,certified_sensitivity,structural_sensitivity_bound,certificate_type,noise_sensitivity,effective_record_utilization,partial_handle_record_fraction,residual_record_fraction,partial_handle_units,local_atom_units,local_mixed_units,active_units,clip_fraction,aggregate_snr,wall_time_seconds,deterministic_distortion,noisy_aggregate_mse,stage,cell_hash,target_epsilon,policy_lambda,achieved_epsilon,noise_multiplier,records_per_silo,handles_per_user,c_partial,c_local_atom,c_local_mixed
stable-local-fallback,this-work,user-certified,primary,0,7f38e862679e8341df21ad97efd4256f902b0a932e5fc4c878aac6f979de6981,0.0,1,6,1.0,0.75,0.75,0.75,0.75,0.75,0.753,0.5,False,0.5,0.4999999999999999,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.0,1.0,0,1753,0,1753,1.0,1.3765985532058431,0.0325606999977026,0.0007197730086262,0.0007810104871313,handle_multiplicity,f4b315b3819ea19f0c84701b8f6a853fef03b696e42c6f5b46c8ed0dedd1229c,8.0,0.75,8.0,0.7415653755729036,4,1,0.75,0.0416666666666666,0.0208333333333333
handle-only-drop-residual,this-work,user-certified,primary,0,7f38e862679e8341df21ad97efd4256f902b0a932e5fc4c878aac6f979de6981,1.0,1,6,1.0,0.75,0.75,0.75,0.75,0.75,0.753,0.5,False,0.5,0.4999999999999999,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,0.5651739874500855,0.5651739874500855,0.0,750,0,0,750,1.0,4.333945140035929,0.0582336000079521,0.0002813822476355,0.0003187470948355,handle_multiplicity,f4b315b3819ea19f0c84701b8f6a853fef03b696e42c6f5b46c8ed0dedd1229c,8.0,0.75,8.0,0.7415653755729036,4,1,0.75,0.0416666666666666,0.0208333333333333
unitscope-equal,this-work,user-certified,primary,0,7f38e862679e8341df21ad97efd4256f902b0a932e5fc4c878aac6f979de6981,0.1428571428571428,1,6,1.0,0.75,0.75,0.75,0.75,0.75,0.753,0.5,False,0.5,0.4999999999999999,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.5651739874500855,0.4348260125499144,750,1517,0,2267,1.0,1.6080955663210426,0.035908499994548,0.0006487090270847,0.0007066063637878,handle_multiplicity,f4b315b3819ea19f0c84701b8f6a853fef03b696e42c6f5b46c8ed0dedd1229c,8.0,0.75,8.0,0.7415653755729036,4,1,0.75,0.0416666666666666,0.0208333333333333
unitscope-tuned,this-work,user-certified,primary,0,7f38e862679e8341df21ad97efd4256f902b0a932e5fc4c878aac6f979de6981,0.75,1,6,1.0,0.75,0.75,0.75,0.75,0.75,0.753,0.5,False,0.5,0.4999999999999999,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.5651739874500855,0.4348260125499144,750,1517,0,2267,1.0,3.503664191843998,0.035594700006186,0.0003103601038771,0.0003537135938489,handle_multiplicity,f4b315b3819ea19f0c84701b8f6a853fef03b696e42c6f5b46c8ed0dedd1229c,8.0,0.75,8.0,0.7415653755729036,4,1,0.75,0.0416666666666666,0.0208333333333333
naive-recalibrated-2c,this-work,user-certified,primary,0,7f38e862679e8341df21ad97efd4256f902b0a932e5fc4c878aac6f979de6981,,1,6,1.0,0.75,0.75,0.75,0.75,0.75,0.753,0.5,False,0.5,0.4999999999999999,0.5,0.5000000000000001,2.0,2.0,plan-delta,2.0,1.0,0.5651739874500855,0.4348260125499144,750,1517,0,2267,1.0,2.690132495688722,0.0366852000006474,0.0001675129107456,0.0003288773102277,handle_multiplicity,f4b315b3819ea19f0c84701b8f6a853fef03b696e42c6f5b46c8ed0dedd1229c,8.0,0.75,8.0,0.7415653755729036,4,1,0.75,0.0416666666666666,0.0208333333333333
full-identity-reference,oracle,oracle-assumption,full-identity-reference,0,7f38e862679e8341df21ad97efd4256f902b0a932e5fc4c878aac6f979de6981,,1,6,1.0,0.75,0.75,0.75,0.75,0.75,0.753,0.5,False,0.5,0.4999999999999999,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.0,0.0,0,0,0,1000,1.0,5.391970065943077,0.0501255999988643,0.0,4.382932526256055e-05,handle_multiplicity,f4b315b3819ea19f0c84701b8f6a853fef03b696e42c6f5b46c8ed0dedd1229c,8.0,0.75,8.0,0.7415653755729036,4,1,0.75,0.0416666666666666,0.0208333333333333
non-private-reference,oracle,non-private,diagnostic,0,7f38e862679e8341df21ad97efd4256f902b0a932e5fc4c878aac6f979de6981,,1,6,1.0,0.75,0.75,0.75,0.75,0.75,0.753,0.5,False,0.5,0.4999999999999999,0.5,0.5000000000000001,,,non-private,0.0,1.0,0.0,0.0,0,0,0,0,0.0,inf,0.0379885000002104,0.0093163767020466,0.0093163767020466,handle_multiplicity,f4b315b3819ea19f0c84701b8f6a853fef03b696e42c6f5b46c8ed0dedd1229c,8.0,0.75,8.0,0.7415653755729036,4,1,0.75,0.0416666666666666,0.0208333333333333
naive-claimed-c,this-work,unsafe-diagnostic,diagnostic,0,7f38e862679e8341df21ad97efd4256f902b0a932e5fc4c878aac6f979de6981,,1,6,1.0,0.75,0.75,0.75,0.75,0.75,0.753,0.5,False,0.5,0.4999999999999999,0.5,0.5000000000000001,,2.0,unsafe-diagnostic,1.0,1.0,0.5651739874500855,0.4348260125499144,750,1517,0,2267,1.0,5.380264991377444,0.0360111000045435,0.0001675129107456,0.0002043657852241,handle_multiplicity,f4b315b3819ea19f0c84701b8f6a853fef03b696e42c6f5b46c8ed0dedd1229c,8.0,0.75,8.0,0.7415653755729036,4,1,0.75,0.0416666666666666,0.0208333333333333
stable-local-fallback,this-work,user-certified,primary,1,7f38e862679e8341df21ad97efd4256f902b0a932e5fc4c878aac6f979de6981,0.0,1,6,1.0,0.75,0.75,0.75,0.75,0.75,0.747,0.5,False,0.5,0.4999999999999999,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.0,1.0,0,1747,0,1747,1.0,1.4395876182046476,0.0305391999863786,0.000592261856709,0.000641406702195,handle_multiplicity,f4b315b3819ea19f0c84701b8f6a853fef03b696e42c6f5b46c8ed0dedd1229c,8.0,0.75,8.0,0.7415653755729036,4,1,0.75,0.0416666666666666,0.0208333333333333
handle-only-drop-residual,this-work,user-certified,primary,1,7f38e862679e8341df21ad97efd4256f902b0a932e5fc4c878aac6f979de6981,1.0,1,6,1.0,0.75,0.75,0.75,0.75,0.75,0.747,0.5,False,0.5,0.4999999999999999,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,0.5666857469948483,0.5666857469948483,0.0,750,0,0,750,1.0,4.977915116688778,0.0350740000139921,0.0002760371262563,0.0003279013442407,handle_multiplicity,f4b315b3819ea19f0c84701b8f6a853fef03b696e42c6f5b46c8ed0dedd1229c,8.0,0.75,8.0,0.7415653755729036,4,1,0.75,0.0416666666666666,0.0208333333333333
