method,implementation_provenance,privacy_semantics,comparison_tier,seed,config_hash,lambda,H,B,C,q_user,q_record_given_handle,realized_q_user,realized_q_record_given_handle,overlap_probability,realized_overlap,gradient_correlation,mixed_local_slots,realized_pairwise_cosine_mean,realized_pairwise_cosine_p10,realized_pairwise_cosine_p50,realized_pairwise_cosine_p90,certified_sensitivity,structural_sensitivity_bound,certificate_type,noise_sensitivity,effective_record_utilization,partial_handle_record_fraction,residual_record_fraction,partial_handle_units,local_atom_units,local_mixed_units,active_units,clip_fraction,aggregate_snr,wall_time_seconds,deterministic_distortion,noisy_aggregate_mse,stage,cell_hash,target_epsilon,policy_lambda,achieved_epsilon,noise_multiplier,records_per_silo,handles_per_user,c_partial,c_local_atom,c_local_mixed
stable-local-fallback,this-work,user-certified,primary,0,6f271830c504d9e353b48199445cd74bef6f15cd4dae8e2a5bf88d1f12d6ed02,0.0,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.753,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.0,1.0,0,1753,0,1753,1.0,2.064897829808766,0.023119899997254834,0.0005048202526941429,0.0005657607749475885,privacy_level,362c0a07687138bcd7533d1ab0cffb289832bb8eb057411cd604738291479ddc,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.0625,0.03125
handle-only-drop-residual,this-work,user-certified,primary,0,6f271830c504d9e353b48199445cd74bef6f15cd4dae8e2a5bf88d1f12d6ed02,1.0,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.753,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,0.376782658300057,0.376782658300057,0.0,1321,0,0,1321,1.0,3.8181243406976857,0.03221629999461584,0.00037477816122951074,0.0004285884934897713,privacy_level,362c0a07687138bcd7533d1ab0cffb289832bb8eb057411cd604738291479ddc,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.0625,0.03125
unitscope-equal,this-work,user-certified,primary,0,6f271830c504d9e353b48199445cd74bef6f15cd4dae8e2a5bf88d1f12d6ed02,0.3333333333333333,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.753,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.376782658300057,0.6232173416999429,1321,1551,0,2872,1.0,2.352151240194199,0.055983999991440214,0.00045351835665321876,0.0005096810638747071,privacy_level,362c0a07687138bcd7533d1ab0cffb289832bb8eb057411cd604738291479ddc,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.0625,0.03125
unitscope-tuned,this-work,user-certified,primary,0,6f271830c504d9e353b48199445cd74bef6f15cd4dae8e2a5bf88d1f12d6ed02,0.75,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.753,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.376782658300057,0.6232173416999429,1321,1551,0,2872,1.0,3.2329304357815998,0.03256649999821093,0.0003721267909254241,0.00042681926379614524,privacy_level,362c0a07687138bcd7533d1ab0cffb289832bb8eb057411cd604738291479ddc,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.0625,0.03125
naive-recalibrated-2c,this-work,user-certified,primary,0,6f271830c504d9e353b48199445cd74bef6f15cd4dae8e2a5bf88d1f12d6ed02,,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.753,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,2.0,2.0,plan-delta,2.0,1.0,0.376782658300057,0.6232173416999429,1321,1551,0,2872,1.0,2.6845167064783877,0.0336914999934379,0.00017363883429874326,0.0003599331567315543,privacy_level,362c0a07687138bcd7533d1ab0cffb289832bb8eb057411cd604738291479ddc,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.0625,0.03125
full-identity-reference,oracle,oracle-assumption,full-identity-reference,0,6f271830c504d9e353b48199445cd74bef6f15cd4dae8e2a5bf88d1f12d6ed02,,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.753,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.0,0.0,0,0,0,1000,1.0,5.391970065943077,0.04170840000733733,0.0,4.382932526256054e-05,privacy_level,362c0a07687138bcd7533d1ab0cffb289832bb8eb057411cd604738291479ddc,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.0625,0.03125
non-private-reference,oracle,non-private,diagnostic,0,6f271830c504d9e353b48199445cd74bef6f15cd4dae8e2a5bf88d1f12d6ed02,,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.753,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,,,non-private,0.0,1.0,0.0,0.0,0,0,0,0,0.0,inf,0.019308799994178116,0.0009896145859756848,0.0009896145859756848,privacy_level,362c0a07687138bcd7533d1ab0cffb289832bb8eb057411cd604738291479ddc,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.0625,0.03125
naive-claimed-c,this-work,unsafe-diagnostic,diagnostic,0,6f271830c504d9e353b48199445cd74bef6f15cd4dae8e2a5bf88d1f12d6ed02,,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.753,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,,2.0,unsafe-diagnostic,1.0,1.0,0.376782658300057,0.6232173416999429,1321,1551,0,2872,1.0,5.369033412956775,0.0327839999954449,0.00017363883429874326,0.00022295667025258822,privacy_level,362c0a07687138bcd7533d1ab0cffb289832bb8eb057411cd604738291479ddc,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.0625,0.03125
stable-local-fallback,this-work,user-certified,primary,1,6f271830c504d9e353b48199445cd74bef6f15cd4dae8e2a5bf88d1f12d6ed02,0.0,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.0,1.0,0,1747,0,1747,1.0,2.1593814273069727,0.023095600001397543,0.0004152697789505569,0.000463157870752224,privacy_level,362c0a07687138bcd7533d1ab0cffb289832bb8eb057411cd604738291479ddc,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.0625,0.03125
handle-only-drop-residual,this-work,user-certified,primary,1,6f271830c504d9e353b48199445cd74bef6f15cd4dae8e2a5bf88d1f12d6ed02,1.0,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,0.37779049799656556,0.37779049799656556,0.0,1320,0,0,1320,1.0,4.049792358551843,0.03383499999472406,0.0004679587074854589,0.0005397622034925536,privacy_level,362c0a07687138bcd7533d1ab0cffb289832bb8eb057411cd604738291479ddc,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.0625,0.03125
