method,implementation_provenance,privacy_semantics,comparison_tier,seed,config_hash,lambda,H,B,C,q_user,q_record_given_handle,realized_q_user,realized_q_record_given_handle,overlap_probability,realized_overlap,gradient_correlation,mixed_local_slots,realized_pairwise_cosine_mean,realized_pairwise_cosine_p10,realized_pairwise_cosine_p50,realized_pairwise_cosine_p90,certified_sensitivity,structural_sensitivity_bound,certificate_type,noise_sensitivity,effective_record_utilization,partial_handle_record_fraction,residual_record_fraction,partial_handle_units,local_atom_units,local_mixed_units,active_units,clip_fraction,aggregate_snr,wall_time_seconds,deterministic_distortion,noisy_aggregate_mse,stage,cell_hash,target_epsilon,policy_lambda,achieved_epsilon,noise_multiplier,records_per_silo,handles_per_user,c_partial,c_local_atom,c_local_mixed
stable-local-fallback,this-work,user-certified,primary,0,168af9c332c250c673238258cd07f1a818a013785779b7f3097a9b919ebe4104,0.0,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.753,0.5,True,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.0,1.0,0,0,1753,1753,1.0,1.0324489149043825,0.023120800004107878,0.0008428226874777991,0.0009042086441087808,fallback_bound,3a7303b294e436411fe14140c02502ad2dbe10eacd21f02beb37957820312245,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.0625,0.03125
handle-only-drop-residual,this-work,user-certified,primary,0,168af9c332c250c673238258cd07f1a818a013785779b7f3097a9b919ebe4104,1.0,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.753,0.5,True,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,0.376782658300057,0.376782658300057,0.0,1321,0,0,1321,1.0,3.818124340697683,0.03362490001018159,0.0003747781612295103,0.00042858849348977084,fallback_bound,3a7303b294e436411fe14140c02502ad2dbe10eacd21f02beb37957820312245,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.0625,0.03125
unitscope-equal,this-work,user-certified,primary,0,168af9c332c250c673238258cd07f1a818a013785779b7f3097a9b919ebe4104,0.3333333333333333,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.753,0.5,True,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.376782658300057,0.6232173416999429,1321,0,1551,2872,1.0,1.7896778043189248,0.05516549998719711,0.0006266235826962181,0.0006842837886865117,fallback_bound,3a7303b294e436411fe14140c02502ad2dbe10eacd21f02beb37957820312245,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.0625,0.03125
unitscope-tuned,this-work,user-certified,primary,0,168af9c332c250c673238258cd07f1a818a013785779b7f3097a9b919ebe4104,0.75,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.753,0.5,True,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.376782658300057,0.6232173416999429,1321,0,1551,2872,1.0,3.0452444756008825,0.033553700006450526,0.0004236864780151584,0.00047894051292418134,fallback_bound,3a7303b294e436411fe14140c02502ad2dbe10eacd21f02beb37957820312245,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.0625,0.03125
naive-recalibrated-2c,this-work,user-certified,primary,0,168af9c332c250c673238258cd07f1a818a013785779b7f3097a9b919ebe4104,,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.753,0.5,True,0.5,0.49999999999999994,0.5,0.5000000000000001,2.0,2.0,plan-delta,2.0,1.0,0.376782658300057,0.6232173416999429,1321,0,1551,2872,1.0,2.283772920444903,0.03144429999520071,0.00023739968252901628,0.0004281865012682428,fallback_bound,3a7303b294e436411fe14140c02502ad2dbe10eacd21f02beb37957820312245,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.0625,0.03125
full-identity-reference,oracle,oracle-assumption,full-identity-reference,0,168af9c332c250c673238258cd07f1a818a013785779b7f3097a9b919ebe4104,,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.753,0.5,True,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.0,0.0,0,0,0,1000,1.0,5.3919700659430765,0.04038350000337232,0.0,4.3829325262560534e-05,fallback_bound,3a7303b294e436411fe14140c02502ad2dbe10eacd21f02beb37957820312245,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.0625,0.03125
non-private-reference,oracle,non-private,diagnostic,0,168af9c332c250c673238258cd07f1a818a013785779b7f3097a9b919ebe4104,,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.753,0.5,True,0.5,0.49999999999999994,0.5,0.5000000000000001,,,non-private,0.0,1.0,0.0,0.0,0,0,0,0,0.0,inf,0.019014600009541027,0.000989614585975685,0.000989614585975685,fallback_bound,3a7303b294e436411fe14140c02502ad2dbe10eacd21f02beb37957820312245,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.0625,0.03125
naive-claimed-c,this-work,unsafe-diagnostic,diagnostic,0,168af9c332c250c673238258cd07f1a818a013785779b7f3097a9b919ebe4104,,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.753,0.5,True,0.5,0.49999999999999994,0.5,0.5000000000000001,,2.0,unsafe-diagnostic,1.0,1.0,0.376782658300057,0.6232173416999429,1321,0,1551,2872,1.0,4.567545840889806,0.03243069999734871,0.00023739968252901628,0.000288963766636069,fallback_bound,3a7303b294e436411fe14140c02502ad2dbe10eacd21f02beb37957820312245,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.0625,0.03125
stable-local-fallback,this-work,user-certified,primary,1,168af9c332c250c673238258cd07f1a818a013785779b7f3097a9b919ebe4104,0.0,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,True,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.0,1.0,0,0,1747,1747,1.0,1.0796907136534863,0.02293439999630209,0.0006932251246979828,0.0007429983470261606,fallback_bound,3a7303b294e436411fe14140c02502ad2dbe10eacd21f02beb37957820312245,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.0625,0.03125
handle-only-drop-residual,this-work,user-certified,primary,1,168af9c332c250c673238258cd07f1a818a013785779b7f3097a9b919ebe4104,1.0,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,True,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,0.37779049799656556,0.37779049799656556,0.0,1320,0,0,1320,1.0,4.049792358551845,0.03265360000659712,0.00046795870748545887,0.0005397622034925535,fallback_bound,3a7303b294e436411fe14140c02502ad2dbe10eacd21f02beb37957820312245,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.0625,0.03125
unitscope-equal,this-work,user-certified,primary,1,168af9c332c250c673238258cd07f1a818a013785779b7f3097a9b919ebe4104,0.3333333333333333,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,True,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.37779049799656556,0.6222095020034345,1320,0,1540,2860,1.0,1.888326269553744,0.03229789999022614,0.0005436403537385418,0.0005993120519523747,fallback_bound,3a7303b294e436411fe14140c02502ad2dbe10eacd21f02beb37957820312245,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.0625,0.03125
unitscope-tuned,this-work,user-certified,primary,1,168af9c332c250c673238258cd07f1a818a013785779b7f3097a9b919ebe4104,0.75,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,True,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.37779049799656556,0.6222095020034345,1320,0,1540,2860,1.0,3.2161314778015906,0.034548100011306815,0.00045642082818895803,0.0005221749000235796,fallback_bound,3a7303b294e436411fe14140c02502ad2dbe10eacd21f02beb37957820312245,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.0625,0.03125
naive-recalibrated-2c,this-work,user-certified,primary,1,168af9c332c250c673238258cd07f1a818a013785779b7f3097a9b919ebe4104,,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,True,0.5,0.49999999999999994,0.5,0.5000000000000001,2.0,2.0,plan-delta,2.0,1.0,0.37779049799656556,0.6222095020034345,1320,0,1540,2860,1.0,2.4039958515537854,0.03536189999431372,0.00031042927461520355,0.0005100997439926175,fallback_bound,3a7303b294e436411fe14140c02502ad2dbe10eacd21f02beb37957820312245,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.0625,0.03125
full-identity-reference,oracle,oracle-assumption,full-identity-reference,1,168af9c332c250c673238258cd07f1a818a013785779b7f3097a9b919ebe4104,,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,True,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.0,0.0,0,0,0,1000,1.0,5.709739005623294,0.04226679999555927,0.0,3.2084292219098765e-05,fallback_bound,3a7303b294e436411fe14140c02502ad2dbe10eacd21f02beb37957820312245,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.0625,0.03125
non-private-reference,oracle,non-private,diagnostic,1,168af9c332c250c673238258cd07f1a818a013785779b7f3097a9b919ebe4104,,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,True,0.5,0.49999999999999994,0.5,0.5000000000000001,,,non-private,0.0,1.0,0.0,0.0,0,0,0,0,0.0,inf,0.019127200008369982,0.0007473834350982828,0.0007473834350982828,fallback_bound,3a7303b294e436411fe14140c02502ad2dbe10eacd21f02beb37957820312245,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.0625,0.03125
naive-claimed-c,this-work,unsafe-diagnostic,diagnostic,1,168af9c332c250c673238258cd07f1a818a013785779b7f3097a9b919ebe4104,,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,True,0.5,0.49999999999999994,0.5,0.5000000000000001,,2.0,unsafe-diagnostic,1.0,1.0,0.37779049799656556,0.6222095020034345,1320,0,1540,2860,1.0,4.807991703107571,0.052327999990666285,0.00031042927461520355,0.0003781802170848118,fallback_bound,3a7303b294e436411fe14140c02502ad2dbe10eacd21f02beb37957820312245,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.0625,0.03125
stable-local-fallback,this-work,user-certified,primary,2,168af9c332c250c673238258cd07f1a818a013785779b7f3097a9b919ebe4104,0.0,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,True,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.0,1.0,0,0,1747,1747,1.0,1.0415597789159912,0.02396999999473337,0.0006232759334675851,0.0007288449843958825,fallback_bound,3a7303b294e436411fe14140c02502ad2dbe10eacd21f02beb37957820312245,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.0625,0.03125
handle-only-drop-residual,this-work,user-certified,primary,2,168af9c332c250c673238258cd07f1a818a013785779b7f3097a9b919ebe4104,1.0,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,True,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,0.37378362907842017,0.37378362907842017,0.0,1306,0,0,1306,1.0,3.597003782480754,0.03418400000373367,0.00038269572066739334,0.0004624847009716121,fallback_bound,3a7303b294e436411fe14140c02502ad2dbe10eacd21f02beb37957820312245,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.0625,0.03125
unitscope-equal,this-work,user-certified,primary,2,168af9c332c250c673238258cd07f1a818a013785779b7f3097a9b919ebe4104,0.3333333333333333,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,True,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.37378362907842017,0.6262163709215799,1306,0,1579,2885,1.0,1.7165301899126406,0.0334930999961216,0.0004925470844666263,0.0005917675468220361,fallback_bound,3a7303b294e436411fe14140c02502ad2dbe10eacd21f02beb37957820312245,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.0625,0.03125
unitscope-tuned,this-work,user-certified,primary,2,168af9c332c250c673238258cd07f1a818a013785779b7f3097a9b919ebe4104,0.75,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,True,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.37378362907842017,0.6262163709215799,1306,0,1579,2885,1.0,2.8749256495006956,0.03562989999772981,0.000391402773670937,0.0004784785597443524,fallback_bound,3a7303b294e436411fe14140c02502ad2dbe10eacd21f02beb37957820312245,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.0625,0.03125
naive-recalibrated-2c,this-work,user-certified,primary,2,168af9c332c250c673238258cd07f1a818a013785779b7f3097a9b919ebe4104,,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,True,0.5,0.49999999999999994,0.5,0.5000000000000001,2.0,2.0,plan-delta,2.0,1.0,0.37378362907842017,0.6262163709215799,1306,0,1579,2885,1.0,2.168746894205748,0.033314899992547,0.00025002222522215,0.00044931266965183376,fallback_bound,3a7303b294e436411fe14140c02502ad2dbe10eacd21f02beb37957820312245,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.0625,0.03125
full-identity-reference,oracle,oracle-assumption,full-identity-reference,2,168af9c332c250c673238258cd07f1a818a013785779b7f3097a9b919ebe4104,,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,True,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.0,0.0,0,0,0,1000,1.0,5.22654729687365,0.03991340000357013,0.0,3.507377284459695e-05,fallback_bound,3a7303b294e436411fe14140c02502ad2dbe10eacd21f02beb37957820312245,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.0625,0.03125
non-private-reference,oracle,non-private,diagnostic,2,168af9c332c250c673238258cd07f1a818a013785779b7f3097a9b919ebe4104,,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,True,0.5,0.49999999999999994,0.5,0.5000000000000001,,,non-private,0.0,1.0,0.0,0.0,0,0,0,0,0.0,inf,0.01934080000501126,0.0008851428222059767,0.0008851428222059767,fallback_bound,3a7303b294e436411fe14140c02502ad2dbe10eacd21f02beb37957820312245,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.0625,0.03125
naive-claimed-c,this-work,unsafe-diagnostic,diagnostic,2,168af9c332c250c673238258cd07f1a818a013785779b7f3097a9b919ebe4104,,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,True,0.5,0.49999999999999994,0.5,0.5000000000000001,,2.0,unsafe-diagnostic,1.0,1.0,0.37378362907842017,0.6262163709215799,1306,0,1579,2885,1.0,4.337493788411496,0.03276149999874178,0.00025002222522215,0.0003145936745923949,fallback_bound,3a7303b294e436411fe14140c02502ad2dbe10eacd21f02beb37957820312245,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.0625,0.03125
stable-local-fallback,this-work,user-certified,primary,3,168af9c332c250c673238258cd07f1a818a013785779b7f3097a9b919ebe4104,0.0,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.741,0.5,True,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.0,1.0,0,0,1741,1741,1.0,1.133338151974923,0.023386800006846897,0.0006662424099627193,0.0006871956713385847,fallback_bound,3a7303b294e436411fe14140c02502ad2dbe10eacd21f02beb37957820312245,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.0625,0.03125
handle-only-drop-residual,this-work,user-certified,primary,3,168af9c332c250c673238258cd07f1a818a013785779b7f3097a9b919ebe4104,1.0,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.741,0.5,True,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,0.3767949454336588,0.3767949454336588,0.0,1312,0,0,1312,1.0,4.082654246670134,0.03345279999484774,0.00036932250388974216,0.0003984222846491803,fallback_bound,3a7303b294e436411fe14140c02502ad2dbe10eacd21f02beb37957820312245,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.0625,0.03125
unitscope-equal,this-work,user-certified,primary,3,168af9c332c250c673238258cd07f1a818a013785779b7f3097a9b919ebe4104,0.3333333333333333,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.741,0.5,True,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.3767949454336588,0.6232050545663412,1312,0,1550,2862,1.0,1.8956358745560509,0.05046169999695849,0.0005128611161283895,0.0005369713422435456,fallback_bound,3a7303b294e436411fe14140c02502ad2dbe10eacd21f02beb37957820312245,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.0625,0.03125
unitscope-tuned,this-work,user-certified,primary,3,168af9c332c250c673238258cd07f1a818a013785779b7f3097a9b919ebe4104,0.75,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.741,0.5,True,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.3767949454336588,0.6232050545663412,1312,0,1550,2862,1.0,3.2430149906816608,0.03239680000115186,0.00038390626815324336,0.0004111349659210756,fallback_bound,3a7303b294e436411fe14140c02502ad2dbe10eacd21f02beb37957820312245,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.0625,0.03125
naive-recalibrated-2c,this-work,user-certified,primary,3,168af9c332c250c673238258cd07f1a818a013785779b7f3097a9b919ebe4104,,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.741,0.5,True,0.5,0.49999999999999994,0.5,0.5000000000000001,2.0,2.0,plan-delta,2.0,1.0,0.3767949454336588,0.6232050545663412,1312,0,1550,2862,1.0,2.421517391094291,0.03242830000817776,0.00023062709321531474,0.00035433512416093945,fallback_bound,3a7303b294e436411fe14140c02502ad2dbe10eacd21f02beb37957820312245,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.0625,0.03125
