method,implementation_provenance,privacy_semantics,comparison_tier,seed,config_hash,lambda,H,B,C,q_user,q_record_given_handle,realized_q_user,realized_q_record_given_handle,overlap_probability,realized_overlap,gradient_correlation,mixed_local_slots,realized_pairwise_cosine_mean,realized_pairwise_cosine_p10,realized_pairwise_cosine_p50,realized_pairwise_cosine_p90,certified_sensitivity,structural_sensitivity_bound,certificate_type,noise_sensitivity,effective_record_utilization,partial_handle_record_fraction,residual_record_fraction,partial_handle_units,local_atom_units,local_mixed_units,active_units,clip_fraction,aggregate_snr,wall_time_seconds,deterministic_distortion,noisy_aggregate_mse,stage,cell_hash,target_epsilon,policy_lambda,achieved_epsilon,noise_multiplier,records_per_silo,handles_per_user,c_partial,c_local_atom,c_local_mixed
stable-local-fallback,this-work,user-certified,primary,0,8f9125a9cf953a892e66855c71b3e1fdf7a4658f439095d9dd1ea5c118d63bbf,0.0,2,8,1.0,0.75,0.5,0.75,0.5,0.75,0.753,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.0,1.0,0,1753,0,1753,1.0,1.0324489149043825,0.023769100007484667,0.0008428226874777991,0.0009042086441087808,fallback_bound,49012a7e34dcde496613c34e97466b291a10898b592606738cb83775db13c4fd,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.03125,0.015625
handle-only-drop-residual,this-work,user-certified,primary,0,8f9125a9cf953a892e66855c71b3e1fdf7a4658f439095d9dd1ea5c118d63bbf,1.0,2,8,1.0,0.75,0.5,0.75,0.5,0.75,0.753,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,0.376782658300057,0.376782658300057,0.0,1321,0,0,1321,1.0,3.818124340697683,0.03305729999556206,0.0003747781612295103,0.00042858849348977084,fallback_bound,49012a7e34dcde496613c34e97466b291a10898b592606738cb83775db13c4fd,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.03125,0.015625
unitscope-equal,this-work,user-certified,primary,0,8f9125a9cf953a892e66855c71b3e1fdf7a4658f439095d9dd1ea5c118d63bbf,0.2,2,8,1.0,0.75,0.5,0.75,0.5,0.75,0.753,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.376782658300057,0.6232173416999429,1321,1551,0,2872,1.0,1.4112907441165197,0.033462899998994544,0.0007236191924442719,0.000782049373180572,fallback_bound,49012a7e34dcde496613c34e97466b291a10898b592606738cb83775db13c4fd,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.03125,0.015625
unitscope-tuned,this-work,user-certified,primary,0,8f9125a9cf953a892e66855c71b3e1fdf7a4658f439095d9dd1ea5c118d63bbf,0.75,2,8,1.0,0.75,0.5,0.75,0.5,0.75,0.753,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.376782658300057,0.6232173416999429,1321,1551,0,2872,1.0,3.0452444756008825,0.03321400001004804,0.0004236864780151584,0.00047894051292418134,fallback_bound,49012a7e34dcde496613c34e97466b291a10898b592606738cb83775db13c4fd,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.03125,0.015625
naive-recalibrated-2c,this-work,user-certified,primary,0,8f9125a9cf953a892e66855c71b3e1fdf7a4658f439095d9dd1ea5c118d63bbf,,2,8,1.0,0.75,0.5,0.75,0.5,0.75,0.753,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,2.0,2.0,plan-delta,2.0,1.0,0.376782658300057,0.6232173416999429,1321,1551,0,2872,1.0,2.283772920444903,0.034072999987984076,0.00023739968252901628,0.0004281865012682428,fallback_bound,49012a7e34dcde496613c34e97466b291a10898b592606738cb83775db13c4fd,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.03125,0.015625
full-identity-reference,oracle,oracle-assumption,full-identity-reference,0,8f9125a9cf953a892e66855c71b3e1fdf7a4658f439095d9dd1ea5c118d63bbf,,2,8,1.0,0.75,0.5,0.75,0.5,0.75,0.753,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.0,0.0,0,0,0,1000,1.0,5.3919700659430765,0.044879900000523776,0.0,4.3829325262560534e-05,fallback_bound,49012a7e34dcde496613c34e97466b291a10898b592606738cb83775db13c4fd,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.03125,0.015625
non-private-reference,oracle,non-private,diagnostic,0,8f9125a9cf953a892e66855c71b3e1fdf7a4658f439095d9dd1ea5c118d63bbf,,2,8,1.0,0.75,0.5,0.75,0.5,0.75,0.753,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,,,non-private,0.0,1.0,0.0,0.0,0,0,0,0,0.0,inf,0.02226189999782946,0.000989614585975685,0.000989614585975685,fallback_bound,49012a7e34dcde496613c34e97466b291a10898b592606738cb83775db13c4fd,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.03125,0.015625
naive-claimed-c,this-work,unsafe-diagnostic,diagnostic,0,8f9125a9cf953a892e66855c71b3e1fdf7a4658f439095d9dd1ea5c118d63bbf,,2,8,1.0,0.75,0.5,0.75,0.5,0.75,0.753,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,,2.0,unsafe-diagnostic,1.0,1.0,0.376782658300057,0.6232173416999429,1321,1551,0,2872,1.0,4.567545840889806,0.03768779999518301,0.00023739968252901628,0.000288963766636069,fallback_bound,49012a7e34dcde496613c34e97466b291a10898b592606738cb83775db13c4fd,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.03125,0.015625
stable-local-fallback,this-work,user-certified,primary,1,8f9125a9cf953a892e66855c71b3e1fdf7a4658f439095d9dd1ea5c118d63bbf,0.0,2,8,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.0,1.0,0,1747,0,1747,1.0,1.0796907136534863,0.024207499998738058,0.0006932251246979828,0.0007429983470261606,fallback_bound,49012a7e34dcde496613c34e97466b291a10898b592606738cb83775db13c4fd,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.03125,0.015625
handle-only-drop-residual,this-work,user-certified,primary,1,8f9125a9cf953a892e66855c71b3e1fdf7a4658f439095d9dd1ea5c118d63bbf,1.0,2,8,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,0.37779049799656556,0.37779049799656556,0.0,1320,0,0,1320,1.0,4.049792358551845,0.03350830000999849,0.00046795870748545887,0.0005397622034925535,fallback_bound,49012a7e34dcde496613c34e97466b291a10898b592606738cb83775db13c4fd,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.03125,0.015625
