method,implementation_provenance,privacy_semantics,comparison_tier,seed,config_hash,lambda,H,B,C,q_user,q_record_given_handle,realized_q_user,realized_q_record_given_handle,overlap_probability,realized_overlap,gradient_correlation,mixed_local_slots,realized_pairwise_cosine_mean,realized_pairwise_cosine_p10,realized_pairwise_cosine_p50,realized_pairwise_cosine_p90,certified_sensitivity,structural_sensitivity_bound,certificate_type,noise_sensitivity,effective_record_utilization,partial_handle_record_fraction,residual_record_fraction,partial_handle_units,local_atom_units,local_mixed_units,active_units,clip_fraction,aggregate_snr,wall_time_seconds,deterministic_distortion,noisy_aggregate_mse,stage,cell_hash,target_epsilon,policy_lambda,achieved_epsilon,noise_multiplier,records_per_silo,handles_per_user,c_partial,c_local_atom,c_local_mixed
stable-local-fallback,this-work,user-certified,primary,0,bcb0ae89d7046ea6a40182c28918a85b2596d0954bfa8806fde509c754011f06,0.0,4,6,1.0,0.75,0.75,0.75,0.75,0.75,0.753,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.0,1.0,0,1753,0,1753,1.0,1.3765985532058433,0.02967440000793431,0.0007197730086262185,0.0007810104871313551,handle_multiplicity,5ea2b6872b089409e7e675d58ca72a6d38f9f01f1726e22a56c3c80f0bf9afc9,8.0,0.75,8.0,0.7415653755729036,4,4,0.1875,0.041666666666666664,0.020833333333333332
handle-only-drop-residual,this-work,user-certified,primary,0,bcb0ae89d7046ea6a40182c28918a85b2596d0954bfa8806fde509c754011f06,1.0,4,6,1.0,0.75,0.75,0.75,0.75,0.75,0.753,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,0.5651739874500855,0.5651739874500855,0.0,2821,0,0,2821,1.0,3.7644608386381333,0.05331309999746736,0.00033052473120811447,0.00036648855081532043,handle_multiplicity,5ea2b6872b089409e7e675d58ca72a6d38f9f01f1726e22a56c3c80f0bf9afc9,8.0,0.75,8.0,0.7415653755729036,4,4,0.1875,0.041666666666666664,0.020833333333333332
unitscope-equal,this-work,user-certified,primary,0,bcb0ae89d7046ea6a40182c28918a85b2596d0954bfa8806fde509c754011f06,0.4,4,6,1.0,0.75,0.75,0.75,0.75,0.75,0.753,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.5651739874500855,0.43482601254991443,2821,1517,0,4338,1.0,2.150568871718777,0.052053799998247996,0.0005154172315162875,0.000566594410331351,handle_multiplicity,5ea2b6872b089409e7e675d58ca72a6d38f9f01f1726e22a56c3c80f0bf9afc9,8.0,0.75,8.0,0.7415653755729036,4,4,0.1875,0.041666666666666664,0.020833333333333332
unitscope-tuned,this-work,user-certified,primary,0,bcb0ae89d7046ea6a40182c28918a85b2596d0954bfa8806fde509c754011f06,0.75,4,6,1.0,0.75,0.75,0.75,0.75,0.75,0.753,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.5651739874500855,0.43482601254991443,2821,1517,0,4338,1.0,3.0774698570724146,0.053621300001395866,0.00037588547642802687,0.00041818819570517353,handle_multiplicity,5ea2b6872b089409e7e675d58ca72a6d38f9f01f1726e22a56c3c80f0bf9afc9,8.0,0.75,8.0,0.7415653755729036,4,4,0.1875,0.041666666666666664,0.020833333333333332
naive-recalibrated-2c,this-work,user-certified,primary,0,bcb0ae89d7046ea6a40182c28918a85b2596d0954bfa8806fde509c754011f06,,4,6,1.0,0.75,0.75,0.75,0.75,0.75,0.753,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,2.0,2.0,plan-delta,2.0,1.0,0.5651739874500855,0.43482601254991443,2821,1517,0,4338,1.0,2.4089377290831266,0.053280599997378886,0.00016741698789357655,0.0003259793321900108,handle_multiplicity,5ea2b6872b089409e7e675d58ca72a6d38f9f01f1726e22a56c3c80f0bf9afc9,8.0,0.75,8.0,0.7415653755729036,4,4,0.1875,0.041666666666666664,0.020833333333333332
full-identity-reference,oracle,oracle-assumption,full-identity-reference,0,bcb0ae89d7046ea6a40182c28918a85b2596d0954bfa8806fde509c754011f06,,4,6,1.0,0.75,0.75,0.75,0.75,0.75,0.753,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.0,0.0,0,0,0,1000,1.0,5.391970065943077,0.04848840000340715,0.0,4.382932526256055e-05,handle_multiplicity,5ea2b6872b089409e7e675d58ca72a6d38f9f01f1726e22a56c3c80f0bf9afc9,8.0,0.75,8.0,0.7415653755729036,4,4,0.1875,0.041666666666666664,0.020833333333333332
non-private-reference,oracle,non-private,diagnostic,0,bcb0ae89d7046ea6a40182c28918a85b2596d0954bfa8806fde509c754011f06,,4,6,1.0,0.75,0.75,0.75,0.75,0.75,0.753,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,,,non-private,0.0,1.0,0.0,0.0,0,0,0,0,0.0,inf,0.03777299998910166,0.009316376702046693,0.009316376702046693,handle_multiplicity,5ea2b6872b089409e7e675d58ca72a6d38f9f01f1726e22a56c3c80f0bf9afc9,8.0,0.75,8.0,0.7415653755729036,4,4,0.1875,0.041666666666666664,0.020833333333333332
naive-claimed-c,this-work,unsafe-diagnostic,diagnostic,0,bcb0ae89d7046ea6a40182c28918a85b2596d0954bfa8806fde509c754011f06,,4,6,1.0,0.75,0.75,0.75,0.75,0.75,0.753,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,,2.0,unsafe-diagnostic,1.0,1.0,0.5651739874500855,0.43482601254991443,2821,1517,0,4338,1.0,4.817875458166253,0.05277950000890996,0.00016741698789357655,0.00020286883477923313,handle_multiplicity,5ea2b6872b089409e7e675d58ca72a6d38f9f01f1726e22a56c3c80f0bf9afc9,8.0,0.75,8.0,0.7415653755729036,4,4,0.1875,0.041666666666666664,0.020833333333333332
stable-local-fallback,this-work,user-certified,primary,1,bcb0ae89d7046ea6a40182c28918a85b2596d0954bfa8806fde509c754011f06,0.0,4,6,1.0,0.75,0.75,0.75,0.75,0.75,0.747,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.0,1.0,0,1747,0,1747,1.0,1.4395876182046476,0.030748100005439483,0.0005922618567090469,0.0006414067021950543,handle_multiplicity,5ea2b6872b089409e7e675d58ca72a6d38f9f01f1726e22a56c3c80f0bf9afc9,8.0,0.75,8.0,0.7415653755729036,4,4,0.1875,0.041666666666666664,0.020833333333333332
handle-only-drop-residual,this-work,user-certified,primary,1,bcb0ae89d7046ea6a40182c28918a85b2596d0954bfa8806fde509c754011f06,1.0,4,6,1.0,0.75,0.75,0.75,0.75,0.75,0.747,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,0.5666857469948483,0.5666857469948483,0.0,2820,0,0,2820,1.0,4.404581634878237,0.05124400000204332,0.00032074198886836646,0.0003746632421597739,handle_multiplicity,5ea2b6872b089409e7e675d58ca72a6d38f9f01f1726e22a56c3c80f0bf9afc9,8.0,0.75,8.0,0.7415653755729036,4,4,0.1875,0.041666666666666664,0.020833333333333332
unitscope-equal,this-work,user-certified,primary,1,bcb0ae89d7046ea6a40182c28918a85b2596d0954bfa8806fde509c754011f06,0.4,4,6,1.0,0.75,0.75,0.75,0.75,0.75,0.747,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.5666857469948483,0.4333142530051517,2820,1498,0,4318,1.0,2.460867790260927,0.05125759998918511,0.00040928824870340157,0.0004583695706179175,handle_multiplicity,5ea2b6872b089409e7e675d58ca72a6d38f9f01f1726e22a56c3c80f0bf9afc9,8.0,0.75,8.0,0.7415653755729036,4,4,0.1875,0.041666666666666664,0.020833333333333332
unitscope-tuned,this-work,user-certified,primary,1,bcb0ae89d7046ea6a40182c28918a85b2596d0954bfa8806fde509c754011f06,0.75,4,6,1.0,0.75,0.75,0.75,0.75,0.75,0.747,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.5666857469948483,0.4333142530051517,2820,1498,0,4318,1.0,3.5740502297470624,0.0533315000066068,0.00032342449821338233,0.0003753291134310849,handle_multiplicity,5ea2b6872b089409e7e675d58ca72a6d38f9f01f1726e22a56c3c80f0bf9afc9,8.0,0.75,8.0,0.7415653755729036,4,4,0.1875,0.041666666666666664,0.020833333333333332
naive-recalibrated-2c,this-work,user-certified,primary,1,bcb0ae89d7046ea6a40182c28918a85b2596d0954bfa8806fde509c754011f06,,4,6,1.0,0.75,0.75,0.75,0.75,0.75,0.747,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,2.0,2.0,plan-delta,2.0,1.0,0.5666857469948483,0.4333142530051517,2820,1498,0,4318,1.0,2.7695900610128423,0.052597800007788464,0.0001961914831746191,0.00035659527047943054,handle_multiplicity,5ea2b6872b089409e7e675d58ca72a6d38f9f01f1726e22a56c3c80f0bf9afc9,8.0,0.75,8.0,0.7415653755729036,4,4,0.1875,0.041666666666666664,0.020833333333333332
full-identity-reference,oracle,oracle-assumption,full-identity-reference,1,bcb0ae89d7046ea6a40182c28918a85b2596d0954bfa8806fde509c754011f06,,4,6,1.0,0.75,0.75,0.75,0.75,0.75,0.747,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.0,0.0,0,0,0,1000,1.0,5.709739005623293,0.04779269998834934,0.0,3.208429221909876e-05,handle_multiplicity,5ea2b6872b089409e7e675d58ca72a6d38f9f01f1726e22a56c3c80f0bf9afc9,8.0,0.75,8.0,0.7415653755729036,4,4,0.1875,0.041666666666666664,0.020833333333333332
non-private-reference,oracle,non-private,diagnostic,1,bcb0ae89d7046ea6a40182c28918a85b2596d0954bfa8806fde509c754011f06,,4,6,1.0,0.75,0.75,0.75,0.75,0.75,0.747,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,,,non-private,0.0,1.0,0.0,0.0,0,0,0,0,0.0,inf,0.04425210000772495,0.007342662033587617,0.007342662033587617,handle_multiplicity,5ea2b6872b089409e7e675d58ca72a6d38f9f01f1726e22a56c3c80f0bf9afc9,8.0,0.75,8.0,0.7415653755729036,4,4,0.1875,0.041666666666666664,0.020833333333333332
naive-claimed-c,this-work,unsafe-diagnostic,diagnostic,1,bcb0ae89d7046ea6a40182c28918a85b2596d0954bfa8806fde509c754011f06,,4,6,1.0,0.75,0.75,0.75,0.75,0.75,0.747,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,,2.0,unsafe-diagnostic,1.0,1.0,0.5666857469948483,0.4333142530051517,2820,1498,0,4318,1.0,5.539180122025685,0.05255089999991469,0.0001961914831746191,0.0002443090846079261,handle_multiplicity,5ea2b6872b089409e7e675d58ca72a6d38f9f01f1726e22a56c3c80f0bf9afc9,8.0,0.75,8.0,0.7415653755729036,4,4,0.1875,0.041666666666666664,0.020833333333333332
stable-local-fallback,this-work,user-certified,primary,2,bcb0ae89d7046ea6a40182c28918a85b2596d0954bfa8806fde509c754011f06,0.0,4,6,1.0,0.75,0.75,0.75,0.75,0.75,0.747,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.0,1.0,0,1747,0,1747,1.0,1.3887463718879882,0.029808800012688152,0.0005285778352787473,0.0006279519917448176,handle_multiplicity,5ea2b6872b089409e7e675d58ca72a6d38f9f01f1726e22a56c3c80f0bf9afc9,8.0,0.75,8.0,0.7415653755729036,4,4,0.1875,0.041666666666666664,0.020833333333333332
handle-only-drop-residual,this-work,user-certified,primary,2,bcb0ae89d7046ea6a40182c28918a85b2596d0954bfa8806fde509c754011f06,1.0,4,6,1.0,0.75,0.75,0.75,0.75,0.75,0.747,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,0.5606754436176302,0.5606754436176302,0.0,2806,0,0,2806,1.0,3.9153089141187416,0.05191959999501705,0.00032438632735413747,0.0004028002129150978,handle_multiplicity,5ea2b6872b089409e7e675d58ca72a6d38f9f01f1726e22a56c3c80f0bf9afc9,8.0,0.75,8.0,0.7415653755729036,4,4,0.1875,0.041666666666666664,0.020833333333333332
unitscope-equal,this-work,user-certified,primary,2,bcb0ae89d7046ea6a40182c28918a85b2596d0954bfa8806fde509c754011f06,0.4,4,6,1.0,0.75,0.75,0.75,0.75,0.75,0.747,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.5606754436176302,0.4393245563823698,2806,1492,0,4298,1.0,2.1344132991629516,0.05399159999797121,0.0003961962335609276,0.000489618252848701,handle_multiplicity,5ea2b6872b089409e7e675d58ca72a6d38f9f01f1726e22a56c3c80f0bf9afc9,8.0,0.75,8.0,0.7415653755729036,4,4,0.1875,0.041666666666666664,0.020833333333333332
