method,implementation_provenance,privacy_semantics,comparison_tier,seed,config_hash,lambda,H,B,C,q_user,q_record_given_handle,realized_q_user,realized_q_record_given_handle,overlap_probability,realized_overlap,gradient_correlation,mixed_local_slots,realized_pairwise_cosine_mean,realized_pairwise_cosine_p10,realized_pairwise_cosine_p50,realized_pairwise_cosine_p90,certified_sensitivity,structural_sensitivity_bound,certificate_type,noise_sensitivity,effective_record_utilization,partial_handle_record_fraction,residual_record_fraction,partial_handle_units,local_atom_units,local_mixed_units,active_units,clip_fraction,aggregate_snr,wall_time_seconds,deterministic_distortion,noisy_aggregate_mse,stage,cell_hash,target_epsilon,policy_lambda,achieved_epsilon,noise_multiplier,records_per_silo,handles_per_user,c_partial,c_local_atom,c_local_mixed
stable-local-fallback,this-work,user-certified,primary,0,ce4c61eebe5a89ca14355cc72dabae0b17fd904ea332a9dc7218d18aac26eb0b,0.0,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.753,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.0,1.0,0,1753,0,1753,1.0,3.7699704010990813,0.02397539999219589,0.0005048202526941429,0.0005273412388507332,privacy_level,659b2993335bd8f482d64c183132538fed984917e05135f59b60d03b389ac22a,16.0,0.75,16.0,0.4061720840660698,2,2,0.375,0.0625,0.03125
handle-only-drop-residual,this-work,user-certified,primary,0,ce4c61eebe5a89ca14355cc72dabae0b17fd904ea332a9dc7218d18aac26eb0b,1.0,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.753,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,0.376782658300057,0.376782658300057,0.0,1321,0,0,1321,1.0,6.970909429198875,0.03586999999242835,0.00037477816122951074,0.00039339378148753616,privacy_level,659b2993335bd8f482d64c183132538fed984917e05135f59b60d03b389ac22a,16.0,0.75,16.0,0.4061720840660698,2,2,0.375,0.0625,0.03125
unitscope-equal,this-work,user-certified,primary,0,ce4c61eebe5a89ca14355cc72dabae0b17fd904ea332a9dc7218d18aac26eb0b,0.3333333333333333,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.753,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.376782658300057,0.6232173416999429,1321,1551,0,2872,1.0,4.294420976393717,0.036093400005484,0.00045351835665321876,0.00047342242574121895,privacy_level,659b2993335bd8f482d64c183132538fed984917e05135f59b60d03b389ac22a,16.0,0.75,16.0,0.4061720840660698,2,2,0.375,0.0625,0.03125
unitscope-tuned,this-work,user-certified,primary,0,ce4c61eebe5a89ca14355cc72dabae0b17fd904ea332a9dc7218d18aac26eb0b,0.75,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.753,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.376782658300057,0.6232173416999429,1321,1551,0,2872,1.0,5.902496421741963,0.036520699999528006,0.0003721267909254241,0.0003912255794946901,privacy_level,659b2993335bd8f482d64c183132538fed984917e05135f59b60d03b389ac22a,16.0,0.75,16.0,0.4061720840660698,2,2,0.375,0.0625,0.03125
naive-recalibrated-2c,this-work,user-certified,primary,0,ce4c61eebe5a89ca14355cc72dabae0b17fd904ea332a9dc7218d18aac26eb0b,,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.753,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,2.0,2.0,plan-delta,2.0,1.0,0.376782658300057,0.6232173416999429,1321,1551,0,2872,1.0,4.901234520458959,0.05701169998792466,0.00017363883429874326,0.00023224638683926543,privacy_level,659b2993335bd8f482d64c183132538fed984917e05135f59b60d03b389ac22a,16.0,0.75,16.0,0.4061720840660698,2,2,0.375,0.0625,0.03125
full-identity-reference,oracle,oracle-assumption,full-identity-reference,0,ce4c61eebe5a89ca14355cc72dabae0b17fd904ea332a9dc7218d18aac26eb0b,,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.753,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.0,0.0,0,0,0,1000,1.0,9.844345448365472,0.04274460001033731,0.0,1.3148797578768165e-05,privacy_level,659b2993335bd8f482d64c183132538fed984917e05135f59b60d03b389ac22a,16.0,0.75,16.0,0.4061720840660698,2,2,0.375,0.0625,0.03125
non-private-reference,oracle,non-private,diagnostic,0,ce4c61eebe5a89ca14355cc72dabae0b17fd904ea332a9dc7218d18aac26eb0b,,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.753,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,,,non-private,0.0,1.0,0.0,0.0,0,0,0,0,0.0,inf,0.02024709999386687,0.0009896145859756848,0.0009896145859756848,privacy_level,659b2993335bd8f482d64c183132538fed984917e05135f59b60d03b389ac22a,16.0,0.75,16.0,0.4061720840660698,2,2,0.375,0.0625,0.03125
naive-claimed-c,this-work,unsafe-diagnostic,diagnostic,0,ce4c61eebe5a89ca14355cc72dabae0b17fd904ea332a9dc7218d18aac26eb0b,,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.753,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,,2.0,unsafe-diagnostic,1.0,1.0,0.376782658300057,0.6232173416999429,1321,1551,0,2872,1.0,9.802469040917918,0.034600099999806844,0.00017363883429874326,0.00018979381299023617,privacy_level,659b2993335bd8f482d64c183132538fed984917e05135f59b60d03b389ac22a,16.0,0.75,16.0,0.4061720840660698,2,2,0.375,0.0625,0.03125
stable-local-fallback,this-work,user-certified,primary,1,ce4c61eebe5a89ca14355cc72dabae0b17fd904ea332a9dc7218d18aac26eb0b,0.0,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.0,1.0,0,1747,0,1747,1.0,3.942473059979103,0.023755999995046295,0.0004152697789505569,0.00043355116414195,privacy_level,659b2993335bd8f482d64c183132538fed984917e05135f59b60d03b389ac22a,16.0,0.75,16.0,0.4061720840660698,2,2,0.375,0.0625,0.03125
handle-only-drop-residual,this-work,user-certified,primary,1,ce4c61eebe5a89ca14355cc72dabae0b17fd904ea332a9dc7218d18aac26eb0b,1.0,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,0.37779049799656556,0.37779049799656556,0.0,1320,0,0,1320,1.0,7.393875426636315,0.03694309999991674,0.0004679587074854589,0.0004993390990320186,privacy_level,659b2993335bd8f482d64c183132538fed984917e05135f59b60d03b389ac22a,16.0,0.75,16.0,0.4061720840660698,2,2,0.375,0.0625,0.03125
unitscope-equal,this-work,user-certified,primary,1,ce4c61eebe5a89ca14355cc72dabae0b17fd904ea332a9dc7218d18aac26eb0b,0.3333333333333333,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.37779049799656556,0.6222095020034345,1320,1540,0,2860,1.0,4.587426056339373,0.032762900009402074,0.00038312313697375783,0.00040418799565051686,privacy_level,659b2993335bd8f482d64c183132538fed984917e05135f59b60d03b389ac22a,16.0,0.75,16.0,0.4061720840660698,2,2,0.375,0.0625,0.03125
