method,implementation_provenance,privacy_semantics,comparison_tier,seed,config_hash,lambda,H,B,C,q_user,q_record_given_handle,realized_q_user,realized_q_record_given_handle,overlap_probability,realized_overlap,gradient_correlation,mixed_local_slots,realized_pairwise_cosine_mean,realized_pairwise_cosine_p10,realized_pairwise_cosine_p50,realized_pairwise_cosine_p90,certified_sensitivity,structural_sensitivity_bound,certificate_type,noise_sensitivity,effective_record_utilization,partial_handle_record_fraction,residual_record_fraction,partial_handle_units,local_atom_units,local_mixed_units,active_units,clip_fraction,aggregate_snr,wall_time_seconds,deterministic_distortion,noisy_aggregate_mse,stage,cell_hash,target_epsilon,policy_lambda,achieved_epsilon,noise_multiplier,records_per_silo,handles_per_user,c_partial,c_local_atom,c_local_mixed
stable-local-fallback,this-work,user-certified,primary,0,cdaeb0f8b44f6408dc37cba784f4166108b373f0004b67c63231296457b4b9fe,0.0,2,6,1.0,0.75,0.5,0.75,0.5,0.75,0.753,0.5,True,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.0,1.0,0,0,1753,1753,1.0,0.6882992766029215,0.025450699991779402,0.0009762545669197423,0.0010377890016765696,fallback_bound,8c3fff9366de48c1be14c5f849a44219c74b1089856621f707e02656037a4125,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.041666666666666664,0.020833333333333332
handle-only-drop-residual,this-work,user-certified,primary,0,cdaeb0f8b44f6408dc37cba784f4166108b373f0004b67c63231296457b4b9fe,1.0,2,6,1.0,0.75,0.5,0.75,0.5,0.75,0.753,0.5,True,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,0.376782658300057,0.376782658300057,0.0,1321,0,0,1321,1.0,3.818124340697683,0.035591100007877685,0.0003747781612295103,0.00042858849348977084,fallback_bound,8c3fff9366de48c1be14c5f849a44219c74b1089856621f707e02656037a4125,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.041666666666666664,0.020833333333333332
unitscope-equal,this-work,user-certified,primary,0,cdaeb0f8b44f6408dc37cba784f4166108b373f0004b67c63231296457b4b9fe,0.25,2,6,1.0,0.75,0.5,0.75,0.5,0.75,0.753,0.5,True,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.376782658300057,0.6232173416999429,1321,0,1551,2872,1.0,1.342258353239194,0.04082509998988826,0.0007622121082483573,0.0008209151104932069,fallback_bound,8c3fff9366de48c1be14c5f849a44219c74b1089856621f707e02656037a4125,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.041666666666666664,0.020833333333333332
unitscope-tuned,this-work,user-certified,primary,0,cdaeb0f8b44f6408dc37cba784f4166108b373f0004b67c63231296457b4b9fe,0.75,2,6,1.0,0.75,0.5,0.75,0.5,0.75,0.753,0.5,True,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.376782658300057,0.6232173416999429,1321,0,1551,2872,1.0,2.9839683643127755,0.03539310001360718,0.0004418955074682678,0.0004973367297233914,fallback_bound,8c3fff9366de48c1be14c5f849a44219c74b1089856621f707e02656037a4125,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.041666666666666664,0.020833333333333332
naive-recalibrated-2c,this-work,user-certified,primary,0,cdaeb0f8b44f6408dc37cba784f4166108b373f0004b67c63231296457b4b9fe,,2,6,1.0,0.75,0.5,0.75,0.5,0.75,0.753,0.5,True,0.5,0.49999999999999994,0.5,0.5000000000000001,2.0,2.0,plan-delta,2.0,1.0,0.376782658300057,0.6232173416999429,1321,0,1551,2872,1.0,2.155286957187732,0.034362699996563606,0.0002750127720436009,0.0004672970895516326,fallback_bound,8c3fff9366de48c1be14c5f849a44219c74b1089856621f707e02656037a4125,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.041666666666666664,0.020833333333333332
full-identity-reference,oracle,oracle-assumption,full-identity-reference,0,cdaeb0f8b44f6408dc37cba784f4166108b373f0004b67c63231296457b4b9fe,,2,6,1.0,0.75,0.5,0.75,0.5,0.75,0.753,0.5,True,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.0,0.0,0,0,0,1000,1.0,5.3919700659430765,0.042085900000529364,0.0,4.3829325262560534e-05,fallback_bound,8c3fff9366de48c1be14c5f849a44219c74b1089856621f707e02656037a4125,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.041666666666666664,0.020833333333333332
non-private-reference,oracle,non-private,diagnostic,0,cdaeb0f8b44f6408dc37cba784f4166108b373f0004b67c63231296457b4b9fe,,2,6,1.0,0.75,0.5,0.75,0.5,0.75,0.753,0.5,True,0.5,0.49999999999999994,0.5,0.5000000000000001,,,non-private,0.0,1.0,0.0,0.0,0,0,0,0,0.0,inf,0.021360899991123006,0.000989614585975685,0.000989614585975685,fallback_bound,8c3fff9366de48c1be14c5f849a44219c74b1089856621f707e02656037a4125,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.041666666666666664,0.020833333333333332
naive-claimed-c,this-work,unsafe-diagnostic,diagnostic,0,cdaeb0f8b44f6408dc37cba784f4166108b373f0004b67c63231296457b4b9fe,,2,6,1.0,0.75,0.5,0.75,0.5,0.75,0.753,0.5,True,0.5,0.49999999999999994,0.5,0.5000000000000001,,2.0,unsafe-diagnostic,1.0,1.0,0.376782658300057,0.6232173416999429,1321,0,1551,2872,1.0,4.310573914375464,0.06164720001106616,0.0002750127720436009,0.0003273256055350562,fallback_bound,8c3fff9366de48c1be14c5f849a44219c74b1089856621f707e02656037a4125,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.041666666666666664,0.020833333333333332
stable-local-fallback,this-work,user-certified,primary,1,cdaeb0f8b44f6408dc37cba784f4166108b373f0004b67c63231296457b4b9fe,0.0,2,6,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,True,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.0,1.0,0,0,1747,1747,1.0,0.719793809102324,0.02317989998846315,0.000802499878760046,0.0008529014779303938,fallback_bound,8c3fff9366de48c1be14c5f849a44219c74b1089856621f707e02656037a4125,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.041666666666666664,0.020833333333333332
handle-only-drop-residual,this-work,user-certified,primary,1,cdaeb0f8b44f6408dc37cba784f4166108b373f0004b67c63231296457b4b9fe,1.0,2,6,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,True,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,0.37779049799656556,0.37779049799656556,0.0,1320,0,0,1320,1.0,4.049792358551845,0.03250990000378806,0.00046795870748545887,0.0005397622034925535,fallback_bound,8c3fff9366de48c1be14c5f849a44219c74b1089856621f707e02656037a4125,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.041666666666666664,0.020833333333333332
