method,implementation_provenance,privacy_semantics,comparison_tier,seed,config_hash,lambda,H,B,C,q_user,q_record_given_handle,realized_q_user,realized_q_record_given_handle,overlap_probability,realized_overlap,gradient_correlation,mixed_local_slots,realized_pairwise_cosine_mean,realized_pairwise_cosine_p10,realized_pairwise_cosine_p50,realized_pairwise_cosine_p90,certified_sensitivity,structural_sensitivity_bound,certificate_type,noise_sensitivity,effective_record_utilization,partial_handle_record_fraction,residual_record_fraction,partial_handle_units,local_atom_units,local_mixed_units,active_units,clip_fraction,aggregate_snr,wall_time_seconds,deterministic_distortion,noisy_aggregate_mse,stage,cell_hash,target_epsilon,policy_lambda,achieved_epsilon,noise_multiplier,records_per_silo,handles_per_user,c_partial,c_local_atom,c_local_mixed
stable-local-fallback,this-work,user-certified,primary,0,db976d9d7f7d6e943af0e3ee8f179087dd7a2bd9b44d5d0fd02952516be6a04e,0.0,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.753,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.0,1.0,0,1753,0,1753,1.0,0.5623502474768483,0.022910400002729148,0.0005048202526941429,0.0011585974426880888,privacy_level,93a52d74b65180b689ce2065c1634321eeb3326491fa8d2d3403e46f2959e485,2.0,0.75,2.0,2.7229591194317955,2,2,0.375,0.0625,0.03125
handle-only-drop-residual,this-work,user-certified,primary,0,db976d9d7f7d6e943af0e3ee8f179087dd7a2bd9b44d5d0fd02952516be6a04e,1.0,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.753,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,0.376782658300057,0.376782658300057,0.0,1321,0,0,1321,1.0,1.0398205358603971,0.031580499999108724,0.00037477816122951074,0.0010023739564270432,privacy_level,93a52d74b65180b689ce2065c1634321eeb3326491fa8d2d3403e46f2959e485,2.0,0.75,2.0,2.7229591194317955,2,2,0.375,0.0625,0.03125
unitscope-equal,this-work,user-certified,primary,0,db976d9d7f7d6e943af0e3ee8f179087dd7a2bd9b44d5d0fd02952516be6a04e,0.3333333333333333,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.753,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.376782658300057,0.6232173416999429,1321,1551,0,2872,1.0,0.6405802809859529,0.0324213999992935,0.00045351835665321876,0.001089751854019693,privacy_level,93a52d74b65180b689ce2065c1634321eeb3326491fa8d2d3403e46f2959e485,2.0,0.75,2.0,2.7229591194317955,2,2,0.375,0.0625,0.03125
unitscope-tuned,this-work,user-certified,primary,0,db976d9d7f7d6e943af0e3ee8f179087dd7a2bd9b44d5d0fd02952516be6a04e,0.75,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.753,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.376782658300057,0.6232173416999429,1321,1551,0,2872,1.0,0.8804499691907709,0.03413169999839738,0.0003721267909254241,0.0010029617244363103,privacy_level,93a52d74b65180b689ce2065c1634321eeb3326491fa8d2d3403e46f2959e485,2.0,0.75,2.0,2.7229591194317955,2,2,0.375,0.0625,0.03125
naive-recalibrated-2c,this-work,user-certified,primary,0,db976d9d7f7d6e943af0e3ee8f179087dd7a2bd9b44d5d0fd02952516be6a04e,,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.753,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,2.0,2.0,plan-delta,2.0,1.0,0.376782658300057,0.6232173416999429,1321,1551,0,2872,1.0,0.7310960438094245,0.03277900000102818,0.00017363883429874326,0.0025777312978837426,privacy_level,93a52d74b65180b689ce2065c1634321eeb3326491fa8d2d3403e46f2959e485,2.0,0.75,2.0,2.7229591194317955,2,2,0.375,0.0625,0.03125
full-identity-reference,oracle,oracle-assumption,full-identity-reference,0,db976d9d7f7d6e943af0e3ee8f179087dd7a2bd9b44d5d0fd02952516be6a04e,,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.753,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.0,0.0,0,0,0,1000,1.0,1.468438610956196,0.04283830001077149,0.0,0.0005909464653869228,privacy_level,93a52d74b65180b689ce2065c1634321eeb3326491fa8d2d3403e46f2959e485,2.0,0.75,2.0,2.7229591194317955,2,2,0.375,0.0625,0.03125
non-private-reference,oracle,non-private,diagnostic,0,db976d9d7f7d6e943af0e3ee8f179087dd7a2bd9b44d5d0fd02952516be6a04e,,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.753,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,,,non-private,0.0,1.0,0.0,0.0,0,0,0,0,0.0,inf,0.0204432999889832,0.0009896145859756848,0.0009896145859756848,privacy_level,93a52d74b65180b689ce2065c1634321eeb3326491fa8d2d3403e46f2959e485,2.0,0.75,2.0,2.7229591194317955,2,2,0.375,0.0625,0.03125
naive-claimed-c,this-work,unsafe-diagnostic,diagnostic,0,db976d9d7f7d6e943af0e3ee8f179087dd7a2bd9b44d5d0fd02952516be6a04e,,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.753,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,,2.0,unsafe-diagnostic,1.0,1.0,0.376782658300057,0.6232173416999429,1321,1551,0,2872,1.0,1.462192087618849,0.03250290000869427,0.00017363883429874326,0.00078473860070432,privacy_level,93a52d74b65180b689ce2065c1634321eeb3326491fa8d2d3403e46f2959e485,2.0,0.75,2.0,2.7229591194317955,2,2,0.375,0.0625,0.03125
stable-local-fallback,this-work,user-certified,primary,1,db976d9d7f7d6e943af0e3ee8f179087dd7a2bd9b44d5d0fd02952516be6a04e,0.0,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.0,1.0,0,1747,0,1747,1.0,0.5880817261333686,0.023679300007643178,0.0004152697789505569,0.0009058892062277515,privacy_level,93a52d74b65180b689ce2065c1634321eeb3326491fa8d2d3403e46f2959e485,2.0,0.75,2.0,2.7229591194317955,2,2,0.375,0.0625,0.03125
handle-only-drop-residual,this-work,user-certified,primary,1,db976d9d7f7d6e943af0e3ee8f179087dd7a2bd9b44d5d0fd02952516be6a04e,1.0,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,0.37779049799656556,0.37779049799656556,0.0,1320,0,0,1320,1.0,1.102912551984421,0.03413640000508167,0.0004679587074854589,0.001046393275707924,privacy_level,93a52d74b65180b689ce2065c1634321eeb3326491fa8d2d3403e46f2959e485,2.0,0.75,2.0,2.7229591194317955,2,2,0.375,0.0625,0.03125
