method,implementation_provenance,privacy_semantics,comparison_tier,seed,config_hash,lambda,H,B,C,q_user,q_record_given_handle,realized_q_user,realized_q_record_given_handle,overlap_probability,realized_overlap,gradient_correlation,mixed_local_slots,realized_pairwise_cosine_mean,realized_pairwise_cosine_p10,realized_pairwise_cosine_p50,realized_pairwise_cosine_p90,certified_sensitivity,structural_sensitivity_bound,certificate_type,noise_sensitivity,effective_record_utilization,partial_handle_record_fraction,residual_record_fraction,partial_handle_units,local_atom_units,local_mixed_units,active_units,clip_fraction,aggregate_snr,wall_time_seconds,deterministic_distortion,noisy_aggregate_mse,stage,cell_hash,target_epsilon,policy_lambda,achieved_epsilon,noise_multiplier,records_per_silo,handles_per_user,c_partial,c_local_atom,c_local_mixed
stable-local-fallback,this-work,user-certified,primary,0,7e05e7d37d8a89c8dde0936e51d2be4a5a53fc703e1d728564578c0ef278e9d4,0.0,2,2,1.0,0.75,0.5,0.75,0.5,0.75,0.753,0.5,True,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.0,1.0,0,0,1753,1753,1.0,2.064897829808765,0.023614900012034923,0.0005048202526941427,0.0005657607749475885,fallback_bound,a4398fad5e3d9485a4d6bdc701067a2f42e0d0979d539b16fe6c9a0984ddb154,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.125,0.0625
handle-only-drop-residual,this-work,user-certified,primary,0,7e05e7d37d8a89c8dde0936e51d2be4a5a53fc703e1d728564578c0ef278e9d4,1.0,2,2,1.0,0.75,0.5,0.75,0.5,0.75,0.753,0.5,True,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,0.376782658300057,0.376782658300057,0.0,1321,0,0,1321,1.0,3.818124340697683,0.03285209999012295,0.0003747781612295103,0.00042858849348977084,fallback_bound,a4398fad5e3d9485a4d6bdc701067a2f42e0d0979d539b16fe6c9a0984ddb154,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.125,0.0625
unitscope-equal,this-work,user-certified,primary,0,7e05e7d37d8a89c8dde0936e51d2be4a5a53fc703e1d728564578c0ef278e9d4,0.5,2,2,1.0,0.75,0.5,0.75,0.5,0.75,0.753,0.5,True,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.376782658300057,0.6232173416999429,1321,0,1551,2872,1.0,2.684516706478388,0.032916199997998774,0.00040809015292690915,0.00046366476640809066,fallback_bound,a4398fad5e3d9485a4d6bdc701067a2f42e0d0979d539b16fe6c9a0984ddb154,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.125,0.0625
unitscope-tuned,this-work,user-certified,primary,0,7e05e7d37d8a89c8dde0936e51d2be4a5a53fc703e1d728564578c0ef278e9d4,0.75,2,2,1.0,0.75,0.5,0.75,0.5,0.75,0.753,0.5,True,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.376782658300057,0.6232173416999429,1321,0,1551,2872,1.0,3.2329304357815976,0.03275479999138042,0.0003721267909254236,0.0004268192637961447,fallback_bound,a4398fad5e3d9485a4d6bdc701067a2f42e0d0979d539b16fe6c9a0984ddb154,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.125,0.0625
naive-recalibrated-2c,this-work,user-certified,primary,0,7e05e7d37d8a89c8dde0936e51d2be4a5a53fc703e1d728564578c0ef278e9d4,,2,2,1.0,0.75,0.5,0.75,0.5,0.75,0.753,0.5,True,0.5,0.49999999999999994,0.5,0.5000000000000001,2.0,2.0,plan-delta,2.0,1.0,0.376782658300057,0.6232173416999429,1321,0,1551,2872,1.0,2.684516706478388,0.03441420001036022,0.00017363883429874299,0.00035993315673155395,fallback_bound,a4398fad5e3d9485a4d6bdc701067a2f42e0d0979d539b16fe6c9a0984ddb154,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.125,0.0625
full-identity-reference,oracle,oracle-assumption,full-identity-reference,0,7e05e7d37d8a89c8dde0936e51d2be4a5a53fc703e1d728564578c0ef278e9d4,,2,2,1.0,0.75,0.5,0.75,0.5,0.75,0.753,0.5,True,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.0,0.0,0,0,0,1000,1.0,5.3919700659430765,0.0405622999969637,0.0,4.3829325262560534e-05,fallback_bound,a4398fad5e3d9485a4d6bdc701067a2f42e0d0979d539b16fe6c9a0984ddb154,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.125,0.0625
non-private-reference,oracle,non-private,diagnostic,0,7e05e7d37d8a89c8dde0936e51d2be4a5a53fc703e1d728564578c0ef278e9d4,,2,2,1.0,0.75,0.5,0.75,0.5,0.75,0.753,0.5,True,0.5,0.49999999999999994,0.5,0.5000000000000001,,,non-private,0.0,1.0,0.0,0.0,0,0,0,0,0.0,inf,0.02034819999244064,0.000989614585975685,0.000989614585975685,fallback_bound,a4398fad5e3d9485a4d6bdc701067a2f42e0d0979d539b16fe6c9a0984ddb154,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.125,0.0625
naive-claimed-c,this-work,unsafe-diagnostic,diagnostic,0,7e05e7d37d8a89c8dde0936e51d2be4a5a53fc703e1d728564578c0ef278e9d4,,2,2,1.0,0.75,0.5,0.75,0.5,0.75,0.753,0.5,True,0.5,0.49999999999999994,0.5,0.5000000000000001,,2.0,unsafe-diagnostic,1.0,1.0,0.376782658300057,0.6232173416999429,1321,0,1551,2872,1.0,5.369033412956776,0.034684199999901466,0.00017363883429874299,0.00022295667025258793,fallback_bound,a4398fad5e3d9485a4d6bdc701067a2f42e0d0979d539b16fe6c9a0984ddb154,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.125,0.0625
stable-local-fallback,this-work,user-certified,primary,1,7e05e7d37d8a89c8dde0936e51d2be4a5a53fc703e1d728564578c0ef278e9d4,0.0,2,2,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,True,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.0,1.0,0,0,1747,1747,1.0,2.1593814273069727,0.025551999991876073,0.00041526977895055685,0.0004631578707522239,fallback_bound,a4398fad5e3d9485a4d6bdc701067a2f42e0d0979d539b16fe6c9a0984ddb154,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.125,0.0625
handle-only-drop-residual,this-work,user-certified,primary,1,7e05e7d37d8a89c8dde0936e51d2be4a5a53fc703e1d728564578c0ef278e9d4,1.0,2,2,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,True,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,0.37779049799656556,0.37779049799656556,0.0,1320,0,0,1320,1.0,4.049792358551845,0.034410200009006076,0.00046795870748545887,0.0005397622034925535,fallback_bound,a4398fad5e3d9485a4d6bdc701067a2f42e0d0979d539b16fe6c9a0984ddb154,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.125,0.0625
