method,implementation_provenance,privacy_semantics,comparison_tier,seed,config_hash,lambda,H,B,C,q_user,q_record_given_handle,realized_q_user,realized_q_record_given_handle,overlap_probability,realized_overlap,gradient_correlation,mixed_local_slots,realized_pairwise_cosine_mean,realized_pairwise_cosine_p10,realized_pairwise_cosine_p50,realized_pairwise_cosine_p90,certified_sensitivity,structural_sensitivity_bound,certificate_type,noise_sensitivity,effective_record_utilization,partial_handle_record_fraction,residual_record_fraction,partial_handle_units,local_atom_units,local_mixed_units,active_units,clip_fraction,aggregate_snr,wall_time_seconds,deterministic_distortion,noisy_aggregate_mse,stage,cell_hash,target_epsilon,policy_lambda,achieved_epsilon,noise_multiplier,records_per_silo,handles_per_user,c_partial,c_local_atom,c_local_mixed
stable-local-fallback,this-work,user-certified,primary,0,27b3f4e81201acedc9e59eec6ff20a869ad992378a99e63871c2a9b46b46dd66,0.0,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.753,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.0,1.0,0,1753,0,1753,1.0,1.0898728911053264,0.05040319998806808,0.0005048202526941429,0.0006945690343457857,privacy_level,b45eaec2ec6f6a1f66a48fca8553172df70d159aa74d7d95a343b96eefe4b0d7,4.0,0.75,4.0,1.4049865329972953,2,2,0.375,0.0625,0.03125
handle-only-drop-residual,this-work,user-certified,primary,0,27b3f4e81201acedc9e59eec6ff20a869ad992378a99e63871c2a9b46b46dd66,1.0,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.753,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,0.376782658300057,0.376782658300057,0.0,1321,0,0,1321,1.0,2.0152426690192162,0.03478719999839086,0.00037477816122951074,0.0005510179236522046,privacy_level,b45eaec2ec6f6a1f66a48fca8553172df70d159aa74d7d95a343b96eefe4b0d7,4.0,0.75,4.0,1.4049865329972953,2,2,0.375,0.0625,0.03125
unitscope-equal,this-work,user-certified,primary,0,27b3f4e81201acedc9e59eec6ff20a869ad992378a99e63871c2a9b46b46dd66,0.3333333333333333,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.753,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.376782658300057,0.6232173416999429,1321,1551,0,2872,1.0,1.241487997837087,0.03393409999262076,0.00045351835665321876,0.0006342149818825556,privacy_level,b45eaec2ec6f6a1f66a48fca8553172df70d159aa74d7d95a343b96eefe4b0d7,4.0,0.75,4.0,1.4049865329972953,2,2,0.375,0.0625,0.03125
unitscope-tuned,this-work,user-certified,primary,0,27b3f4e81201acedc9e59eec6ff20a869ad992378a99e63871c2a9b46b46dd66,0.75,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.753,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.376782658300057,0.6232173416999429,1321,1551,0,2872,1.0,1.706371709981414,0.03436600000713952,0.0003721267909254241,0.0005500378769006094,privacy_level,b45eaec2ec6f6a1f66a48fca8553172df70d159aa74d7d95a343b96eefe4b0d7,4.0,0.75,4.0,1.4049865329972953,2,2,0.375,0.0625,0.03125
naive-recalibrated-2c,this-work,user-certified,primary,0,27b3f4e81201acedc9e59eec6ff20a869ad992378a99e63871c2a9b46b46dd66,,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.753,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,2.0,2.0,plan-delta,2.0,1.0,0.376782658300057,0.6232173416999429,1321,1551,0,2872,1.0,1.4169136806062272,0.03401869999652263,0.00017363883429874326,0.0008237542305574412,privacy_level,b45eaec2ec6f6a1f66a48fca8553172df70d159aa74d7d95a343b96eefe4b0d7,4.0,0.75,4.0,1.4049865329972953,2,2,0.375,0.0625,0.03125
full-identity-reference,oracle,oracle-assumption,full-identity-reference,0,27b3f4e81201acedc9e59eec6ff20a869ad992378a99e63871c2a9b46b46dd66,,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.753,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.0,0.0,0,0,0,1000,1.0,2.8459335467784372,0.042165799997746944,0.0,0.00015732952081832203,privacy_level,b45eaec2ec6f6a1f66a48fca8553172df70d159aa74d7d95a343b96eefe4b0d7,4.0,0.75,4.0,1.4049865329972953,2,2,0.375,0.0625,0.03125
non-private-reference,oracle,non-private,diagnostic,0,27b3f4e81201acedc9e59eec6ff20a869ad992378a99e63871c2a9b46b46dd66,,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.753,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,,,non-private,0.0,1.0,0.0,0.0,0,0,0,0,0.0,inf,0.020941299997502938,0.0009896145859756848,0.0009896145859756848,privacy_level,b45eaec2ec6f6a1f66a48fca8553172df70d159aa74d7d95a343b96eefe4b0d7,4.0,0.75,4.0,1.4049865329972953,2,2,0.375,0.0625,0.03125
naive-claimed-c,this-work,unsafe-diagnostic,diagnostic,0,27b3f4e81201acedc9e59eec6ff20a869ad992378a99e63871c2a9b46b46dd66,,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.753,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,,2.0,unsafe-diagnostic,1.0,1.0,0.376782658300057,0.6232173416999429,1321,1551,0,2872,1.0,2.8338273612124545,0.03297360001306515,0.00017363883429874326,0.0003413670116097702,privacy_level,b45eaec2ec6f6a1f66a48fca8553172df70d159aa74d7d95a343b96eefe4b0d7,4.0,0.75,4.0,1.4049865329972953,2,2,0.375,0.0625,0.03125
stable-local-fallback,this-work,user-certified,primary,1,27b3f4e81201acedc9e59eec6ff20a869ad992378a99e63871c2a9b46b46dd66,0.0,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.0,1.0,0,1747,0,1747,1.0,1.1397422406105941,0.022513600008096546,0.0004152697789505569,0.0005603816256217247,privacy_level,b45eaec2ec6f6a1f66a48fca8553172df70d159aa74d7d95a343b96eefe4b0d7,4.0,0.75,4.0,1.4049865329972953,2,2,0.375,0.0625,0.03125
handle-only-drop-residual,this-work,user-certified,primary,1,27b3f4e81201acedc9e59eec6ff20a869ad992378a99e63871c2a9b46b46dd66,1.0,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,0.37779049799656556,0.37779049799656556,0.0,1320,0,0,1320,1.0,2.1375192721278236,0.03170809999573976,0.0004679587074854589,0.0006583812198735289,privacy_level,b45eaec2ec6f6a1f66a48fca8553172df70d159aa74d7d95a343b96eefe4b0d7,4.0,0.75,4.0,1.4049865329972953,2,2,0.375,0.0625,0.03125
