method,implementation_provenance,privacy_semantics,comparison_tier,seed,config_hash,lambda,H,B,C,q_user,q_record_given_handle,realized_q_user,realized_q_record_given_handle,overlap_probability,realized_overlap,gradient_correlation,mixed_local_slots,realized_pairwise_cosine_mean,realized_pairwise_cosine_p10,realized_pairwise_cosine_p50,realized_pairwise_cosine_p90,certified_sensitivity,structural_sensitivity_bound,certificate_type,noise_sensitivity,effective_record_utilization,partial_handle_record_fraction,residual_record_fraction,partial_handle_units,local_atom_units,local_mixed_units,active_units,clip_fraction,aggregate_snr,wall_time_seconds,deterministic_distortion,noisy_aggregate_mse,stage,cell_hash,target_epsilon,policy_lambda,achieved_epsilon,noise_multiplier,records_per_silo,handles_per_user,c_partial,c_local_atom,c_local_mixed
stable-local-fallback,this-work,user-certified,primary,0,91fb296b4730b28854f98674539cdf633bda3a596ecc9683e2e33e3246f5930e,0.0,2,6,1.0,0.75,0.75,0.75,0.75,0.75,0.753,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.0,1.0,0,1753,0,1753,1.0,1.3765985532058433,0.031058499997016042,0.0007197730086262185,0.0007810104871313551,handle_multiplicity,c89dba30a32c920dae70ba207a67be379ae263841e476b275b0ffcd499b9a932,8.0,0.75,8.0,0.7415653755729036,4,2,0.375,0.041666666666666664,0.020833333333333332
handle-only-drop-residual,this-work,user-certified,primary,0,91fb296b4730b28854f98674539cdf633bda3a596ecc9683e2e33e3246f5930e,1.0,2,6,1.0,0.75,0.75,0.75,0.75,0.75,0.753,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,0.5651739874500855,0.5651739874500855,0.0,1500,0,0,1500,1.0,4.2909112492166805,0.041851599991787225,0.0002839179322905069,0.0003187239801818261,handle_multiplicity,c89dba30a32c920dae70ba207a67be379ae263841e476b275b0ffcd499b9a932,8.0,0.75,8.0,0.7415653755729036,4,2,0.375,0.041666666666666664,0.020833333333333332
unitscope-equal,this-work,user-certified,primary,0,91fb296b4730b28854f98674539cdf633bda3a596ecc9683e2e33e3246f5930e,0.25,2,6,1.0,0.75,0.75,0.75,0.75,0.75,0.753,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.5651739874500855,0.43482601254991443,1500,1517,0,3017,1.0,1.9042676958888383,0.044057000006432645,0.0005643495646562454,0.0006190406403443016,handle_multiplicity,c89dba30a32c920dae70ba207a67be379ae263841e476b275b0ffcd499b9a932,8.0,0.75,8.0,0.7415653755729036,4,2,0.375,0.041666666666666664,0.020833333333333332
unitscope-tuned,this-work,user-certified,primary,0,91fb296b4730b28854f98674539cdf633bda3a596ecc9683e2e33e3246f5930e,0.75,2,6,1.0,0.75,0.75,0.75,0.75,0.75,0.753,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.5651739874500855,0.43482601254991443,1500,1517,0,3017,1.0,3.471280305655179,0.06593989999964833,0.0003145626894355023,0.0003559970799257337,handle_multiplicity,c89dba30a32c920dae70ba207a67be379ae263841e476b275b0ffcd499b9a932,8.0,0.75,8.0,0.7415653755729036,4,2,0.375,0.041666666666666664,0.020833333333333332
naive-recalibrated-2c,this-work,user-certified,primary,0,91fb296b4730b28854f98674539cdf633bda3a596ecc9683e2e33e3246f5930e,,2,6,1.0,0.75,0.75,0.75,0.75,0.75,0.753,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,2.0,2.0,plan-delta,2.0,1.0,0.5651739874500855,0.43482601254991443,1500,1517,0,3017,1.0,2.668562471334214,0.041957499997806735,0.0001660519046131234,0.00032229870547778377,handle_multiplicity,c89dba30a32c920dae70ba207a67be379ae263841e476b275b0ffcd499b9a932,8.0,0.75,8.0,0.7415653755729036,4,2,0.375,0.041666666666666664,0.020833333333333332
full-identity-reference,oracle,oracle-assumption,full-identity-reference,0,91fb296b4730b28854f98674539cdf633bda3a596ecc9683e2e33e3246f5930e,,2,6,1.0,0.75,0.75,0.75,0.75,0.75,0.753,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.0,0.0,0,0,0,1000,1.0,5.391970065943077,0.0476974000048358,0.0,4.382932526256055e-05,handle_multiplicity,c89dba30a32c920dae70ba207a67be379ae263841e476b275b0ffcd499b9a932,8.0,0.75,8.0,0.7415653755729036,4,2,0.375,0.041666666666666664,0.020833333333333332
non-private-reference,oracle,non-private,diagnostic,0,91fb296b4730b28854f98674539cdf633bda3a596ecc9683e2e33e3246f5930e,,2,6,1.0,0.75,0.75,0.75,0.75,0.75,0.753,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,,,non-private,0.0,1.0,0.0,0.0,0,0,0,0,0.0,inf,0.03920749999815598,0.009316376702046693,0.009316376702046693,handle_multiplicity,c89dba30a32c920dae70ba207a67be379ae263841e476b275b0ffcd499b9a932,8.0,0.75,8.0,0.7415653755729036,4,2,0.375,0.041666666666666664,0.020833333333333332
naive-claimed-c,this-work,unsafe-diagnostic,diagnostic,0,91fb296b4730b28854f98674539cdf633bda3a596ecc9683e2e33e3246f5930e,,2,6,1.0,0.75,0.75,0.75,0.75,0.75,0.753,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,,2.0,unsafe-diagnostic,1.0,1.0,0.5651739874500855,0.43482601254991443,1500,1517,0,3017,1.0,5.337124942668428,0.042020599998068064,0.0001660519046131234,0.000200345979782893,handle_multiplicity,c89dba30a32c920dae70ba207a67be379ae263841e476b275b0ffcd499b9a932,8.0,0.75,8.0,0.7415653755729036,4,2,0.375,0.041666666666666664,0.020833333333333332
stable-local-fallback,this-work,user-certified,primary,1,91fb296b4730b28854f98674539cdf633bda3a596ecc9683e2e33e3246f5930e,0.0,2,6,1.0,0.75,0.75,0.75,0.75,0.75,0.747,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.0,1.0,0,1747,0,1747,1.0,1.4395876182046476,0.03076120000332594,0.0005922618567090469,0.0006414067021950543,handle_multiplicity,c89dba30a32c920dae70ba207a67be379ae263841e476b275b0ffcd499b9a932,8.0,0.75,8.0,0.7415653755729036,4,2,0.375,0.041666666666666664,0.020833333333333332
handle-only-drop-residual,this-work,user-certified,primary,1,91fb296b4730b28854f98674539cdf633bda3a596ecc9683e2e33e3246f5930e,1.0,2,6,1.0,0.75,0.75,0.75,0.75,0.75,0.747,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,0.5666857469948483,0.5666857469948483,0.0,1500,0,0,1500,1.0,4.871653150971987,0.04362899999250658,0.00027369927459968844,0.0003247605118094751,handle_multiplicity,c89dba30a32c920dae70ba207a67be379ae263841e476b275b0ffcd499b9a932,8.0,0.75,8.0,0.7415653755729036,4,2,0.375,0.041666666666666664,0.020833333333333332
unitscope-equal,this-work,user-certified,primary,1,91fb296b4730b28854f98674539cdf633bda3a596ecc9683e2e33e3246f5930e,0.25,2,6,1.0,0.75,0.75,0.75,0.75,0.75,0.747,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.5666857469948483,0.4333142530051517,1500,1498,0,2998,1.0,2.140172530151456,0.041621399999712594,0.0004446070795859773,0.0004917634146358648,handle_multiplicity,c89dba30a32c920dae70ba207a67be379ae263841e476b275b0ffcd499b9a932,8.0,0.75,8.0,0.7415653755729036,4,2,0.375,0.041666666666666664,0.020833333333333332
unitscope-tuned,this-work,user-certified,primary,1,91fb296b4730b28854f98674539cdf633bda3a596ecc9683e2e33e3246f5930e,0.75,2,6,1.0,0.75,0.75,0.75,0.75,0.75,0.747,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.5666857469948483,0.4333142530051517,1500,1498,0,2998,1.0,3.928076433049564,0.04285720000916626,0.00026909885124911254,0.00031885845440559945,handle_multiplicity,c89dba30a32c920dae70ba207a67be379ae263841e476b275b0ffcd499b9a932,8.0,0.75,8.0,0.7415653755729036,4,2,0.375,0.041666666666666664,0.020833333333333332
naive-recalibrated-2c,this-work,user-certified,primary,1,91fb296b4730b28854f98674539cdf633bda3a596ecc9683e2e33e3246f5930e,,2,6,1.0,0.75,0.75,0.75,0.75,0.75,0.747,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,2.0,2.0,plan-delta,2.0,1.0,0.5666857469948483,0.4333142530051517,1500,1498,0,2998,1.0,3.0075841593698747,0.04349280000315048,0.00018659333356466987,0.00034127708870623975,handle_multiplicity,c89dba30a32c920dae70ba207a67be379ae263841e476b275b0ffcd499b9a932,8.0,0.75,8.0,0.7415653755729036,4,2,0.375,0.041666666666666664,0.020833333333333332
