method,implementation_provenance,privacy_semantics,comparison_tier,seed,config_hash,lambda,H,B,C,q_user,q_record_given_handle,realized_q_user,realized_q_record_given_handle,overlap_probability,realized_overlap,gradient_correlation,mixed_local_slots,realized_pairwise_cosine_mean,realized_pairwise_cosine_p10,realized_pairwise_cosine_p50,realized_pairwise_cosine_p90,certified_sensitivity,structural_sensitivity_bound,certificate_type,noise_sensitivity,effective_record_utilization,partial_handle_record_fraction,residual_record_fraction,partial_handle_units,local_atom_units,local_mixed_units,active_units,clip_fraction,aggregate_snr,wall_time_seconds,deterministic_distortion,noisy_aggregate_mse,stage,cell_hash,target_epsilon,policy_lambda,achieved_epsilon,noise_multiplier,records_per_silo,handles_per_user,c_partial,c_local_atom,c_local_mixed
stable-local-fallback,this-work,user-certified,primary,0,7e05e7d37d8a89c8dde0936e51d2be4a5a53fc703e1d728564578c0ef278e9d4,0.0,2,2,1.0,0.75,0.5,0.75,0.5,0.75,0.753,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.0,1.0,0,1753,0,1753,1.0,4.12979565961753,0.022386700002243742,0.00010913479906660968,0.00016918445256498333,fallback_bound,e5406f65a51cec6decfcd011a3fddc69b928e80547953d06bf714d6dfed61a26,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.125,0.0625
handle-only-drop-residual,this-work,user-certified,primary,0,7e05e7d37d8a89c8dde0936e51d2be4a5a53fc703e1d728564578c0ef278e9d4,1.0,2,2,1.0,0.75,0.5,0.75,0.5,0.75,0.753,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,0.376782658300057,0.376782658300057,0.0,1321,0,0,1321,1.0,3.818124340697683,0.03192459999991115,0.0003747781612295103,0.00042858849348977084,fallback_bound,e5406f65a51cec6decfcd011a3fddc69b928e80547953d06bf714d6dfed61a26,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.125,0.0625
unitscope-equal,this-work,user-certified,primary,0,7e05e7d37d8a89c8dde0936e51d2be4a5a53fc703e1d728564578c0ef278e9d4,0.5,2,2,1.0,0.75,0.5,0.75,0.5,0.75,0.753,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.376782658300057,0.6232173416999429,1321,1551,0,2872,1.0,3.528226860291299,0.03529509999498259,0.00022501317299729908,0.0002783415383252728,fallback_bound,e5406f65a51cec6decfcd011a3fddc69b928e80547953d06bf714d6dfed61a26,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.125,0.0625
unitscope-tuned,this-work,user-certified,primary,0,7e05e7d37d8a89c8dde0936e51d2be4a5a53fc703e1d728564578c0ef278e9d4,0.75,2,2,1.0,0.75,0.5,0.75,0.5,0.75,0.753,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.376782658300057,0.6232173416999429,1321,1551,0,2872,1.0,3.6226265175189396,0.03536639999947511,0.00028281072245911996,0.0003363800712532371,fallback_bound,e5406f65a51cec6decfcd011a3fddc69b928e80547953d06bf714d6dfed61a26,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.125,0.0625
naive-recalibrated-2c,this-work,user-certified,primary,0,7e05e7d37d8a89c8dde0936e51d2be4a5a53fc703e1d728564578c0ef278e9d4,,2,2,1.0,0.75,0.5,0.75,0.5,0.75,0.753,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,2.0,2.0,plan-delta,2.0,1.0,0.376782658300057,0.6232173416999429,1321,1551,0,2872,1.0,3.528226860291299,0.03617130000202451,0.0002669700292488588,0.0004442793590688387,fallback_bound,e5406f65a51cec6decfcd011a3fddc69b928e80547953d06bf714d6dfed61a26,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.125,0.0625
full-identity-reference,oracle,oracle-assumption,full-identity-reference,0,7e05e7d37d8a89c8dde0936e51d2be4a5a53fc703e1d728564578c0ef278e9d4,,2,2,1.0,0.75,0.5,0.75,0.5,0.75,0.753,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.0,0.0,0,0,0,1000,1.0,5.3919700659430765,0.044164599996292964,0.0,4.3829325262560534e-05,fallback_bound,e5406f65a51cec6decfcd011a3fddc69b928e80547953d06bf714d6dfed61a26,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.125,0.0625
non-private-reference,oracle,non-private,diagnostic,0,7e05e7d37d8a89c8dde0936e51d2be4a5a53fc703e1d728564578c0ef278e9d4,,2,2,1.0,0.75,0.5,0.75,0.5,0.75,0.753,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,,,non-private,0.0,1.0,0.0,0.0,0,0,0,0,0.0,inf,0.019351900002220646,0.000989614585975685,0.000989614585975685,fallback_bound,e5406f65a51cec6decfcd011a3fddc69b928e80547953d06bf714d6dfed61a26,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.125,0.0625
naive-claimed-c,this-work,unsafe-diagnostic,diagnostic,0,7e05e7d37d8a89c8dde0936e51d2be4a5a53fc703e1d728564578c0ef278e9d4,,2,2,1.0,0.75,0.5,0.75,0.5,0.75,0.753,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,,2.0,unsafe-diagnostic,1.0,1.0,0.376782658300057,0.6232173416999429,1321,1551,0,2872,1.0,7.056453720582598,0.0343297000072198,0.0002669700292488588,0.0003117953688962882,fallback_bound,e5406f65a51cec6decfcd011a3fddc69b928e80547953d06bf714d6dfed61a26,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.125,0.0625
stable-local-fallback,this-work,user-certified,primary,1,7e05e7d37d8a89c8dde0936e51d2be4a5a53fc703e1d728564578c0ef278e9d4,0.0,2,2,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.0,1.0,0,1747,0,1747,1.0,4.318762854613945,0.022610099986195564,8.376921143013852e-05,0.0001278870421787841,fallback_bound,e5406f65a51cec6decfcd011a3fddc69b928e80547953d06bf714d6dfed61a26,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.125,0.0625
handle-only-drop-residual,this-work,user-certified,primary,1,7e05e7d37d8a89c8dde0936e51d2be4a5a53fc703e1d728564578c0ef278e9d4,1.0,2,2,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,0.37779049799656556,0.37779049799656556,0.0,1320,0,0,1320,1.0,4.049792358551845,0.03166729999065865,0.00046795870748545887,0.0005397622034925535,fallback_bound,e5406f65a51cec6decfcd011a3fddc69b928e80547953d06bf714d6dfed61a26,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.125,0.0625
