method,implementation_provenance,privacy_semantics,comparison_tier,seed,config_hash,lambda,H,B,C,q_user,q_record_given_handle,realized_q_user,realized_q_record_given_handle,overlap_probability,realized_overlap,gradient_correlation,mixed_local_slots,realized_pairwise_cosine_mean,realized_pairwise_cosine_p10,realized_pairwise_cosine_p50,realized_pairwise_cosine_p90,certified_sensitivity,structural_sensitivity_bound,certificate_type,noise_sensitivity,effective_record_utilization,partial_handle_record_fraction,residual_record_fraction,partial_handle_units,local_atom_units,local_mixed_units,active_units,clip_fraction,aggregate_snr,wall_time_seconds,deterministic_distortion,noisy_aggregate_mse,stage,cell_hash,target_epsilon,policy_lambda,achieved_epsilon,noise_multiplier,records_per_silo,handles_per_user,c_partial,c_local_atom,c_local_mixed
stable-local-fallback,this-work,user-certified,primary,0,e28b1e6c35bf9be353013ee1f426492f4bab12680793af7f1b97451367323f62,0.0,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.753,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.0,1.0,0,1753,0,1753,1.0,0.2850201014698743,0.022680300011415966,0.0005048202526941429,0.0029292266594745714,privacy_level,eca851e44c085ca95d1d9ecd02f0bf50b66a3a066a68b3cda57a3ccf83f25dc1,1.0,0.75,1.0,5.372451721071541,2,2,0.375,0.0625,0.03125
handle-only-drop-residual,this-work,user-certified,primary,0,e28b1e6c35bf9be353013ee1f426492f4bab12680793af7f1b97451367323f62,1.0,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.753,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,0.376782658300057,0.376782658300057,0.0,1321,0,0,1321,1.0,0.5270198705720154,0.03176089999033138,0.00037477816122951074,0.0027475281628401857,privacy_level,eca851e44c085ca95d1d9ecd02f0bf50b66a3a066a68b3cda57a3ccf83f25dc1,1.0,0.75,1.0,5.372451721071541,2,2,0.375,0.0625,0.03125
unitscope-equal,this-work,user-certified,primary,0,e28b1e6c35bf9be353013ee1f426492f4bab12680793af7f1b97451367323f62,0.3333333333333333,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.753,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.376782658300057,0.6232173416999429,1321,1551,0,2872,1.0,0.324670003268263,0.03371139999944717,0.00045351835665321876,0.0028433107139689325,privacy_level,eca851e44c085ca95d1d9ecd02f0bf50b66a3a066a68b3cda57a3ccf83f25dc1,1.0,0.75,1.0,5.372451721071541,2,2,0.375,0.0625,0.03125
unitscope-tuned,this-work,user-certified,primary,0,e28b1e6c35bf9be353013ee1f426492f4bab12680793af7f1b97451367323f62,0.75,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.753,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.376782658300057,0.6232173416999429,1321,1551,0,2872,1.0,0.4462449170847614,0.03346109999984037,0.0003721267909254241,0.0027512676759254896,privacy_level,eca851e44c085ca95d1d9ecd02f0bf50b66a3a066a68b3cda57a3ccf83f25dc1,1.0,0.75,1.0,5.372451721071541,2,2,0.375,0.0625,0.03125
naive-recalibrated-2c,this-work,user-certified,primary,0,e28b1e6c35bf9be353013ee1f426492f4bab12680793af7f1b97451367323f62,,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.753,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,2.0,2.0,plan-delta,2.0,1.0,0.376782658300057,0.6232173416999429,1321,1551,0,2872,1.0,0.3705467713862162,0.03340750001370907,0.00017363883429874326,0.009454925172068447,privacy_level,eca851e44c085ca95d1d9ecd02f0bf50b66a3a066a68b3cda57a3ccf83f25dc1,1.0,0.75,1.0,5.372451721071541,2,2,0.375,0.0625,0.03125
full-identity-reference,oracle,oracle-assumption,full-identity-reference,0,e28b1e6c35bf9be353013ee1f426492f4bab12680793af7f1b97451367323f62,,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.753,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.0,0.0,0,0,0,1000,1.0,0.7442595140215477,0.040689100002055056,0.0,0.0023004401554539635,privacy_level,eca851e44c085ca95d1d9ecd02f0bf50b66a3a066a68b3cda57a3ccf83f25dc1,1.0,0.75,1.0,5.372451721071541,2,2,0.375,0.0625,0.03125
non-private-reference,oracle,non-private,diagnostic,0,e28b1e6c35bf9be353013ee1f426492f4bab12680793af7f1b97451367323f62,,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.753,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,,,non-private,0.0,1.0,0.0,0.0,0,0,0,0,0.0,inf,0.01929799999925308,0.0009896145859756848,0.0009896145859756848,privacy_level,eca851e44c085ca95d1d9ecd02f0bf50b66a3a066a68b3cda57a3ccf83f25dc1,1.0,0.75,1.0,5.372451721071541,2,2,0.375,0.0625,0.03125
naive-claimed-c,this-work,unsafe-diagnostic,diagnostic,0,e28b1e6c35bf9be353013ee1f426492f4bab12680793af7f1b97451367323f62,,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.753,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,,2.0,unsafe-diagnostic,1.0,1.0,0.376782658300057,0.6232173416999429,1321,1551,0,2872,1.0,0.7410935427724324,0.032424300006823614,0.00017363883429874326,0.0025138418477296314,privacy_level,eca851e44c085ca95d1d9ecd02f0bf50b66a3a066a68b3cda57a3ccf83f25dc1,1.0,0.75,1.0,5.372451721071541,2,2,0.375,0.0625,0.03125
stable-local-fallback,this-work,user-certified,primary,1,e28b1e6c35bf9be353013ee1f426492f4bab12680793af7f1b97451367323f62,0.0,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.0,1.0,0,1747,0,1747,1.0,0.2980617755698812,0.02391879999777302,0.0004152697789505569,0.002213750818700435,privacy_level,eca851e44c085ca95d1d9ecd02f0bf50b66a3a066a68b3cda57a3ccf83f25dc1,1.0,0.75,1.0,5.372451721071541,2,2,0.375,0.0625,0.03125
handle-only-drop-residual,this-work,user-certified,primary,1,e28b1e6c35bf9be353013ee1f426492f4bab12680793af7f1b97451367323f62,1.0,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,0.37779049799656556,0.37779049799656556,0.0,1320,0,0,1320,1.0,0.5589972599628656,0.0565028999990318,0.0004679587074854589,0.0024397007417691096,privacy_level,eca851e44c085ca95d1d9ecd02f0bf50b66a3a066a68b3cda57a3ccf83f25dc1,1.0,0.75,1.0,5.372451721071541,2,2,0.375,0.0625,0.03125
