method,implementation_provenance,privacy_semantics,comparison_tier,seed,config_hash,lambda,H,B,C,q_user,q_record_given_handle,realized_q_user,realized_q_record_given_handle,overlap_probability,realized_overlap,gradient_correlation,mixed_local_slots,realized_pairwise_cosine_mean,realized_pairwise_cosine_p10,realized_pairwise_cosine_p50,realized_pairwise_cosine_p90,certified_sensitivity,structural_sensitivity_bound,certificate_type,noise_sensitivity,effective_record_utilization,partial_handle_record_fraction,residual_record_fraction,partial_handle_units,local_atom_units,local_mixed_units,active_units,clip_fraction,aggregate_snr,wall_time_seconds,deterministic_distortion,noisy_aggregate_mse,stage,cell_hash,target_epsilon,policy_lambda,achieved_epsilon,noise_multiplier,records_per_silo,handles_per_user,c_partial,c_local_atom,c_local_mixed
stable-local-fallback,this-work,user-certified,primary,0,7f38e862679e8341df21ad97efd4256f902b0a932e5fc4c878aac6f979de6981,0.0,1,6,1.0,0.75,0.75,0.75,0.75,0.75,0.753,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.0,1.0,0,1753,0,1753,1.0,1.3765985532058433,0.032560699997702613,0.0007197730086262185,0.0007810104871313551,handle_multiplicity,f4b315b3819ea19f0c84701b8f6a853fef03b696e42c6f5b46c8ed0dedd1229c,8.0,0.75,8.0,0.7415653755729036,4,1,0.75,0.041666666666666664,0.020833333333333332
handle-only-drop-residual,this-work,user-certified,primary,0,7f38e862679e8341df21ad97efd4256f902b0a932e5fc4c878aac6f979de6981,1.0,1,6,1.0,0.75,0.75,0.75,0.75,0.75,0.753,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,0.5651739874500855,0.5651739874500855,0.0,750,0,0,750,1.0,4.333945140035929,0.05823360000795219,0.00028138224763552683,0.0003187470948355717,handle_multiplicity,f4b315b3819ea19f0c84701b8f6a853fef03b696e42c6f5b46c8ed0dedd1229c,8.0,0.75,8.0,0.7415653755729036,4,1,0.75,0.041666666666666664,0.020833333333333332
unitscope-equal,this-work,user-certified,primary,0,7f38e862679e8341df21ad97efd4256f902b0a932e5fc4c878aac6f979de6981,0.14285714285714285,1,6,1.0,0.75,0.75,0.75,0.75,0.75,0.753,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.5651739874500855,0.43482601254991443,750,1517,0,2267,1.0,1.6080955663210426,0.03590849999454804,0.0006487090270847515,0.0007066063637878738,handle_multiplicity,f4b315b3819ea19f0c84701b8f6a853fef03b696e42c6f5b46c8ed0dedd1229c,8.0,0.75,8.0,0.7415653755729036,4,1,0.75,0.041666666666666664,0.020833333333333332
unitscope-tuned,this-work,user-certified,primary,0,7f38e862679e8341df21ad97efd4256f902b0a932e5fc4c878aac6f979de6981,0.75,1,6,1.0,0.75,0.75,0.75,0.75,0.75,0.753,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.5651739874500855,0.43482601254991443,750,1517,0,2267,1.0,3.503664191843998,0.03559470000618603,0.0003103601038771569,0.00035371359384893267,handle_multiplicity,f4b315b3819ea19f0c84701b8f6a853fef03b696e42c6f5b46c8ed0dedd1229c,8.0,0.75,8.0,0.7415653755729036,4,1,0.75,0.041666666666666664,0.020833333333333332
naive-recalibrated-2c,this-work,user-certified,primary,0,7f38e862679e8341df21ad97efd4256f902b0a932e5fc4c878aac6f979de6981,,1,6,1.0,0.75,0.75,0.75,0.75,0.75,0.753,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,2.0,2.0,plan-delta,2.0,1.0,0.5651739874500855,0.43482601254991443,750,1517,0,2267,1.0,2.690132495688722,0.036685200000647455,0.00016751291074567097,0.0003288773102277828,handle_multiplicity,f4b315b3819ea19f0c84701b8f6a853fef03b696e42c6f5b46c8ed0dedd1229c,8.0,0.75,8.0,0.7415653755729036,4,1,0.75,0.041666666666666664,0.020833333333333332
full-identity-reference,oracle,oracle-assumption,full-identity-reference,0,7f38e862679e8341df21ad97efd4256f902b0a932e5fc4c878aac6f979de6981,,1,6,1.0,0.75,0.75,0.75,0.75,0.75,0.753,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.0,0.0,0,0,0,1000,1.0,5.391970065943077,0.050125599998864345,0.0,4.382932526256055e-05,handle_multiplicity,f4b315b3819ea19f0c84701b8f6a853fef03b696e42c6f5b46c8ed0dedd1229c,8.0,0.75,8.0,0.7415653755729036,4,1,0.75,0.041666666666666664,0.020833333333333332
non-private-reference,oracle,non-private,diagnostic,0,7f38e862679e8341df21ad97efd4256f902b0a932e5fc4c878aac6f979de6981,,1,6,1.0,0.75,0.75,0.75,0.75,0.75,0.753,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,,,non-private,0.0,1.0,0.0,0.0,0,0,0,0,0.0,inf,0.03798850000021048,0.009316376702046693,0.009316376702046693,handle_multiplicity,f4b315b3819ea19f0c84701b8f6a853fef03b696e42c6f5b46c8ed0dedd1229c,8.0,0.75,8.0,0.7415653755729036,4,1,0.75,0.041666666666666664,0.020833333333333332
naive-claimed-c,this-work,unsafe-diagnostic,diagnostic,0,7f38e862679e8341df21ad97efd4256f902b0a932e5fc4c878aac6f979de6981,,1,6,1.0,0.75,0.75,0.75,0.75,0.75,0.753,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,,2.0,unsafe-diagnostic,1.0,1.0,0.5651739874500855,0.43482601254991443,750,1517,0,2267,1.0,5.380264991377444,0.03601110000454355,0.00016751291074567097,0.00020436578522416634,handle_multiplicity,f4b315b3819ea19f0c84701b8f6a853fef03b696e42c6f5b46c8ed0dedd1229c,8.0,0.75,8.0,0.7415653755729036,4,1,0.75,0.041666666666666664,0.020833333333333332
stable-local-fallback,this-work,user-certified,primary,1,7f38e862679e8341df21ad97efd4256f902b0a932e5fc4c878aac6f979de6981,0.0,1,6,1.0,0.75,0.75,0.75,0.75,0.75,0.747,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.0,1.0,0,1747,0,1747,1.0,1.4395876182046476,0.030539199986378662,0.0005922618567090469,0.0006414067021950543,handle_multiplicity,f4b315b3819ea19f0c84701b8f6a853fef03b696e42c6f5b46c8ed0dedd1229c,8.0,0.75,8.0,0.7415653755729036,4,1,0.75,0.041666666666666664,0.020833333333333332
handle-only-drop-residual,this-work,user-certified,primary,1,7f38e862679e8341df21ad97efd4256f902b0a932e5fc4c878aac6f979de6981,1.0,1,6,1.0,0.75,0.75,0.75,0.75,0.75,0.747,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,0.5666857469948483,0.5666857469948483,0.0,750,0,0,750,1.0,4.977915116688778,0.03507400001399219,0.0002760371262563704,0.0003279013442407303,handle_multiplicity,f4b315b3819ea19f0c84701b8f6a853fef03b696e42c6f5b46c8ed0dedd1229c,8.0,0.75,8.0,0.7415653755729036,4,1,0.75,0.041666666666666664,0.020833333333333332
