stage,H,B,mixed_local_slots,target_epsilon,policy_lambda,method,deterministic_distortion_mean,deterministic_distortion_ci_lower,deterministic_distortion_ci_upper,noisy_aggregate_mse_mean,noisy_aggregate_mse_ci_lower,noisy_aggregate_mse_ci_upper,seeds,noise_multiplier,achieved_epsilon,realized_overlap_mean,realized_handle_user_fraction_mean,realized_record_coverage_mean,partial_handle_units_mean,local_atom_units_mean,local_mixed_units_mean,c_partial,c_local_atom,c_local_mixed
fallback_bound,2,2,False,8.0,0.75,handle-only-drop-residual,0.0003629739967213,0.00032952961667937305,0.00039571584884134,0.00041277726510978994,0.0003796060827105825,0.00045064159689330046,10,0.7415653755729036,8.0,0.7464999999999999,0.75,0.5,1312.6,0.0,0.0,0.375,0.125,0.0625
fallback_bound,2,2,False,8.0,0.75,stable-local-fallback,7.877416938925951e-05,7.07452214988384e-05,8.792632017003968e-05,0.00011783027414947005,0.00010335780056607215,0.00013359056372432834,10,0.7415653755729036,8.0,0.7464999999999999,0.75,0.5,0.0,1746.5,0.0,0.375,0.125,0.0625
fallback_bound,2,2,False,8.0,0.75,unitscope-tuned,0.00025581755544264997,0.0002357374318675257,0.00027460048654829504,0.00030293690990585,0.00027988537425169,0.0003267792105304432,10,0.7415653755729036,8.0,0.7464999999999999,0.75,0.5,1312.6,1555.8,0.0,0.375,0.125,0.0625
fallback_bound,2,2,True,8.0,0.75,handle-only-drop-residual,0.0003629739967213,0.00032947584657637,0.00039647142064863,0.00041277726510978994,0.0003797743587286617,0.00045051610228034867,10,0.7415653755729036,8.0,0.7464999999999999,0.75,0.5,1312.6,0.0,0.0,0.375,0.125,0.0625
fallback_bound,2,2,True,8.0,0.75,stable-local-fallback,0.00040736376548398,0.00037120807838300103,0.0004460754314080096,0.00045285883185835,0.00040416742697370296,0.0005089691952868165,10,0.7415653755729036,8.0,0.7464999999999999,0.75,0.5,0.0,0.0,1746.5,0.375,0.125,0.0625
fallback_bound,2,2,True,8.0,0.75,unitscope-tuned,0.0003368699551688,0.00031362224227654003,0.00035951409814114827,0.00038559761154463004,0.00035738612513523096,0.0004140432148748082,10,0.7415653755729036,8.0,0.7464999999999999,0.75,0.5,1312.6,0.0,1555.8,0.375,0.125,0.0625
fallback_bound,2,4,False,8.0,0.75,handle-only-drop-residual,0.0003629739967213,0.0003293628683767032,0.0003960814069230627,0.00041277726510978994,0.00038014374573120004,0.0004506389962116814,10,0.7415653755729036,8.0,0.7464999999999999,0.75,0.5,1312.6,0.0,0.0,0.375,0.0625,0.03125
fallback_bound,2,4,False,8.0,0.75,stable-local-fallback,0.00040736376548398,0.0003717411153648648,0.00044652036104893993,0.00045285883185835,0.00040478466748923006,0.0005090050894269896,10,0.7415653755729036,8.0,0.7464999999999999,0.75,0.5,0.0,1746.5,0.0,0.375,0.0625,0.03125
fallback_bound,2,4,False,8.0,0.75,unitscope-tuned,0.0003368699551688,0.0003136435532170712,0.00035950557030952994,0.00038559761154463004,0.0003576355273729472,0.0004140291974600017,10,0.7415653755729036,8.0,0.7464999999999999,0.75,0.5,1312.6,1555.8,0.0,0.375,0.0625,0.03125
fallback_bound,2,4,True,8.0,0.75,handle-only-drop-residual,0.0003629739967213,0.000329133361850727,0.00039562785912237,0.00041277726510978994,0.00037992489947158854,0.0004500970722370015,10,0.7415653755729036,8.0,0.7464999999999999,0.75,0.5,1312.6,0.0,0.0,0.375,0.0625,0.03125
