seed,epsilon,route,reference_person_count,deterministic_count,deterministic_count_bias,deterministic_relative_bias,sensitivity,standard_laplace,noise,release,error,signed_relative_error,squared_error,absolute_relative_error
43001,1.0,handle-only,1825,1002,-823,-0.45095890410958905,1.0,-1.0057243835952525,-1.0057243835952525,1000.9942756164047,-824.0057243835953,-0.45150998596361386,678985.4338169337,0.45150998596361386
43001,1.0,unitscope,1825,1825,0,0.0,1.0,-1.0057243835952525,-1.0057243835952525,1823.9942756164048,-1.0057243835951795,-0.0005510818540247559,1.0114815357579037,0.0005510818540247559
43001,1.0,naive-2c,1825,1825,0,0.0,2.0,-1.0057243835952525,-2.011448767190505,1822.9885512328094,-2.0114487671905863,-0.0011021637080496363,4.0459261430325295,0.0011021637080496363
43001,4.0,handle-only,1825,1002,-823,-0.45095890410958905,1.0,-1.0057243835952525,-0.25143109589881313,1001.7485689041011,-823.2514310958989,-0.45109667457309527,677742.9188014455,0.45109667457309527
43001,4.0,unitscope,1825,1825,0,0.0,1.0,-1.0057243835952525,-0.25143109589881313,1824.7485689041011,-0.2514310958988517,-0.00013777046350622012,0.06321759598489757,0.00013777046350622012
43001,4.0,naive-2c,1825,1825,0,0.0,2.0,-1.0057243835952525,-0.5028621917976263,1824.4971378082023,-0.5028621917977034,-0.00027554092701244023,0.25287038393959027,0.00027554092701244023
43001,16.0,handle-only,1825,1002,-823,-0.45095890410958905,1.0,-1.0057243835952525,-0.06285777397470328,1001.9371422260253,-823.0628577739747,-0.45099334672546554,677432.467847062,0.45099334672546554
43001,16.0,unitscope,1825,1825,0,0.0,1.0,-1.0057243835952525,-0.06285777397470328,1824.9371422260253,-0.06285777397465608,-3.444261587652388e-05,0.003951099749048952,3.444261587652388e-05
43001,16.0,naive-2c,1825,1825,0,0.0,2.0,-1.0057243835952525,-0.12571554794940656,1824.8742844520507,-0.12571554794931217,-6.888523175304776e-05,0.015804398996195807,6.888523175304776e-05
43002,1.0,handle-only,1825,1002,-823,-0.45095890410958905,1.0,0.3974850788828312,0.3974850788828312,1002.3974850788828,-822.6025149211172,-0.4507411040663656,676674.8975545468,0.4507411040663656
43002,1.0,unitscope,1825,1825,0,0.0,1.0,0.3974850788828312,0.3974850788828312,1825.397485078883,0.39748507888293716,0.00021780004322352722,0.15799438793457476,0.00021780004322352722
43002,1.0,naive-2c,1825,1825,0,0.0,2.0,0.3974850788828312,0.7949701577656624,1825.7949701577656,0.794970157765647,0.0004356000864469298,0.6319775517379376,0.0004356000864469298
43002,4.0,handle-only,1825,1002,-823,-0.45095890410958905,1.0,0.3974850788828312,0.0993712697207078,1002.0993712697207,-822.9006287302793,-0.4509044540987832,677165.444764689,0.4509044540987832
43002,4.0,unitscope,1825,1825,0,0.0,1.0,0.3974850788828312,0.0993712697207078,1825.0993712697207,0.09937126972067745,5.4450010805850655e-05,0.009874649245899626,5.4450010805850655e-05
43002,4.0,naive-2c,1825,1825,0,0.0,2.0,0.3974850788828312,0.1987425394414156,1825.1987425394414,0.1987425394413549,0.00010890002161170131,0.039498596983598505,0.00010890002161170131
43002,16.0,handle-only,1825,1002,-823,-0.45095890410958905,1.0,0.3974850788828312,0.02484281743017695,1002.0248428174302,-822.9751571825698,-0.45094529160688757,677288.1093396754,0.45094529160688757
43002,16.0,unitscope,1825,1825,0,0.0,1.0,0.3974850788828312,0.02484281743017695,1825.0248428174302,0.024842817430226205,1.3612502701493811e-05,0.000617165577871551,1.3612502701493811e-05
43002,16.0,naive-2c,1825,1825,0,0.0,2.0,0.3974850788828312,0.0496856348603539,1825.0496856348605,0.04968563486045241,2.7225005402987622e-05,0.002468662311486204,2.7225005402987622e-05
43003,1.0,handle-only,1825,1002,-823,-0.45095890410958905,1.0,0.7600306019045974,0.7600306019045974,1002.7600306019046,-822.2399693980954,-0.45054244898525775,676078.5672757808,0.45054244898525775
43003,1.0,unitscope,1825,1825,0,0.0,1.0,0.7600306019045974,0.7600306019045974,1825.7600306019046,0.7600306019046457,0.0004164551243313127,0.577646515831538,0.0004164551243313127
43003,1.0,naive-2c,1825,1825,0,0.0,2.0,0.7600306019045974,1.5200612038091947,1826.5200612038093,1.5200612038092913,0.0008329102486626254,2.310586063326152,0.0008329102486626254
43003,4.0,handle-only,1825,1002,-823,-0.45095890410958905,1.0,0.7600306019045974,0.19000765047614934,1002.1900076504761,-822.8099923495239,-0.4508547903285062,677016.2835102236,0.4508547903285062
43003,4.0,unitscope,1825,1825,0,0.0,1.0,0.7600306019045974,0.19000765047614934,1825.1900076504762,0.19000765047621826,0.00010411378108285932,0.03610290723949273,0.00010411378108285932
43003,4.0,naive-2c,1825,1825,0,0.0,2.0,0.7600306019045974,0.3800153009522987,1825.3800153009522,0.38001530095220915,0.00020822756216559406,0.14441162895779808,0.00020822756216559406
43003,16.0,handle-only,1825,1002,-823,-0.45095890410958905,1.0,0.7600306019045974,0.047501912619037336,1002.047501912619,-822.952498087381,-0.45093287566431833,677250.8141082608,0.45093287566431833
43003,16.0,unitscope,1825,1825,0,0.0,1.0,0.7600306019045974,0.047501912619037336,1825.047501912619,0.047501912619054565,2.602844527071483e-05,0.0022564317024682955,2.602844527071483e-05
43003,16.0,naive-2c,1825,1825,0,0.0,2.0,0.7600306019045974,0.09500382523807467,1825.095003825238,0.09500382523810913,5.205689054142966e-05,0.009025726809873182,5.205689054142966e-05
43004,1.0,handle-only,1825,1002,-823,-0.45095890410958905,1.0,0.4712835918789095,0.4712835918789095,1002.4712835918789,-822.5287164081211,-0.45070066652499785,676553.4893159913,0.45070066652499785
43004,1.0,unitscope,1825,1825,0,0.0,1.0,0.4712835918789095,0.4712835918789095,1825.471283591879,0.4712835918790006,0.0002582375845912332,0.2221082239743724,0.0002582375845912332
43004,1.0,naive-2c,1825,1825,0,0.0,2.0,0.4712835918789095,0.942567183757819,1825.9425671837578,0.9425671837577738,0.0005164751691823418,0.888432895897061,0.0005164751691823418
43004,4.0,handle-only,1825,1002,-823,-0.45095890410958905,1.0,0.4712835918789095,0.11782089796972738,1002.1178208979698,-822.8821791020302,-0.45089434471344125,677135.0806837057,0.45089434471344125
43004,4.0,unitscope,1825,1825,0,0.0,1.0,0.4712835918789095,0.11782089796972738,1825.1178208979698,0.11782089796975015,6.45593961478083e-05,0.013881763998398276,6.45593961478083e-05
43004,4.0,naive-2c,1825,1825,0,0.0,2.0,0.4712835918789095,0.23564179593945475,1825.2356417959395,0.2356417959395003,0.0001291187922956166,0.0555270559935931,0.0001291187922956166
43004,16.0,handle-only,1825,1002,-823,-0.45095890410958905,1.0,0.4712835918789095,0.029455224492431844,1002.0294552244924,-822.9705447755076,-0.45094276426055213,677280.5175680958,0.45094276426055213
43004,16.0,unitscope,1825,1825,0,0.0,1.0,0.4712835918789095,0.029455224492431844,1825.0294552244925,0.02945522449249438,1.6139849036983222e-05,0.0008676102499032409,1.6139849036983222e-05
43004,16.0,naive-2c,1825,1825,0,0.0,2.0,0.4712835918789095,0.05891044898486369,1825.0589104489848,0.05891044898476139,3.2279698073841855e-05,0.003470440999586174,3.2279698073841855e-05
43005,1.0,handle-only,1825,1002,-823,-0.45095890410958905,1.0,0.2589893747436235,0.2589893747436235,1002.2589893747436,-822.7410106252564,-0.4508169921234282,676902.7705646683,0.4508169921234282
43005,1.0,unitscope,1825,1825,0,0.0,1.0,0.2589893747436235,0.2589893747436235,1825.2589893747436,0.2589893747435781,0.0001419119861608647,0.06707549623006952,0.0001419119861608647
43005,1.0,naive-2c,1825,1825,0,0.0,2.0,0.2589893747436235,0.517978749487247,1825.5179787494872,0.5179787494871562,0.0002838239723217294,0.26830198492027807,0.0002838239723217294
43005,4.0,handle-only,1825,1002,-823,-0.45095890410958905,1.0,0.2589893747436235,0.06474734368590587,1002.0647473436859,-822.9352526563141,-0.4509234261130488,677222.4300645115,0.4509234261130488
43005,4.0,unitscope,1825,1825,0,0.0,1.0,0.2589893747436235,0.06474734368590587,1825.064747343686,0.06474734368589452,3.547799654021618e-05,0.004192218514379345,3.547799654021618e-05
43005,4.0,naive-2c,1825,1825,0,0.0,2.0,0.2589893747436235,0.12949468737181175,1825.1294946873718,0.12949468737178904,7.095599308043236e-05,0.01676887405751738,7.095599308043236e-05
43005,16.0,handle-only,1825,1002,-823,-0.45095890410958905,1.0,0.2589893747436235,0.016186835921476468,1002.0161868359215,-822.9838131640785,-0.45095003461045396,677302.3567300868,0.45095003461045396
43005,16.0,unitscope,1825,1825,0,0.0,1.0,0.2589893747436235,0.016186835921476468,1825.0161868359214,0.016186835921416787,8.869499135022897e-06,0.00026201365714686884,8.869499135022897e-06
43005,16.0,naive-2c,1825,1825,0,0.0,2.0,0.2589893747436235,0.032373671842952936,1825.032373671843,0.03237367184306095,1.7738998270170383e-05,0.001048054628602197,1.7738998270170383e-05
43006,1.0,handle-only,1825,1002,-823,-0.45095890410958905,1.0,-1.0443091403334794,-1.0443091403334794,1000.9556908596666,-824.0443091403334,-0.4515311282960731,679049.0234265694,0.4515311282960731
43006,1.0,unitscope,1825,1825,0,0.0,1.0,-1.0443091403334794,-1.0443091403334794,1823.9556908596664,-1.044309140333553,-0.0005722241864841385,1.0905815805842043,0.0005722241864841385
43006,1.0,naive-2c,1825,1825,0,0.0,2.0,-1.0443091403334794,-2.088618280666959,1822.9113817193331,-2.0886182806668785,-0.0011444483729681526,4.362326322335868,0.0011444483729681526
43006,4.0,handle-only,1825,1002,-823,-0.45095890410958905,1.0,-1.0443091403334794,-0.26107728508336986,1001.7389227149166,-823.2610772850834,-0.45110196015621007,677758.8013725961,0.45110196015621007
43006,4.0,unitscope,1825,1825,0,0.0,1.0,-1.0443091403334794,-0.26107728508336986,1824.7389227149167,-0.26107728508327455,-0.00014305604662097235,0.06816134878645341,0.00014305604662097235
43006,4.0,naive-2c,1825,1825,0,0.0,2.0,-1.0443091403334794,-0.5221545701667397,1824.4778454298332,-0.5221545701667765,-0.00028611209324206927,0.2726453951460511,0.00028611209324206927
43006,16.0,handle-only,1825,1002,-823,-0.45095890410958905,1.0,-1.0443091403334794,-0.06526932127084246,1001.9347306787291,-823.0652693212709,-0.45099466812124434,677436.4375628962,0.45099466812124434
43006,16.0,unitscope,1825,1825,0,0.0,1.0,-1.0443091403334794,-0.06526932127084246,1824.9347306787292,-0.0652693212707618,-3.5764011655211943e-05,0.004260084299145918,3.5764011655211943e-05
43006,16.0,naive-2c,1825,1825,0,0.0,2.0,-1.0443091403334794,-0.13053864254168493,1824.8694613574582,-0.13053864254175096,-7.152802331054848e-05,0.017040337196643034,7.152802331054848e-05
43007,1.0,handle-only,1825,1002,-823,-0.45095890410958905,1.0,-0.5949377501643098,-0.5949377501643098,1001.4050622498357,-823.5949377501643,-0.4512848973973503,678308.621487697,0.4512848973973503
43007,1.0,unitscope,1825,1825,0,0.0,1.0,-0.5949377501643098,-0.5949377501643098,1824.4050622498357,-0.594937750164263,-0.00032599328776124,0.35395092657051497,0.00032599328776124
43007,1.0,naive-2c,1825,1825,0,0.0,2.0,-0.5949377501643098,-1.1898755003286197,1823.8101244996715,-1.189875500328526,-0.00065198657552248,1.4158037062820599,0.00065198657552248
43007,4.0,handle-only,1825,1002,-823,-0.45095890410958905,1.0,-0.5949377501643098,-0.14873443754107746,1001.8512655624589,-823.1487344375411,-0.4510404024315294,677573.8390061255,0.4510404024315294
43007,4.0,unitscope,1825,1825,0,0.0,1.0,-0.5949377501643098,-0.14873443754107746,1824.8512655624588,-0.14873443754117943,-8.14983219403723e-05,0.022121932910691006,8.14983219403723e-05
