seed,scenario,expected_valid,actual_valid,expected_route,actual_route,partial_units,local_units,noise_sensitivity,errors,pass
0,valid-control,True,True,accept,accept,335,397,1.0,,True
0,single-invalid-handle,True,True,fallback,fallback,334,397,1.0,,True
0,institution-nonresponse,True,True,fallback,fallback,0,448,1.0,,True
0,cross-domain-replay,False,False,reject,reject,335,397,1.0,evidence domain/epoch does not match public config,True
0,expired-epoch,False,False,reject,reject,335,397,1.0,evidence domain/epoch does not match public config,True
0,unregistered-claim,False,False,reject,reject,335,397,1.0,partial claim unregistered-claim is not in the frozen registry | record r-9cc3daf8fc5e20174a5d is covered by multiple identity claims,True
0,handle-quota-exceeded,False,False,reject,reject,335,397,1.0,partial claim partial-008915c71b15273e exceeds frozen H=2,True
0,record-count-mismatch,False,False,reject,reject,335,397,1.0,partial claim partial-008915c71b15273e references records outside the frozen universe,True
0,overlapping-claims,False,False,reject,reject,335,397,1.0,record r-9cc3daf8fc5e20174a5d is covered by multiple identity claims,True
1,valid-control,True,True,accept,accept,327,380,1.0,,True
1,single-invalid-handle,True,True,fallback,fallback,326,381,1.0,,True
1,institution-nonresponse,True,True,fallback,fallback,0,434,1.0,,True
1,cross-domain-replay,False,False,reject,reject,327,380,1.0,evidence domain/epoch does not match public config,True
1,expired-epoch,False,False,reject,reject,327,380,1.0,evidence domain/epoch does not match public config,True
1,unregistered-claim,False,False,reject,reject,327,380,1.0,partial claim unregistered-claim is not in the frozen registry | record r-73ee68356c8b3c43dad3 is covered by multiple identity claims,True
1,handle-quota-exceeded,False,False,reject,reject,327,380,1.0,partial claim partial-00333249762afcd0 exceeds frozen H=2,True
1,record-count-mismatch,False,False,reject,reject,327,380,1.0,partial claim partial-00333249762afcd0 references records outside the frozen universe,True
1,overlapping-claims,False,False,reject,reject,327,380,1.0,record r-73ee68356c8b3c43dad3 is covered by multiple identity claims,True
2,valid-control,True,True,accept,accept,325,394,1.0,,True
2,single-invalid-handle,True,True,fallback,fallback,324,394,1.0,,True
2,institution-nonresponse,True,True,fallback,fallback,0,434,1.0,,True
2,cross-domain-replay,False,False,reject,reject,325,394,1.0,evidence domain/epoch does not match public config,True
2,expired-epoch,False,False,reject,reject,325,394,1.0,evidence domain/epoch does not match public config,True
