"family","dataset","dirichlet_alpha","method","metric_name","metric_mean","metric_ci_lower","metric_ci_upper","record_use_mean","record_use_ci_lower","record_use_ci_upper","certified_sensitivity_over_c","replicates","validation_all"
"credible-accuracy-epsilon8-v1","femnist","","handle-only-drop-residual","user_macro_accuracy","0.22193285714285715","0.1724430580357143","0.2728125","0.24812109375000002","0.24679687499999997","0.24945312499999997","1.0","10","True"
"credible-accuracy-epsilon8-v1","femnist","","naive-recalibrated-2c","user_macro_accuracy","0.2229283928571429","0.17682555803571426","0.27013938839285706","1.0","1.0","1.0","2.0","10","True"
"credible-accuracy-epsilon8-v1","femnist","","stable-local-fallback","user_macro_accuracy","0.1599999107142857","0.13585913839285713","0.1846495535714286","1.0","1.0","1.0","1.0","10","True"
"credible-accuracy-epsilon8-v1","femnist","","unitscope-lambda-sweep","user_macro_accuracy","0.21585026785714287","0.1689352589285714","0.26442460937499995","1.0","1.0","1.0","1.0","10","True"
"credible-accuracy-epsilon8-v1","synthea","","handle-only-drop-residual","patient_or_user_auprc","0.2328575337898303","0.21701147330747014","0.24912906302622634","0.40738281249999997","0.40463281250000005","0.41064072265624996","1.0","10","True"
"credible-accuracy-epsilon8-v1","synthea","","naive-recalibrated-2c","patient_or_user_auprc","0.23587337100728786","0.2174785236960847","0.25441380569608396","1.0","1.0","1.0","2.0","10","True"
"credible-accuracy-epsilon8-v1","synthea","","stable-local-fallback","patient_or_user_auprc","0.20029317863897056","0.1873981173779386","0.2149985116710449","1.0","1.0","1.0","1.0","10","True"
"credible-accuracy-epsilon8-v1","synthea","","unitscope-lambda-sweep","patient_or_user_auprc","0.2292017776651362","0.21292976126376179","0.2458424138437784","1.0","1.0","1.0","1.0","10","True"
"sent140-account-task-v1","sent140","","full-identity-reference","user_macro_accuracy","0.5337061086977448","0.5030337700821025","0.5622835526218347","1.0","1.0","1.0","1.0","10","True"
"sent140-account-task-v1","sent140","","handle-only-drop-residual","user_macro_accuracy","0.5080664820069724","0.4872561743005464","0.5289334717034981","0.26045703124999997","0.25688671875","0.26393369140624995","1.0","10","True"
"sent140-account-task-v1","sent140","","naive-recalibrated-2c","user_macro_accuracy","0.5135144581587113","0.49801887010241075","0.5290981575649847","1.0","1.0","1.0","2.0","10","True"
"sent140-account-task-v1","sent140","","stable-local-fallback","user_macro_accuracy","0.5040888781367878","0.4901115913425522","0.5177081489581246","1.0","1.0","1.0","1.0","10","True"
"sent140-account-task-v1","sent140","","unitscope-lambda-sweep","user_macro_accuracy","0.505658814414274","0.48343959553976157","0.5286719262572214","1.0","1.0","1.0","1.0","10","True"
"user-noniid-dirichlet-v1","femnist","0.1","handle-only-drop-residual","user_macro_accuracy","0.1468655357142857","0.11866517857142855","0.17735107142857143","0.25025","0.24934374999999998","0.25126562499999994","1.0","5","True"
"user-noniid-dirichlet-v1","femnist","0.1","naive-recalibrated-2c","user_macro_accuracy","0.14980267857142857","0.12834375","0.17537857142857144","1.0","1.0","1.0","2.0","5","True"
"user-noniid-dirichlet-v1","femnist","0.1","stable-local-fallback","user_macro_accuracy","0.12720017857142857","0.11248214285714286","0.14727232142857144","1.0","1.0","1.0","1.0","5","True"
"user-noniid-dirichlet-v1","femnist","0.1","unitscope-lambda-sweep","user_macro_accuracy","0.14135678571428573","0.11444642857142857","0.16944982142857143","1.0","1.0","1.0","1.0","5","True"
"user-noniid-dirichlet-v1","femnist","0.5","handle-only-drop-residual","user_macro_accuracy","0.14683428571428572","0.11872767857142856","0.17731982142857144","0.25025","0.24934374999999998","0.25126562499999994","1.0","5","True"
"user-noniid-dirichlet-v1","femnist","0.5","naive-recalibrated-2c","user_macro_accuracy","0.14817767857142858","0.12534375","0.1752455357142857","1.0","1.0","1.0","2.0","5","True"
"user-noniid-dirichlet-v1","femnist","0.5","stable-local-fallback","user_macro_accuracy","0.12716892857142859","0.11220089285714285","0.14686607142857144","1.0","1.0","1.0","1.0","5","True"
"user-noniid-dirichlet-v1","femnist","0.5","unitscope-lambda-sweep","user_macro_accuracy","0.1414817857142857","0.11463392857142858","0.16916857142857145","1.0","1.0","1.0","1.0","5","True"
