"family","dataset","dirichlet_alpha","contrast","estimate","ci_lower","ci_upper","paired_seeds"
"credible-accuracy-epsilon8-v1","femnist","","UnitScope minus Handle-Only","-0.00608258928571429","-0.009301339285714288","-0.0027857142857142885","10"
"credible-accuracy-epsilon8-v1","femnist","","UnitScope minus Naive-2C","-0.007078124999999998","-0.036817243303571424","0.02390898437499996","10"
"credible-accuracy-epsilon8-v1","femnist","","UnitScope minus Stable-Local","0.055850357142857146","0.02964008705357143","0.08405794642857142","10"
"credible-accuracy-epsilon8-v1","synthea","","UnitScope minus Handle-Only","-0.0036557561246940763","-0.005290615065450674","-0.0020596843073955764","10"
"credible-accuracy-epsilon8-v1","synthea","","UnitScope minus Naive-2C","-0.006671593342151699","-0.013742257057111592","-0.00016771131842992603","10"
"credible-accuracy-epsilon8-v1","synthea","","UnitScope minus Stable-Local","0.028908599026165643","0.0185049664783","0.04232093575988846","10"
"sent140-account-task-v1","sent140","","UnitScope minus Complete-ID Oracle","-0.028047294283471018","-0.06796016225093071","0.01771750543181986","10"
"sent140-account-task-v1","sent140","","UnitScope minus Handle-Only","-0.002407667592698559","-0.007097156391152142","0.001708900352635856","10"
"sent140-account-task-v1","sent140","","UnitScope minus Naive-2C","-0.007855643744437474","-0.02392978096729579","0.008729518690542535","10"
"sent140-account-task-v1","sent140","","UnitScope minus Stable-Local","0.0015699362774860615","-0.02821656973855486","0.03364485069322007","10"
"user-noniid-dirichlet-v1","femnist","0.1","UnitScope minus Handle-Only","-0.005508749999999995","-0.008079999999999993","-0.002406249999999993","5"
"user-noniid-dirichlet-v1","femnist","0.1","UnitScope minus Naive-2C","-0.008445892857142862","-0.04200892857142859","0.022041250000000005","5"
"user-noniid-dirichlet-v1","femnist","0.1","UnitScope minus Stable-Local","0.01415660714285714","-0.0005580357142857207","0.03837160714285713","5"
"user-noniid-dirichlet-v1","femnist","0.5","UnitScope minus Handle-Only","-0.005352499999999996","-0.008338749999999992","-0.0023124999999999977","5"
"user-noniid-dirichlet-v1","femnist","0.5","UnitScope minus Naive-2C","-0.00669589285714286","-0.03885267857142859","0.022916250000000003","5"
"user-noniid-dirichlet-v1","femnist","0.5","UnitScope minus Stable-Local","0.014312857142857141","4.9107142857138244e-05","0.037777857142857155","5"
