"family","dataset","dirichlet_alpha","method","successful_runs","unique_seeds","validation_passed","wall_seconds"
"credible-accuracy-epsilon8-v1","femnist","","handle-only-drop-residual","10","10","10","407.55703070008894"
"credible-accuracy-epsilon8-v1","femnist","","naive-recalibrated-2c","10","10","10","393.8397959001304"
"credible-accuracy-epsilon8-v1","femnist","","stable-local-fallback","10","10","10","175.91459800006123"
"credible-accuracy-epsilon8-v1","femnist","","unitscope-lambda-sweep","10","10","10","257.56855080014793"
"credible-accuracy-epsilon8-v1","synthea","","handle-only-drop-residual","10","10","10","177.40724570013117"
"credible-accuracy-epsilon8-v1","synthea","","naive-recalibrated-2c","10","10","10","178.5299216991989"
"credible-accuracy-epsilon8-v1","synthea","","stable-local-fallback","10","10","10","189.32484960003057"
"credible-accuracy-epsilon8-v1","synthea","","unitscope-lambda-sweep","10","10","10","174.13181409993558"
"sent140-account-task-v1","sent140","","full-identity-reference","10","10","10","98.52992070029723"
"sent140-account-task-v1","sent140","","handle-only-drop-residual","10","10","10","105.23688569990918"
"sent140-account-task-v1","sent140","","naive-recalibrated-2c","10","10","10","105.84328159946017"
"sent140-account-task-v1","sent140","","stable-local-fallback","10","10","10","119.61731149951811"
"sent140-account-task-v1","sent140","","unitscope-lambda-sweep","10","10","10","102.38826699988567"
"user-noniid-dirichlet-v1","femnist","0.1","handle-only-drop-residual","5","5","5","211.678952199989"
"user-noniid-dirichlet-v1","femnist","0.1","naive-recalibrated-2c","5","5","5","203.28225110005587"
"user-noniid-dirichlet-v1","femnist","0.1","stable-local-fallback","5","5","5","131.8164359999064"
"user-noniid-dirichlet-v1","femnist","0.1","unitscope-lambda-sweep","5","5","5","191.0422450999904"
"user-noniid-dirichlet-v1","femnist","0.5","handle-only-drop-residual","5","5","5","83.07614220015239"
"user-noniid-dirichlet-v1","femnist","0.5","naive-recalibrated-2c","5","5","5","81.60683419994893"
"user-noniid-dirichlet-v1","femnist","0.5","stable-local-fallback","5","5","5","83.58863929985091"
"user-noniid-dirichlet-v1","femnist","0.5","unitscope-lambda-sweep","5","5","5","79.68513690022519"
