"family","dataset","dirichlet_alpha","seed","method","round","metric_name","metric_value"
"credible-accuracy-epsilon8-v1","femnist","","120","naive-recalibrated-2c","0","user_macro_accuracy","0.09779017857142858"
"credible-accuracy-epsilon8-v1","femnist","","120","naive-recalibrated-2c","10","user_macro_accuracy","0.09982142857142857"
"credible-accuracy-epsilon8-v1","femnist","","120","naive-recalibrated-2c","20","user_macro_accuracy","0.09984375"
"credible-accuracy-epsilon8-v1","femnist","","120","naive-recalibrated-2c","30","user_macro_accuracy","0.20232142857142857"
"credible-accuracy-epsilon8-v1","femnist","","120","naive-recalibrated-2c","40","user_macro_accuracy","0.2128125"
"credible-accuracy-epsilon8-v1","femnist","","120","naive-recalibrated-2c","50","user_macro_accuracy","0.2429017857142857"
"credible-accuracy-epsilon8-v1","femnist","","120","unitscope-lambda-sweep","0","user_macro_accuracy","0.09779017857142858"
"credible-accuracy-epsilon8-v1","femnist","","120","unitscope-lambda-sweep","10","user_macro_accuracy","0.10540178571428571"
"credible-accuracy-epsilon8-v1","femnist","","120","unitscope-lambda-sweep","20","user_macro_accuracy","0.1709375"
"credible-accuracy-epsilon8-v1","femnist","","120","unitscope-lambda-sweep","30","user_macro_accuracy","0.22466517857142856"
"credible-accuracy-epsilon8-v1","femnist","","120","unitscope-lambda-sweep","40","user_macro_accuracy","0.24232142857142858"
"credible-accuracy-epsilon8-v1","femnist","","120","unitscope-lambda-sweep","50","user_macro_accuracy","0.31729910714285714"
"credible-accuracy-epsilon8-v1","femnist","","120","handle-only-drop-residual","0","user_macro_accuracy","0.09779017857142858"
"credible-accuracy-epsilon8-v1","femnist","","120","handle-only-drop-residual","10","user_macro_accuracy","0.11004464285714284"
"credible-accuracy-epsilon8-v1","femnist","","120","handle-only-drop-residual","20","user_macro_accuracy","0.17332589285714284"
"credible-accuracy-epsilon8-v1","femnist","","120","handle-only-drop-residual","30","user_macro_accuracy","0.22716517857142857"
"credible-accuracy-epsilon8-v1","femnist","","120","handle-only-drop-residual","40","user_macro_accuracy","0.25357142857142856"
"credible-accuracy-epsilon8-v1","femnist","","120","handle-only-drop-residual","50","user_macro_accuracy","0.32859375"
"credible-accuracy-epsilon8-v1","femnist","","120","stable-local-fallback","0","user_macro_accuracy","0.09779017857142858"
"credible-accuracy-epsilon8-v1","femnist","","120","stable-local-fallback","10","user_macro_accuracy","0.09810267857142857"
"credible-accuracy-epsilon8-v1","femnist","","120","stable-local-fallback","20","user_macro_accuracy","0.10875"
"credible-accuracy-epsilon8-v1","femnist","","120","stable-local-fallback","30","user_macro_accuracy","0.15212053571428572"
"credible-accuracy-epsilon8-v1","femnist","","120","stable-local-fallback","40","user_macro_accuracy","0.1427901785714286"
"credible-accuracy-epsilon8-v1","femnist","","120","stable-local-fallback","50","user_macro_accuracy","0.1889732142857143"
"credible-accuracy-epsilon8-v1","femnist","","121","stable-local-fallback","0","user_macro_accuracy","0.10310267857142857"
"credible-accuracy-epsilon8-v1","femnist","","121","stable-local-fallback","10","user_macro_accuracy","0.10325892857142857"
"credible-accuracy-epsilon8-v1","femnist","","121","stable-local-fallback","20","user_macro_accuracy","0.10879464285714285"
"credible-accuracy-epsilon8-v1","femnist","","121","stable-local-fallback","30","user_macro_accuracy","0.1621205357142857"
"credible-accuracy-epsilon8-v1","femnist","","121","stable-local-fallback","40","user_macro_accuracy","0.14176339285714284"
"credible-accuracy-epsilon8-v1","femnist","","121","stable-local-fallback","50","user_macro_accuracy","0.15848214285714285"
"credible-accuracy-epsilon8-v1","femnist","","121","naive-recalibrated-2c","0","user_macro_accuracy","0.10310267857142857"
"credible-accuracy-epsilon8-v1","femnist","","121","naive-recalibrated-2c","10","user_macro_accuracy","0.10654017857142857"
"credible-accuracy-epsilon8-v1","femnist","","121","naive-recalibrated-2c","20","user_macro_accuracy","0.13676339285714284"
"credible-accuracy-epsilon8-v1","femnist","","121","naive-recalibrated-2c","30","user_macro_accuracy","0.2091517857142857"
"credible-accuracy-epsilon8-v1","femnist","","121","naive-recalibrated-2c","40","user_macro_accuracy","0.20020089285714285"
"credible-accuracy-epsilon8-v1","femnist","","121","naive-recalibrated-2c","50","user_macro_accuracy","0.18582589285714285"
"credible-accuracy-epsilon8-v1","femnist","","121","unitscope-lambda-sweep","0","user_macro_accuracy","0.10310267857142857"
"credible-accuracy-epsilon8-v1","femnist","","121","unitscope-lambda-sweep","10","user_macro_accuracy","0.10310267857142857"
"credible-accuracy-epsilon8-v1","femnist","","121","unitscope-lambda-sweep","20","user_macro_accuracy","0.11426339285714285"
"credible-accuracy-epsilon8-v1","femnist","","121","unitscope-lambda-sweep","30","user_macro_accuracy","0.21439732142857143"
"credible-accuracy-epsilon8-v1","femnist","","121","unitscope-lambda-sweep","40","user_macro_accuracy","0.11566964285714285"
"credible-accuracy-epsilon8-v1","femnist","","121","unitscope-lambda-sweep","50","user_macro_accuracy","0.18080357142857142"
"credible-accuracy-epsilon8-v1","femnist","","121","handle-only-drop-residual","0","user_macro_accuracy","0.10310267857142857"
"credible-accuracy-epsilon8-v1","femnist","","121","handle-only-drop-residual","10","user_macro_accuracy","0.10341517857142858"
"credible-accuracy-epsilon8-v1","femnist","","121","handle-only-drop-residual","20","user_macro_accuracy","0.11332589285714284"
"credible-accuracy-epsilon8-v1","femnist","","121","handle-only-drop-residual","30","user_macro_accuracy","0.22111607142857143"
"credible-accuracy-epsilon8-v1","femnist","","121","handle-only-drop-residual","40","user_macro_accuracy","0.11551339285714285"
"credible-accuracy-epsilon8-v1","femnist","","121","handle-only-drop-residual","50","user_macro_accuracy","0.18283482142857144"
"credible-accuracy-epsilon8-v1","femnist","","122","unitscope-lambda-sweep","0","user_macro_accuracy","0.1"
"credible-accuracy-epsilon8-v1","femnist","","122","unitscope-lambda-sweep","10","user_macro_accuracy","0.10046875"
"credible-accuracy-epsilon8-v1","femnist","","122","unitscope-lambda-sweep","20","user_macro_accuracy","0.09390625"
"credible-accuracy-epsilon8-v1","femnist","","122","unitscope-lambda-sweep","30","user_macro_accuracy","0.1103125"
