dataset,method,threshold,candidate_pairs,candidate_truth_pair_coverage,selected_edges,direct_true_edge_recall,record_edge_coverage,multi_entity_link_coverage,largest_component,pair_precision,pair_recall,pair_f1,predicted_pairs,true_positive_pairs,total_true_pairs,mean_witnessed_wur,p95_witnessed_wur,max_witnessed_wur,max_changed_surviving_records,worst_entity_id,wur_status
febrl1,PER-2025 official scheduler + common FEBRL adapter,0.72,5900,1.0,503,0.978,0.978,0.978,6,0.9106145251396648,0.978,0.9431051108968178,537,489,500,1.066,2.0,3,4,144,"empirical deletion witness, not a deterministic certificate"
febrl1,PER-2025 official scheduler + common FEBRL adapter,0.76,5900,1.0,485,0.97,0.97,0.97,2,1.0,0.97,0.9847715736040609,485,485,500,1.03,1.0,2,0,91,"empirical deletion witness, not a deterministic certificate"
febrl1,PER-2025 official scheduler + common FEBRL adapter,0.8,5900,1.0,474,0.948,0.948,0.948,2,1.0,0.948,0.973305954825462,474,474,500,1.052,2.0,2,0,149,"empirical deletion witness, not a deterministic certificate"
febrl1,PER-2025 official scheduler + common FEBRL adapter,0.84,5900,1.0,441,0.882,0.882,0.882,2,1.0,0.882,0.9373007438894793,441,441,500,1.118,2.0,2,0,227,"empirical deletion witness, not a deterministic certificate"
febrl1,PER-2025 official scheduler + common FEBRL adapter,0.88,5900,1.0,426,0.852,0.852,0.852,2,1.0,0.852,0.920086393088553,426,426,500,1.148,2.0,2,0,227,"empirical deletion witness, not a deterministic certificate"
febrl2,PER-2025 official scheduler + common FEBRL adapter,0.72,19340,1.0,2052,0.9669079627714581,0.3272,0.9929906542056075,10,0.8236323851203501,0.9731127197518097,0.892154538990282,2285,1882,1934,1.0825,2.0,4,9,3978,"empirical deletion witness, not a deterministic certificate"
febrl2,PER-2025 official scheduler + common FEBRL adapter,0.76,19340,1.0,1885,0.9550155118924509,0.2906,0.9883177570093458,6,0.9704663212435233,0.968459152016546,0.9694616977225673,1930,1873,1934,1.02175,1.0,3,4,3978,"empirical deletion witness, not a deterministic certificate"
febrl2,PER-2025 official scheduler + common FEBRL adapter,0.8,19340,1.0,1773,0.9162357807652534,0.2766,0.9813084112149533,6,0.999450247388675,0.9400206825232679,0.9688249400479616,1819,1818,1934,1.01075,1.0,2,1,3638,"empirical deletion witness, not a deterministic certificate"
febrl2,PER-2025 official scheduler + common FEBRL adapter,0.84,19340,1.0,1647,0.8516028955532575,0.2664,0.9719626168224299,6,1.0,0.8722854188210962,0.931786799226733,1687,1687,1934,1.0215,1.0,3,0,113,"empirical deletion witness, not a deterministic certificate"
febrl2,PER-2025 official scheduler + common FEBRL adapter,0.88,19340,1.0,1557,0.8050672182006204,0.2606,0.969626168224299,6,1.0,0.8335056876938987,0.9091934574168077,1612,1612,1934,1.02825,1.0,3,0,455,"empirical deletion witness, not a deterministic certificate"
febrl3,PER-2025 official scheduler + common FEBRL adapter,0.72,65380,0.9998470480269196,6667,0.9660446619761395,0.8418,0.9939914163090129,39,0.6642434313012774,0.9782808198225758,0.7912414177027278,9629,6396,6538,1.2035,2.0,6,38,1493,"empirical deletion witness, not a deterministic certificate"
febrl3,PER-2025 official scheduler + common FEBRL adapter,0.76,65380,0.9998470480269196,6222,0.943254817987152,0.8216,0.9939914163090129,16,0.9611635699055742,0.9652799021107372,0.9632173382173382,6566,6311,6538,1.062,2.0,3,11,1124,"empirical deletion witness, not a deterministic certificate"
febrl3,PER-2025 official scheduler + common FEBRL adapter,0.8,65380,0.9998470480269196,5902,0.9019577852554298,0.8034,0.984549356223176,7,0.9959223617680639,0.9339247476292444,0.9639276975294024,6131,6106,6538,1.074,2.0,3,5,1897,"empirical deletion witness, not a deterministic certificate"
febrl3,PER-2025 official scheduler + common FEBRL adapter,0.84,65380,0.9998470480269196,5508,0.8423065157540532,0.7758,0.9639484978540772,6,0.999129677980853,0.8779443254817987,0.9346250915900024,5745,5740,6538,1.127,2.0,3,5,316,"empirical deletion witness, not a deterministic certificate"
febrl3,PER-2025 official scheduler + common FEBRL adapter,0.88,65380,0.9998470480269196,5122,0.7834200061180789,0.752,0.9545064377682403,6,1.0,0.8250229427959621,0.9041233657391887,5394,5394,6538,1.18,2.0,4,0,1707,"empirical deletion witness, not a deterministic certificate"
