dataset,threshold,entity_id,deleted_records,touched_components,touched_records,deleted_group_tags,inserted_group_tags,witnessed_wur,changed_surviving_records
febrl1,0.72,223,2,1,2,1,0,1,0
febrl1,0.72,122,2,1,2,1,0,1,0
febrl1,0.72,373,2,1,2,1,0,1,0
febrl1,0.72,10,2,1,2,1,0,1,0
febrl1,0.72,227,2,1,2,1,0,1,0
febrl1,0.72,6,2,1,2,1,0,1,0
febrl1,0.72,190,2,1,2,1,0,1,0
febrl1,0.72,294,2,1,2,1,0,1,0
febrl1,0.72,206,2,1,2,1,0,1,0
febrl1,0.72,344,2,1,2,1,0,1,0
febrl1,0.72,81,2,1,2,1,0,1,0
febrl1,0.72,34,2,1,2,1,0,1,0
febrl1,0.72,478,2,1,2,1,0,1,0
febrl1,0.72,225,2,1,2,1,0,1,0
febrl1,0.72,452,2,1,2,1,0,1,0
febrl1,0.72,67,2,1,2,1,0,1,0
febrl1,0.72,286,2,1,2,1,0,1,0
febrl1,0.72,251,2,1,2,1,0,1,0
febrl1,0.72,335,2,1,2,1,0,1,0
febrl1,0.72,439,2,1,2,1,0,1,0
febrl1,0.72,409,2,1,2,1,0,1,0
febrl1,0.72,125,2,1,2,1,0,1,0
febrl1,0.72,70,2,1,2,1,0,1,0
febrl1,0.72,145,2,1,2,1,0,1,0
febrl1,0.72,73,2,1,2,1,0,1,0
febrl1,0.72,284,2,1,2,1,0,1,0
febrl1,0.72,186,2,1,2,1,0,1,0
febrl1,0.72,58,2,1,2,1,0,1,0
febrl1,0.72,381,2,1,2,1,0,1,0
febrl1,0.72,305,2,1,2,1,0,1,0
febrl1,0.72,149,2,1,2,1,0,1,0
febrl1,0.72,140,2,1,2,1,0,1,0
febrl1,0.72,364,2,1,2,1,0,1,0
febrl1,0.72,361,2,1,4,1,1,2,2
febrl1,0.72,23,2,1,2,1,0,1,0
febrl1,0.72,254,2,1,2,1,0,1,0
febrl1,0.72,173,2,1,2,1,0,1,0
febrl1,0.72,456,2,1,2,1,0,1,0
febrl1,0.72,403,2,1,2,1,0,1,0
febrl1,0.72,382,2,1,2,1,0,1,0
febrl1,0.72,320,2,1,2,1,0,1,0
febrl1,0.72,167,2,1,2,1,0,1,0
febrl1,0.72,419,2,1,4,1,1,2,2
febrl1,0.72,262,2,1,2,1,0,1,0
febrl1,0.72,91,2,1,2,1,0,1,0
febrl1,0.72,19,2,1,2,1,0,1,0
febrl1,0.72,78,2,1,2,1,0,1,0
febrl1,0.72,440,2,1,2,1,0,1,0
febrl1,0.72,350,2,1,2,1,0,1,0
febrl1,0.72,113,2,1,2,1,0,1,0
febrl1,0.72,291,2,1,2,1,0,1,0
febrl1,0.72,370,2,1,2,1,0,1,0
febrl1,0.72,152,2,1,2,1,0,1,0
febrl1,0.72,99,2,1,2,1,0,1,0
febrl1,0.72,32,2,1,2,1,0,1,0
febrl1,0.72,77,2,1,2,1,0,1,0
febrl1,0.72,183,2,1,2,1,0,1,0
febrl1,0.72,383,2,1,2,1,0,1,0
febrl1,0.72,179,2,1,2,1,0,1,0
febrl1,0.72,68,2,1,2,1,0,1,0
febrl1,0.72,385,2,1,2,1,0,1,0
febrl1,0.72,464,2,1,2,1,0,1,0
febrl1,0.72,482,2,1,2,1,0,1,0
febrl1,0.72,351,2,1,2,1,0,1,0
febrl1,0.72,287,2,1,2,1,0,1,0
febrl1,0.72,302,2,1,2,1,0,1,0
febrl1,0.72,457,2,1,2,1,0,1,0
febrl1,0.72,94,2,1,2,1,0,1,0
febrl1,0.72,102,2,1,2,1,0,1,0
febrl1,0.72,490,2,1,2,1,0,1,0
febrl1,0.72,449,2,1,2,1,0,1,0
febrl1,0.72,172,2,1,2,1,0,1,0
febrl1,0.72,323,2,1,2,1,0,1,0
febrl1,0.72,484,2,1,2,1,0,1,0
febrl1,0.72,312,2,1,2,1,0,1,0
febrl1,0.72,69,2,1,2,1,0,1,0
febrl1,0.72,157,2,1,2,1,0,1,0
febrl1,0.72,280,2,1,2,1,0,1,0
febrl1,0.72,187,2,1,2,1,0,1,0
febrl1,0.72,232,2,1,2,1,0,1,0
febrl1,0.72,133,2,2,2,2,0,2,0
febrl1,0.72,128,2,1,2,1,0,1,0
febrl1,0.72,250,2,1,2,1,0,1,0
febrl1,0.72,483,2,1,2,1,0,1,0
febrl1,0.72,218,2,1,2,1,0,1,0
febrl1,0.72,338,2,1,2,1,0,1,0
febrl1,0.72,486,2,1,2,1,0,1,0
febrl1,0.72,420,2,1,2,1,0,1,0
febrl1,0.72,333,2,1,2,1,0,1,0
febrl1,0.72,401,2,1,2,1,0,1,0
febrl1,0.72,61,2,1,2,1,0,1,0
febrl1,0.72,432,2,1,2,1,0,1,0
febrl1,0.72,428,2,1,2,1,0,1,0
febrl1,0.72,38,2,1,2,1,0,1,0
febrl1,0.72,480,2,1,2,1,0,1,0
febrl1,0.72,199,2,1,2,1,0,1,0
febrl1,0.72,17,2,1,4,1,1,2,2
febrl1,0.72,162,2,1,2,1,0,1,0
febrl1,0.72,62,2,1,2,1,0,1,0
febrl1,0.72,181,2,1,2,1,0,1,0
febrl1,0.72,307,2,1,2,1,0,1,0
febrl1,0.72,271,2,1,2,1,0,1,0
febrl1,0.72,418,2,1,2,1,0,1,0
febrl1,0.72,130,2,1,2,1,0,1,0
febrl1,0.72,44,2,1,2,1,0,1,0
febrl1,0.72,138,2,1,2,1,0,1,0
febrl1,0.72,165,2,1,2,1,0,1,0
febrl1,0.72,203,2,1,2,1,0,1,0
febrl1,0.72,22,2,1,2,1,0,1,0
febrl1,0.72,85,2,1,2,1,0,1,0
febrl1,0.72,316,2,1,2,1,0,1,0
febrl1,0.72,279,2,1,2,1,0,1,0
febrl1,0.72,108,2,1,2,1,0,1,0
febrl1,0.72,325,2,1,2,1,0,1,0
febrl1,0.72,384,2,1,2,1,0,1,0
febrl1,0.72,274,2,1,2,1,0,1,0
febrl1,0.72,261,2,1,2,1,0,1,0
febrl1,0.72,207,2,1,2,1,0,1,0
febrl1,0.72,339,2,1,2,1,0,1,0
febrl1,0.72,224,2,1,4,1,1,2,2
febrl1,0.72,196,2,1,2,1,0,1,0
febrl1,0.72,283,2,1,4,1,1,2,2
febrl1,0.72,243,2,1,2,1,0,1,0
febrl1,0.72,258,2,1,2,1,0,1,0
febrl1,0.72,229,2,1,2,1,0,1,0
febrl1,0.72,247,2,1,2,1,0,1,0
febrl1,0.72,89,2,1,2,1,0,1,0
febrl1,0.72,394,2,1,2,1,0,1,0
febrl1,0.72,82,2,1,2,1,0,1,0
febrl1,0.72,444,2,1,2,1,0,1,0
febrl1,0.72,147,2,1,2,1,0,1,0
febrl1,0.72,178,2,1,2,1,0,1,0
febrl1,0.72,239,2,1,2,1,0,1,0
febrl1,0.72,240,2,1,2,1,0,1,0
febrl1,0.72,3,2,1,2,1,0,1,0
febrl1,0.72,154,2,1,2,1,0,1,0
febrl1,0.72,53,2,1,2,1,0,1,0
febrl1,0.72,417,2,1,2,1,0,1,0
febrl1,0.72,313,2,1,2,1,0,1,0
febrl1,0.72,468,2,1,2,1,0,1,0
febrl1,0.72,182,2,1,2,1,0,1,0
febrl1,0.72,26,2,1,2,1,0,1,0
febrl1,0.72,202,2,1,2,1,0,1,0
febrl1,0.72,30,2,1,2,1,0,1,0
febrl1,0.72,92,2,1,4,1,1,2,2
febrl1,0.72,136,2,1,2,1,0,1,0
febrl1,0.72,13,2,1,2,1,0,1,0
febrl1,0.72,492,2,1,2,1,0,1,0
febrl1,0.72,143,2,1,2,1,0,1,0
febrl1,0.72,118,2,1,2,1,0,1,0
febrl1,0.72,290,2,1,2,1,0,1,0
febrl1,0.72,31,2,1,2,1,0,1,0
febrl1,0.72,141,2,1,2,1,0,1,0
febrl1,0.72,485,2,1,2,1,0,1,0
febrl1,0.72,18,2,1,4,1,1,2,2
febrl1,0.72,346,2,1,2,1,0,1,0
febrl1,0.72,304,2,1,2,1,0,1,0
febrl1,0.72,471,2,1,2,1,0,1,0
febrl1,0.72,105,2,1,2,1,0,1,0
febrl1,0.72,336,2,1,2,1,0,1,0
febrl1,0.72,75,2,1,2,1,0,1,0
febrl1,0.72,166,2,1,2,1,0,1,0
febrl1,0.72,414,2,1,2,1,0,1,0
febrl1,0.72,421,2,1,2,1,0,1,0
febrl1,0.72,159,2,1,2,1,0,1,0
febrl1,0.72,429,2,1,2,1,0,1,0
febrl1,0.72,49,2,1,2,1,0,1,0
febrl1,0.72,301,2,1,2,1,0,1,0
febrl1,0.72,95,2,1,2,1,0,1,0
febrl1,0.72,263,2,1,2,1,0,1,0
febrl1,0.72,156,2,1,2,1,0,1,0
febrl1,0.72,453,2,1,2,1,0,1,0
febrl1,0.72,481,2,1,2,1,0,1,0
febrl1,0.72,210,2,1,2,1,0,1,0
febrl1,0.72,317,2,1,2,1,0,1,0
febrl1,0.72,255,2,1,2,1,0,1,0
febrl1,0.72,150,2,1,2,1,0,1,0
febrl1,0.72,65,2,1,2,1,0,1,0
febrl1,0.72,60,2,1,2,1,0,1,0
febrl1,0.72,28,2,1,2,1,0,1,0
febrl1,0.72,404,2,1,2,1,0,1,0
febrl1,0.72,127,2,1,2,1,0,1,0
febrl1,0.72,450,2,1,2,1,0,1,0
febrl1,0.72,278,2,1,2,1,0,1,0
febrl1,0.72,276,2,1,2,1,0,1,0
febrl1,0.72,109,2,1,2,1,0,1,0
febrl1,0.72,42,2,1,2,1,0,1,0
febrl1,0.72,155,2,1,2,1,0,1,0
febrl1,0.72,228,2,1,2,1,0,1,0
febrl1,0.72,244,2,1,2,1,0,1,0
febrl1,0.72,249,2,1,2,1,0,1,0
febrl1,0.72,372,2,1,2,1,0,1,0
febrl1,0.72,1,2,1,2,1,0,1,0
febrl1,0.72,71,2,1,2,1,0,1,0
febrl1,0.72,170,2,1,2,1,0,1,0
febrl1,0.72,33,2,1,2,1,0,1,0
febrl1,0.72,395,2,1,2,1,0,1,0
febrl1,0.72,246,2,2,2,2,0,2,0
febrl1,0.72,329,2,1,2,1,0,1,0
febrl1,0.72,455,2,1,2,1,0,1,0
febrl1,0.72,332,2,2,2,2,0,2,0
febrl1,0.72,241,2,1,2,1,0,1,0
febrl1,0.72,475,2,1,2,1,0,1,0
febrl1,0.72,488,2,1,2,1,0,1,0
febrl1,0.72,134,2,1,2,1,0,1,0
febrl1,0.72,177,2,1,2,1,0,1,0
febrl1,0.72,357,2,1,2,1,0,1,0
febrl1,0.72,120,2,1,2,1,0,1,0
febrl1,0.72,245,2,1,2,1,0,1,0
febrl1,0.72,27,2,1,2,1,0,1,0
febrl1,0.72,98,2,1,2,1,0,1,0
febrl1,0.72,285,2,1,2,1,0,1,0
febrl1,0.72,292,2,1,2,1,0,1,0
febrl1,0.72,213,2,1,2,1,0,1,0
febrl1,0.72,41,2,1,2,1,0,1,0
febrl1,0.72,43,2,1,2,1,0,1,0
febrl1,0.72,389,2,1,2,1,0,1,0
febrl1,0.72,160,2,1,2,1,0,1,0
febrl1,0.72,115,2,1,2,1,0,1,0
febrl1,0.72,56,2,1,2,1,0,1,0
febrl1,0.72,360,2,1,2,1,0,1,0
febrl1,0.72,324,2,1,2,1,0,1,0
febrl1,0.72,314,2,1,2,1,0,1,0
febrl1,0.72,231,2,1,2,1,0,1,0
febrl1,0.72,303,2,1,4,1,1,2,2
febrl1,0.72,36,2,1,2,1,0,1,0
febrl1,0.72,40,2,1,4,1,1,2,2
febrl1,0.72,322,2,1,2,1,0,1,0
febrl1,0.72,425,2,2,2,2,0,2,0
febrl1,0.72,293,2,1,2,1,0,1,0
febrl1,0.72,110,2,1,2,1,0,1,0
febrl1,0.72,334,2,1,2,1,0,1,0
febrl1,0.72,270,2,1,2,1,0,1,0
febrl1,0.72,47,2,1,2,1,0,1,0
febrl1,0.72,470,2,1,2,1,0,1,0
febrl1,0.72,214,2,1,2,1,0,1,0
febrl1,0.72,221,2,1,2,1,0,1,0
febrl1,0.72,79,2,1,2,1,0,1,0
febrl1,0.72,198,2,1,2,1,0,1,0
febrl1,0.72,375,2,1,2,1,0,1,0
febrl1,0.72,45,2,1,2,1,0,1,0
febrl1,0.72,230,2,1,2,1,0,1,0
febrl1,0.72,168,2,1,2,1,0,1,0
febrl1,0.72,465,2,1,2,1,0,1,0
febrl1,0.72,443,2,1,2,1,0,1,0
febrl1,0.72,359,2,1,2,1,0,1,0
febrl1,0.72,352,2,1,2,1,0,1,0
febrl1,0.72,204,2,1,2,1,0,1,0
febrl1,0.72,219,2,1,2,1,0,1,0
febrl1,0.72,306,2,1,4,1,1,2,2
febrl1,0.72,54,2,1,2,1,0,1,0
febrl1,0.72,63,2,1,2,1,0,1,0
febrl1,0.72,86,2,1,2,1,0,1,0
febrl1,0.72,497,2,1,2,1,0,1,0
febrl1,0.72,412,2,1,2,1,0,1,0
febrl1,0.72,197,2,1,4,1,1,2,2
febrl1,0.72,59,2,1,2,1,0,1,0
febrl1,0.72,66,2,1,2,1,0,1,0
febrl1,0.72,248,2,1,2,1,0,1,0
febrl1,0.72,29,2,1,2,1,0,1,0
febrl1,0.72,72,2,2,2,2,0,2,0
febrl1,0.72,76,2,1,2,1,0,1,0
febrl1,0.72,331,2,1,2,1,0,1,0
febrl1,0.72,479,2,1,2,1,0,1,0
febrl1,0.72,158,2,1,2,1,0,1,0
febrl1,0.72,191,2,1,2,1,0,1,0
febrl1,0.72,495,2,1,2,1,0,1,0
febrl1,0.72,200,2,1,2,1,0,1,0
febrl1,0.72,473,2,1,2,1,0,1,0
febrl1,0.72,101,2,1,4,1,1,2,2
febrl1,0.72,9,2,1,2,1,0,1,0
febrl1,0.72,235,2,1,2,1,0,1,0
febrl1,0.72,21,2,1,2,1,0,1,0
febrl1,0.72,374,2,1,2,1,0,1,0
febrl1,0.72,161,2,1,2,1,0,1,0
febrl1,0.72,114,2,1,2,1,0,1,0
febrl1,0.72,438,2,1,2,1,0,1,0
febrl1,0.72,93,2,1,4,1,1,2,2
febrl1,0.72,348,2,1,2,1,0,1,0
febrl1,0.72,24,2,1,2,1,0,1,0
febrl1,0.72,142,2,1,2,1,0,1,0
febrl1,0.72,469,2,1,2,1,0,1,0
febrl1,0.72,137,2,1,2,1,0,1,0
febrl1,0.72,256,2,1,2,1,0,1,0
febrl1,0.72,379,2,1,2,1,0,1,0
febrl1,0.72,135,2,1,2,1,0,1,0
febrl1,0.72,39,2,1,2,1,0,1,0
febrl1,0.72,356,2,1,2,1,0,1,0
febrl1,0.72,467,2,1,2,1,0,1,0
