threshold,K,entity_id,deleted_atoms,touched_original_components,touched_original_nodes,deleted_group_tags,inserted_group_tags,d_w_empirical,changed_surviving_nodes
0.72,2,223,2,1,2,1,0,1,0
0.72,2,122,2,1,2,1,0,1,0
0.72,2,373,2,1,2,1,0,1,0
0.72,2,10,2,1,2,1,0,1,0
0.72,2,227,2,1,2,1,0,1,0
0.72,2,6,2,1,2,1,0,1,0
0.72,2,190,2,1,2,1,0,1,0
0.72,2,294,2,1,2,1,0,1,0
0.72,2,206,2,1,2,1,0,1,0
0.72,2,344,2,1,2,1,0,1,0
0.72,2,81,2,1,2,1,0,1,0
0.72,2,34,2,1,2,1,0,1,0
0.72,2,478,2,1,2,1,0,1,0
0.72,2,225,2,1,2,1,0,1,0
0.72,2,452,2,1,2,1,0,1,0
0.72,2,67,2,1,2,1,0,1,0
0.72,2,286,2,1,2,1,0,1,0
0.72,2,251,2,1,2,1,0,1,0
0.72,2,335,2,1,2,1,0,1,0
0.72,2,439,2,1,2,1,0,1,0
0.72,2,409,2,1,2,1,0,1,0
0.72,2,125,2,1,2,1,0,1,0
0.72,2,70,2,1,2,1,0,1,0
0.72,2,145,2,1,2,1,0,1,0
0.72,2,73,2,1,2,1,0,1,0
0.72,2,284,2,1,2,1,0,1,0
0.72,2,186,2,1,2,1,0,1,0
0.72,2,58,2,1,2,1,0,1,0
0.72,2,381,2,1,2,1,0,1,0
0.72,2,305,2,1,2,1,0,1,0
0.72,2,149,2,1,2,1,0,1,0
0.72,2,140,2,1,2,1,0,1,0
0.72,2,364,2,1,4,4,1,5,2
0.72,2,361,2,1,2,1,0,1,0
0.72,2,23,2,1,2,1,0,1,0
0.72,2,254,2,1,2,1,0,1,0
0.72,2,173,2,1,2,1,0,1,0
0.72,2,456,2,1,2,1,0,1,0
0.72,2,403,2,1,2,1,0,1,0
0.72,2,382,2,1,2,1,0,1,0
0.72,2,320,2,1,2,1,0,1,0
0.72,2,167,2,1,2,1,0,1,0
0.72,2,419,2,1,4,4,1,5,2
0.72,2,262,2,1,2,1,0,1,0
0.72,2,91,2,1,2,1,0,1,0
0.72,2,19,2,1,2,1,0,1,0
0.72,2,78,2,1,2,1,0,1,0
0.72,2,440,2,1,2,1,0,1,0
