dataset,effect,estimate,ci_lower,ci_upper,replicates
femnist,gain_over_fallback,0.02430441964285714,0.016641626116071426,0.032360024553571426,20
femnist,difference_from_handle_only,-0.003255580357142857,-0.004474330357142857,-0.002070312500000007,20
femnist,noninferiority_transformed,0.006744419642857142,0.005525669642857141,0.007929687499999994,20
femnist,difference_from_naive_2c,0.015126250000000003,0.007104481026785718,0.023449804687499985,20
femnist,aggregate_handle_gain_retention,0.8818729913953969,0.8494259755985057,0.914957083201565,20
femnist,hierarchical_gain_over_fallback,0.024304419642857143,0.016446228794642855,0.03248595089285714,20
femnist,hierarchical_difference_from_handle_only,-0.003255580357142857,-0.004554715401785714,-0.0019453124999999998,20
synthea,gain_over_fallback,0.041557510227443306,0.030845572686928974,0.05347494125892032,20
synthea,difference_from_handle_only,-0.004032543488568202,-0.005173029838555087,-0.002948562459872324,20
synthea,noninferiority_transformed,0.005967456511431797,0.004826970161444912,0.007051437540127677,20
synthea,difference_from_naive_2c,-0.007976888613979886,-0.015722831430596853,0.0005534265553759456,20
synthea,aggregate_handle_gain_retention,0.9115477355282882,0.8856396421615003,0.932666326080782,20
synthea,hierarchical_gain_over_fallback,0.041557510227443306,0.030567882434245523,0.05438261200527408,20
synthea,hierarchical_difference_from_handle_only,-0.004032543488568202,-0.005635433914241414,-0.0027463845778686003,20
