B,C,H,aggregate_snr,certificate_type,certified_sensitivity,clip_fraction,comparison_tier,complete_units,config_hash,contributing_record_gradient_evaluations,dataset,delta,diagnostic_gradient_seconds,diagnostic_record_gradient_evaluations,dropped_units,effective_record_utilization,epsilon,evidence_seed,evidence_view,gradient_distortion_l2,group_gradient_evaluations,handle_users_fully_covered_fraction,handle_users_with_residual_fraction,implementation_provenance,lambda,local_atom_units,local_mixed_units,manifest_hash,mean_residual_records_per_handle_user,method,metric_name,metric_value,noise_multiplier,noise_seed,noise_sensitivity,noisy_releases,non_dummy_record_gradient_evaluations,oracle_audit_seconds,overlap_probability,partial_clip_fraction,partial_gradient_distortion_l2,partial_handle_record_fraction,partial_handle_units,patient_or_user_auprc,plan_config_hash,privacy_semantics,public_normalizer,q_record_given_handle,q_record_given_handle_pooled,q_record_given_handle_requested,q_record_total,q_user,q_user_requested,realized_overlap_fraction,record_gradient_evaluations,residual_clip_fraction,residual_gradient_distortion_l2,residual_record_fraction,run_id,sample_accuracy,scenario,schedule_seed,seed,split_seed,structural_sensitivity_bound,topology_seed,user_macro_accuracy,validation_pass,wall_time_seconds,replicate
6,1.0,1,0.004470215921986712,plan-c,1.0,0.9999999856948852,diagnostic,0,cec0b640d1e77bff2229948df926be3a3c2e353c80684d8dd2817ef4d510ad58,25600,femnist,1e-05,0.0,0,0,1.0,4.0,71001,controlled,0.6945005394518375,21399,0.0,1.0,this-work,0.9,1601,0,12e5e1898ab70274c6b11f9cc979b8ad70d14f8819f00186e04c63ca5a092b0b,15.990769230769232,unitscope-lambda-sweep,user_macro_accuracy,0.12,9.214933748786253,1091001,1.0,50,25600,0.08181990016601048,0.5,0.9999999856948852,0.1963662888854742,0.250234375,325,,85e2c0f67dd26b6eb06bd8a9d1355cd162f47ba512379568bb155acfe11a2c54,user-certified,512.0,0.4999384615384616,0.49995189069566054,0.5,0.24989179050642044,0.5,0.5,0.5,25600,0.9999999880790711,0.5416803522408009,0.749765625,68a7b0d8a96defd95f6e855b4ea422cd859c27b7eab8c3133ad058a5f392a08c,0.12,controlled-middle,81101,100,51001,1.0,61001,0.12,True,15.10034249984892,0
6,1.0,1,0.005466922704487014,plan-delta,2.0,0.9999535822868347,primary,0,cec0b640d1e77bff2229948df926be3a3c2e353c80684d8dd2817ef4d510ad58,25600,femnist,1e-05,0.0,0,0,1.0,4.0,71001,controlled,5.212539642751217,21399,0.0,1.0,this-work,,1601,0,12e5e1898ab70274c6b11f9cc979b8ad70d14f8819f00186e04c63ca5a092b0b,15.990769230769232,naive-recalibrated-2c,user_macro_accuracy,0.10203125,9.214933748786253,1091001,2.0,50,25600,0.07405339990509674,0.5,0.9998076784610749,1.381370511725545,0.250234375,325,,85e2c0f67dd26b6eb06bd8a9d1355cd162f47ba512379568bb155acfe11a2c54,user-certified,512.0,0.4999384615384616,0.49995189069566054,0.5,0.24989179050642044,0.5,0.5,0.5,25600,0.9999999880790711,3.905076054632664,0.749765625,7bdd3998c02540f5010c796100026d93cdfa584a3f3b0c8dcbc858f49fa406a1,0.10203125,controlled-middle,81101,100,51001,2.0,61001,0.10203125,True,14.71607680010493,0
6,1.0,1,0.004798191767128583,plan-c,1.0,0.9999999856948852,primary,0,cec0b640d1e77bff2229948df926be3a3c2e353c80684d8dd2817ef4d510ad58,6406,femnist,1e-05,9.375819899869384,25600,1601,0.250234375,4.0,71001,controlled,0.6842995028197766,5376,0.0,1.0,this-work,1.0,0,0,12e5e1898ab70274c6b11f9cc979b8ad70d14f8819f00186e04c63ca5a092b0b,15.990769230769232,handle-only-drop-residual,user_macro_accuracy,0.12265625,9.214933748786253,1091001,1.0,50,6406,0.1843898001825437,0.5,0.9999999856948852,0.1918375674262643,0.250234375,325,,85e2c0f67dd26b6eb06bd8a9d1355cd162f47ba512379568bb155acfe11a2c54,user-certified,512.0,0.4999384615384616,0.49995189069566054,0.5,0.24989179050642044,0.5,0.5,0.5,25600,0.0,0.5360420279204845,0.0,9ac33c2e187c0cd785535074dc7c21e42a62486cc46ee0aa70cf696f637d066e,0.12265625,controlled-middle,81101,100,51001,1.0,61001,0.12265625,True,15.54737119996571,0
6,1.0,1,0.0025975760481746868,plan-c,1.0,0.9999999952316284,primary,0,cec0b640d1e77bff2229948df926be3a3c2e353c80684d8dd2817ef4d510ad58,25600,femnist,1e-05,0.0,0,0,1.0,4.0,71001,controlled,0.7895383501052856,20505,0.0,1.0,this-work,0.0,1604,0,12e5e1898ab70274c6b11f9cc979b8ad70d14f8819f00186e04c63ca5a092b0b,15.990769230769232,stable-local-fallback,user_macro_accuracy,0.1128125,9.214933748786253,1091001,1.0,50,25600,0.0696179001533892,0.5,0.0,0.0,0.0,0,,85e2c0f67dd26b6eb06bd8a9d1355cd162f47ba512379568bb155acfe11a2c54,user-certified,512.0,0.4999384615384616,0.49995189069566054,0.5,0.24989179050642044,0.5,0.5,0.5,25600,0.9999999952316284,0.7895383501052856,1.0,f9b9cd0a2beff8c5be6c8a4d408b96762b2391d4342486425c412d7da4372cce,0.1128125,controlled-middle,81101,100,51001,1.0,61001,0.1128125,True,17.163834599836264,0
6,1.0,1,0.00415568466590436,plan-c,1.0,0.9999999821186065,diagnostic,0,510b6f1bdd5ba40ab06a9823e41d96e27c9c42a56845ae25c5e5f852ad4047cc,25600,femnist,1e-05,0.0,0,0,1.0,4.0,71002,controlled,0.9820653040707111,21422,0.0,1.0,this-work,0.9,1652,0,b389cacbcc2d7a60be1596bd94efd6086e1263adb707c46ae6d72f38d6acdcbc,16.0,unitscope-lambda-sweep,user_macro_accuracy,0.1725,9.214933748786253,1101001,1.0,50,25600,0.07053000005544163,0.5,0.9999999833106995,0.26515915218740704,0.2530859375,325,,85e2c0f67dd26b6eb06bd8a9d1355cd162f47ba512379568bb155acfe11a2c54,user-certified,512.0,0.5,0.5,0.5,0.2503008423586041,0.5,0.5,0.5,25600,0.9999999868869781,0.7943926374614239,0.7469140625,5889cabc190f96905ee5c7008032f38b88bf71d38e07a8bdaa04055cd6b57ca3,0.1725,controlled-middle,81102,101,51002,1.0,61002,0.1725,True,14.474725199950626,1
6,1.0,1,0.004497901089433463,plan-c,1.0,0.9999999833106995,primary,0,510b6f1bdd5ba40ab06a9823e41d96e27c9c42a56845ae25c5e5f852ad4047cc,6479,femnist,1e-05,9.359146800008602,25600,1652,0.2530859375,4.0,71002,controlled,0.9836648443341255,5414,0.0,1.0,this-work,1.0,0,0,b389cacbcc2d7a60be1596bd94efd6086e1263adb707c46ae6d72f38d6acdcbc,16.0,handle-only-drop-residual,user_macro_accuracy,0.17265625,9.214933748786253,1101001,1.0,50,6479,0.07469419998233207,0.5,0.9999999833106995,0.2620994072780013,0.2530859375,325,,85e2c0f67dd26b6eb06bd8a9d1355cd162f47ba512379568bb155acfe11a2c54,user-certified,512.0,0.5,0.5,0.5,0.2503008423586041,0.5,0.5,0.5,25600,0.0,0.7977167569100857,0.0,76fd286b01742bf0ba3108690ecab163aa5e8e7a676524964fc75e6e183f7831,0.17265625,controlled-middle,81102,101,51002,1.0,61002,0.17265625,True,14.384533800010104,1
6,1.0,1,0.005945029270681836,plan-delta,2.0,0.9999517893791199,primary,0,510b6f1bdd5ba40ab06a9823e41d96e27c9c42a56845ae25c5e5f852ad4047cc,25600,femnist,1e-05,0.0,0,0,1.0,4.0,71002,controlled,9.512417596131563,21422,0.0,1.0,this-work,,1652,0,b389cacbcc2d7a60be1596bd94efd6086e1263adb707c46ae6d72f38d6acdcbc,16.0,naive-recalibrated-2c,user_macro_accuracy,0.146875,9.214933748786253,1101001,2.0,50,25600,0.0697348998801317,0.5,0.9998130679130555,2.353203948363662,0.2530859375,325,,85e2c0f67dd26b6eb06bd8a9d1355cd162f47ba512379568bb155acfe11a2c54,user-certified,512.0,0.5,0.5,0.5,0.2503008423586041,0.5,0.5,0.5,25600,0.9999999868869781,7.275703482329845,0.7469140625,ab6b156e4ea70f9e9933fc56dddc3fb26bf29a3443d42b08ae0b5aab9ea63bdb,0.146875,controlled-middle,81102,101,51002,2.0,61002,0.146875,True,14.578310500102816,1
6,1.0,1,0.0023571716742571205,plan-c,1.0,0.9999999952316284,primary,0,510b6f1bdd5ba40ab06a9823e41d96e27c9c42a56845ae25c5e5f852ad4047cc,25600,femnist,1e-05,0.0,0,0,1.0,4.0,71002,controlled,0.9549904172122479,20598,0.0,1.0,this-work,0.0,1655,0,b389cacbcc2d7a60be1596bd94efd6086e1263adb707c46ae6d72f38d6acdcbc,16.0,stable-local-fallback,user_macro_accuracy,0.15390625,9.214933748786253,1101001,1.0,50,25600,0.06727939995471388,0.5,0.0,0.0,0.0,0,,85e2c0f67dd26b6eb06bd8a9d1355cd162f47ba512379568bb155acfe11a2c54,user-certified,512.0,0.5,0.5,0.5,0.2503008423586041,0.5,0.5,0.5,25600,0.9999999952316284,0.9549904172122479,1.0,fc55456e89c1fa3de6e0cd673d7c2166054fc7a94d1d710373366b5dd15f90c8,0.15390625,controlled-middle,81102,101,51002,1.0,61002,0.15390625,True,15.885128000052646,1
6,1.0,1,0.00465759077105782,plan-c,1.0,0.9999999773502349,diagnostic,0,7e36e58947a84df3ef64de6febfa22b4f269925fbcfa2923abb24aacecbe2edb,25600,femnist,1e-05,0.0,0,0,1.0,4.0,71003,controlled,0.9900297363102436,21320,0.0,1.0,this-work,0.9,1600,0,39b4aaccdaf43af918db70e59265013dd17a67ce949552aba60413d27f9a2610,16.0,unitscope-lambda-sweep,user_macro_accuracy,0.168125,9.214933748786253,1111001,1.0,50,25600,0.0659949999244418,0.5,0.9999999880790711,0.27723782002925873,0.2533203125,325,,85e2c0f67dd26b6eb06bd8a9d1355cd162f47ba512379568bb155acfe11a2c54,user-certified,512.0,0.5,0.5,0.5,0.2502165335386392,0.5,0.5,0.5,25600,0.9999999856948852,0.7725011359155178,0.7466796875,0f71d15ddc43f7111732431ee3ae5158d6a39bcda3d201f2c0f4adc4445ee020,0.168125,controlled-middle,81103,102,51003,1.0,61003,0.168125,True,14.027909600059502,2
6,1.0,1,0.005000801404383233,plan-c,1.0,0.9999999880790711,primary,0,7e36e58947a84df3ef64de6febfa22b4f269925fbcfa2923abb24aacecbe2edb,6485,femnist,1e-05,9.101772199996049,25600,1600,0.2533203125,4.0,71003,controlled,0.9816192024946213,5376,0.0,1.0,this-work,1.0,0,0,39b4aaccdaf43af918db70e59265013dd17a67ce949552aba60413d27f9a2610,16.0,handle-only-drop-residual,user_macro_accuracy,0.16625,9.214933748786253,1111001,1.0,50,6485,0.0633275999862235,0.5,0.9999999880790711,0.27411133447661995,0.2533203125,325,,85e2c0f67dd26b6eb06bd8a9d1355cd162f47ba512379568bb155acfe11a2c54,user-certified,512.0,0.5,0.5,0.5,0.2502165335386392,0.5,0.5,0.5,25600,0.0,0.7675937481224537,0.0,37dff7c58dc81d1152b68a2cb89376583a6f1fb4a886e7446789ea4e42436437,0.16625,controlled-middle,81103,102,51003,1.0,61003,0.16625,True,13.997453100018902,2
