B,C,H,aggregate_snr,certificate_type,certified_sensitivity,clip_fraction,comparison_tier,complete_units,config_hash,contributing_record_gradient_evaluations,dataset,delta,diagnostic_gradient_seconds,diagnostic_record_gradient_evaluations,dropped_units,effective_record_utilization,epsilon,evidence_seed,evidence_view,gradient_distortion_l2,group_gradient_evaluations,handle_users_fully_covered_fraction,handle_users_with_residual_fraction,implementation_provenance,lambda,local_atom_units,local_mixed_units,manifest_hash,mean_residual_records_per_handle_user,method,metric_name,metric_value,noise_multiplier,noise_seed,noise_sensitivity,noisy_releases,non_dummy_record_gradient_evaluations,oracle_audit_seconds,overlap_probability,partial_clip_fraction,partial_gradient_distortion_l2,partial_handle_record_fraction,partial_handle_units,patient_or_user_auprc,plan_config_hash,privacy_semantics,public_normalizer,q_record_given_handle,q_record_given_handle_pooled,q_record_given_handle_requested,q_record_total,q_user,q_user_requested,realized_overlap_fraction,record_gradient_evaluations,residual_clip_fraction,residual_gradient_distortion_l2,residual_record_fraction,run_id,sample_accuracy,scenario,schedule_seed,seed,split_seed,structural_sensitivity_bound,topology_seed,user_macro_accuracy,validation_pass,wall_time_seconds,q_user_cell,q_record_cell
6,1.0,1,0.0019420984264988373,plan-c,1.0,0.9999999904632568,diagnostic,0,1f47d4cd38c94e488c9ceb22e24fa0327dccccc0231a7bc5d93011e5469ebb87,25600,femnist,1e-05,0.0,0,0,1.0,4.0,31003,controlled,0.9478795576095581,20821,0.0,1.0,this-work,0.9,1657,0,2b5430a1513d75bc16d18c3a1b0dd69994f8716f60d020fc70892a914c32db81,23.993827160493826,unitscope-lambda-sweep,user_macro_accuracy,0.1162215909090909,9.214933748786253,51005,1.0,50,25600,0.06982889997016173,0.5,0.9999999988079071,0.08898674312047661,0.0648046875,162,,85e2c0f67dd26b6eb06bd8a9d1355cd162f47ba512379568bb155acfe11a2c54,user-certified,512.0,0.25004978096375946,0.2500482346131584,0.25,0.0623136840080777,0.24923076923076923,0.25,0.5,25600,0.9999999916553497,0.8939456611871719,0.9351953125,234ff70760f430080149e41c5d5695335d8024f6d468fea5f5fc7bfff1f9fb6f,0.11600564351779276,custom,31006,2,31001,1.0,31002,0.1162215909090909,True,15.783118700026534,0.25,0.25
6,1.0,1,0.002136286930622731,plan-c,1.0,1.0,primary,0,1f47d4cd38c94e488c9ceb22e24fa0327dccccc0231a7bc5d93011e5469ebb87,1588,femnist,1e-05,10.961932900041575,25600,1657,0.06203125,4.0,31003,controlled,1.2339738282561301,1454,0.0,1.0,this-work,1.0,0,0,2b5430a1513d75bc16d18c3a1b0dd69994f8716f60d020fc70892a914c32db81,23.993827160493826,handle-only-drop-residual,user_macro_accuracy,0.13920454545454544,9.214933748786253,71005,1.0,50,1588,0.06928939993667882,0.5,1.0,0.10947088347747921,0.06203125,162,,85e2c0f67dd26b6eb06bd8a9d1355cd162f47ba512379568bb155acfe11a2c54,user-certified,512.0,0.25004978096375946,0.2500482346131584,0.25,0.0623136840080777,0.24923076923076923,0.25,0.5,25600,0.0,1.1633534878492355,0.0,27939568cd13ded65166700507ffe2a38c59025d7d88266a18e0df65fa7cdd6b,0.13936353660448347,custom,31008,4,31001,1.0,31002,0.13920454545454544,True,15.727737500026706,0.25,0.25
6,1.0,1,0.0020664419778465793,plan-c,1.0,0.999999989271164,diagnostic,0,1f47d4cd38c94e488c9ceb22e24fa0327dccccc0231a7bc5d93011e5469ebb87,25600,femnist,1e-05,0.0,0,0,1.0,4.0,31003,controlled,1.1851320606470108,20974,0.0,1.0,this-work,0.9,1657,0,2b5430a1513d75bc16d18c3a1b0dd69994f8716f60d020fc70892a914c32db81,23.993827160493826,unitscope-lambda-sweep,user_macro_accuracy,0.14389204545454545,9.214933748786253,71005,1.0,50,25600,0.07024519998230971,0.5,1.0,0.10871280137449503,0.06203125,162,,85e2c0f67dd26b6eb06bd8a9d1355cd162f47ba512379568bb155acfe11a2c54,user-certified,512.0,0.25004978096375946,0.2500482346131584,0.25,0.0623136840080777,0.24923076923076923,0.25,0.5,25600,0.9999999916553497,1.1165158930420875,0.93796875,650e7e04ae326d4f0d863449a18c041f883ec639bff3d7120d4dece8e44eafc8,0.14406646809844803,custom,31008,4,31001,1.0,31002,0.14389204545454545,True,15.88905930002511,0.25,0.25
6,1.0,1,0.0020004980102446067,plan-c,1.0,1.0,primary,0,1f47d4cd38c94e488c9ceb22e24fa0327dccccc0231a7bc5d93011e5469ebb87,1607,femnist,1e-05,9.942385699949227,25600,1657,0.0627734375,4.0,31003,controlled,1.3766538839042186,1469,0.0,1.0,this-work,1.0,0,0,2b5430a1513d75bc16d18c3a1b0dd69994f8716f60d020fc70892a914c32db81,23.993827160493826,handle-only-drop-residual,user_macro_accuracy,0.11640625,9.214933748786253,41005,1.0,50,1607,0.0612012000347022,0.5,1.0,0.0998317694105208,0.0627734375,162,,85e2c0f67dd26b6eb06bd8a9d1355cd162f47ba512379568bb155acfe11a2c54,user-certified,512.0,0.25004978096375946,0.2500482346131584,0.25,0.0623136840080777,0.24923076923076923,0.25,0.5,25600,0.0,1.3111302381753922,0.0,7a384201d64459ce3412957fdc40505d077031a01ddbab465b7414ffe0189dc7,0.11678946543345352,custom,31005,1,31001,1.0,31002,0.11640625,True,14.322324900029344,0.25,0.25
6,1.0,1,0.0019585987521966706,plan-c,1.0,0.9999999916553497,diagnostic,0,1f47d4cd38c94e488c9ceb22e24fa0327dccccc0231a7bc5d93011e5469ebb87,25600,femnist,1e-05,0.0,0,0,1.0,4.0,31003,controlled,1.3009372100234031,20906,0.0,1.0,this-work,0.9,1657,0,2b5430a1513d75bc16d18c3a1b0dd69994f8716f60d020fc70892a914c32db81,23.993827160493826,unitscope-lambda-sweep,user_macro_accuracy,0.11921875,9.214933748786253,41005,1.0,50,25600,0.06137059998582117,0.5,1.0,0.09794024048373103,0.0627734375,162,,85e2c0f67dd26b6eb06bd8a9d1355cd162f47ba512379568bb155acfe11a2c54,user-certified,512.0,0.25004978096375946,0.2500482346131584,0.25,0.0623136840080777,0.24923076923076923,0.25,0.5,25600,0.9999999904632568,1.238360300809145,0.9372265625,8ee9f8a6246dcb2782e1cea1803e0acc3e654fdbd3d5daf1284db30ce931f378,0.11961122432983226,custom,31005,1,31001,1.0,31002,0.11921875,True,14.891328800018528,0.25,0.25
6,1.0,1,0.002121074315024442,plan-c,1.0,0.999999989271164,diagnostic,0,1f47d4cd38c94e488c9ceb22e24fa0327dccccc0231a7bc5d93011e5469ebb87,25600,femnist,1e-05,0.0,0,0,1.0,4.0,31003,controlled,1.2846062764525414,21018,0.0,1.0,this-work,0.9,1657,0,2b5430a1513d75bc16d18c3a1b0dd69994f8716f60d020fc70892a914c32db81,23.993827160493826,unitscope-lambda-sweep,user_macro_accuracy,0.09873579545454544,9.214933748786253,61005,1.0,50,25600,0.07009979999565985,0.5,1.0,0.11736932719126343,0.0633984375,162,,85e2c0f67dd26b6eb06bd8a9d1355cd162f47ba512379568bb155acfe11a2c54,user-certified,512.0,0.25004978096375946,0.2500482346131584,0.25,0.0623136840080777,0.24923076923076923,0.25,0.5,25600,0.9999999928474427,1.2021698221564292,0.9366015625,a04f9b0425abd625ede814498311f5038ada0cfdcd6645bb24c4562cad066485,0.098761561373256,custom,31007,3,31001,1.0,31002,0.09873579545454544,True,15.857861800002865,0.25,0.25
6,1.0,1,0.0021338751397628757,plan-c,1.0,1.0,primary,0,1f47d4cd38c94e488c9ceb22e24fa0327dccccc0231a7bc5d93011e5469ebb87,1577,femnist,1e-05,9.257936400099425,25600,1657,0.0616015625,4.0,31003,controlled,1.137295687943697,1438,0.0,1.0,this-work,1.0,0,0,2b5430a1513d75bc16d18c3a1b0dd69994f8716f60d020fc70892a914c32db81,23.993827160493826,handle-only-drop-residual,user_macro_accuracy,0.09931818181818182,9.214933748786253,31005,1.0,50,1577,0.05777579998539295,0.5,1.0,0.08997358491644264,0.0616015625,162,,85e2c0f67dd26b6eb06bd8a9d1355cd162f47ba512379568bb155acfe11a2c54,user-certified,512.0,0.25004978096375946,0.2500482346131584,0.25,0.0623136840080777,0.24923076923076923,0.25,0.5,25600,0.0,1.0740654538571834,0.0,b35fc93c46918ad57423f5bf3050600eba919874a6c9dc9766bffd2f9a37333c,0.0984480326069917,custom,31004,0,31001,1.0,31002,0.09931818181818182,True,15.548907699907431,0.25,0.25
6,1.0,1,0.0021951699692413728,plan-c,1.0,1.0,primary,0,1f47d4cd38c94e488c9ceb22e24fa0327dccccc0231a7bc5d93011e5469ebb87,1623,femnist,1e-05,10.856288499984657,25600,1657,0.0633984375,4.0,31003,controlled,1.3203718149662018,1490,0.0,1.0,this-work,1.0,0,0,2b5430a1513d75bc16d18c3a1b0dd69994f8716f60d020fc70892a914c32db81,23.993827160493826,handle-only-drop-residual,user_macro_accuracy,0.09748579545454544,9.214933748786253,61005,1.0,50,1623,0.06854480001493357,0.5,1.0,0.11795972846448421,0.0633984375,162,,85e2c0f67dd26b6eb06bd8a9d1355cd162f47ba512379568bb155acfe11a2c54,user-certified,512.0,0.25004978096375946,0.2500482346131584,0.25,0.0623136840080777,0.24923076923076923,0.25,0.5,25600,0.0,1.2363957786560058,0.0,d4f295d68ef2b9d80b4028b46a34c8107e2c3c8e4198c0d6efde59bcd8ebf276,0.09750744630819878,custom,31007,3,31001,1.0,31002,0.09748579545454544,True,15.832276300003286,0.25,0.25
6,1.0,1,0.0020803237083738702,plan-c,1.0,0.999999989271164,diagnostic,0,1f47d4cd38c94e488c9ceb22e24fa0327dccccc0231a7bc5d93011e5469ebb87,25600,femnist,1e-05,0.0,0,0,1.0,4.0,31003,controlled,1.0924250458180904,21004,0.0,1.0,this-work,0.9,1657,0,2b5430a1513d75bc16d18c3a1b0dd69994f8716f60d020fc70892a914c32db81,23.993827160493826,unitscope-lambda-sweep,user_macro_accuracy,0.09931818181818182,9.214933748786253,31005,1.0,50,25600,0.05954190010379534,0.5,1.0,0.08869953136891126,0.0616015625,162,,85e2c0f67dd26b6eb06bd8a9d1355cd162f47ba512379568bb155acfe11a2c54,user-certified,512.0,0.25004978096375946,0.2500482346131584,0.25,0.0623136840080777,0.24923076923076923,0.25,0.5,25600,0.9999999940395355,1.03115783020854,0.9383984375,e07b37dba8d6b33fb7f03b1fc6b64d5cb96c7ab564f26b54c67e5651e2957939,0.0984480326069917,custom,31004,0,31001,1.0,31002,0.09931818181818182,True,14.533028899895726,0.25,0.25
6,1.0,1,0.002022162465952327,plan-c,1.0,0.9999999988079071,primary,0,1f47d4cd38c94e488c9ceb22e24fa0327dccccc0231a7bc5d93011e5469ebb87,1659,femnist,1e-05,10.755614999987301,25600,1657,0.0648046875,4.0,31003,controlled,0.9810564376413822,1508,0.0,1.0,this-work,1.0,0,0,2b5430a1513d75bc16d18c3a1b0dd69994f8716f60d020fc70892a914c32db81,23.993827160493826,handle-only-drop-residual,user_macro_accuracy,0.1179403409090909,9.214933748786253,51005,1.0,50,1659,0.06716230003803503,0.5,0.9999999988079071,0.08903597908094525,0.0648046875,162,,85e2c0f67dd26b6eb06bd8a9d1355cd162f47ba512379568bb155acfe11a2c54,user-certified,512.0,0.25004978096375946,0.2500482346131584,0.25,0.0623136840080777,0.24923076923076923,0.25,0.5,25600,0.0,0.9257852344214916,0.0,ee9c7cb0a64ec057e084b3d7f36aa0d2f858dabb633c1369869f4dfc5bd4ace2,0.11773005173224643,custom,31006,2,31001,1.0,31002,0.1179403409090909,True,15.833788899966748,0.25,0.25
