method,implementation_provenance,privacy_semantics,comparison_tier,seed,config_hash,lambda,H,B,C,q_user,q_record_given_handle,realized_q_user,realized_q_record_given_handle,overlap_probability,realized_overlap,gradient_correlation,realized_pairwise_cosine_mean,realized_pairwise_cosine_p10,realized_pairwise_cosine_p50,realized_pairwise_cosine_p90,certified_sensitivity,structural_sensitivity_bound,certificate_type,noise_sensitivity,effective_record_utilization,partial_handle_record_fraction,residual_record_fraction,clip_fraction,aggregate_snr,wall_time_seconds,deterministic_distortion,noisy_aggregate_mse
stable-local-fallback,this-work,user-certified,primary,0,c9666d92f54946afd0d7939364a7c039fd43c592f9b82d70e359b08e301f2cf4,0.0,1,6,1.0,0.5,0.5,0.5,0.5,0.5,0.499,0.0,1.1154897702486132e-18,-2.775557561562892e-17,0.0,3.122502256758253e-17,1.0,1.0,plan-c,1.0,1.0,0.0,1.0,1.0,1.0496835424096278,0.0801427999977022,0.000337496100142,0.0003446902799674
handle-only-drop-residual,this-work,user-certified,primary,0,c9666d92f54946afd0d7939364a7c039fd43c592f9b82d70e359b08e301f2cf4,1.0,1,6,1.0,0.5,0.5,0.5,0.5,0.5,0.499,0.0,1.1154897702486132e-18,-2.775557561562892e-17,0.0,3.122502256758253e-17,1.0,1.0,plan-c,1.0,0.2483322214809873,0.2483322214809873,0.0,0.157,2.773742840508147,0.057486699995934,0.0002710791581833,0.0002836367617097
unitscope-equal,this-work,user-certified,primary,0,c9666d92f54946afd0d7939364a7c039fd43c592f9b82d70e359b08e301f2cf4,0.1428571428571428,1,6,1.0,0.5,0.5,0.5,0.5,0.5,0.499,0.0,1.1154897702486132e-18,-2.775557561562892e-17,0.0,3.122502256758253e-17,1.0,1.0,plan-c,1.0,1.0,0.2483322214809873,0.7516677785190127,1.0,1.3283904162393023,0.0592657999950461,0.0002979444660583,0.0003063645542174
unitscope-tuned,this-work,user-certified,primary,0,c9666d92f54946afd0d7939364a7c039fd43c592f9b82d70e359b08e301f2cf4,0.0,1,6,1.0,0.5,0.5,0.5,0.5,0.5,0.499,0.0,1.1154897702486132e-18,-2.775557561562892e-17,0.0,3.122502256758253e-17,1.0,1.0,plan-c,1.0,1.0,0.0,1.0,1.0,1.0496835424096278,0.0515490999969188,0.000337496100142,0.0003446902799674
naive-recalibrated-2c,this-work,user-certified,primary,0,c9666d92f54946afd0d7939364a7c039fd43c592f9b82d70e359b08e301f2cf4,,1,6,1.0,0.5,0.5,0.5,0.5,0.5,0.499,0.0,1.1154897702486132e-18,-2.775557561562892e-17,0.0,3.122502256758253e-17,2.0,2.0,plan-delta,2.0,1.0,0.2483322214809873,0.7516677785190127,0.7805259047123145,1.7755311325908418,0.0609101000009104,0.0001557420398801,0.0002247851281215
full-identity-reference,oracle,oracle-assumption,full-identity-reference,0,c9666d92f54946afd0d7939364a7c039fd43c592f9b82d70e359b08e301f2cf4,,1,6,1.0,0.5,0.5,0.5,0.5,0.5,0.499,0.0,1.1154897702486132e-18,-2.775557561562892e-17,0.0,3.122502256758253e-17,1.0,1.0,plan-c,1.0,1.0,0.0,0.0,1.0,5.146293509251274,0.3382029000058537,0.0,1.9925347562214547e-05
non-private-reference,oracle,non-private,diagnostic,0,c9666d92f54946afd0d7939364a7c039fd43c592f9b82d70e359b08e301f2cf4,,1,6,1.0,0.5,0.5,0.5,0.5,0.5,0.499,0.0,1.1154897702486132e-18,-2.775557561562892e-17,0.0,3.122502256758253e-17,,,non-private,0.0,1.0,0.0,0.0,0.0,inf,0.061212800006615,0.0001382192126081,0.0001382192126081
naive-claimed-c,this-work,unsafe-diagnostic,diagnostic,0,c9666d92f54946afd0d7939364a7c039fd43c592f9b82d70e359b08e301f2cf4,,1,6,1.0,0.5,0.5,0.5,0.5,0.5,0.499,0.0,1.1154897702486132e-18,-2.775557561562892e-17,0.0,3.122502256758253e-17,,2.0,unsafe-diagnostic,1.0,1.0,0.2483322214809873,0.7516677785190127,0.7805259047123145,3.551062265181684,0.0596181000000797,0.0001557420398801,0.0001703382364385
stable-local-fallback,this-work,user-certified,primary,1,c9666d92f54946afd0d7939364a7c039fd43c592f9b82d70e359b08e301f2cf4,0.0,1,6,1.0,0.5,0.5,0.5,0.5,0.5,0.4995,0.0,-1.0548994110669773e-18,-3.4694469519536136e-17,0.0,3.122502256758253e-17,1.0,1.0,plan-c,1.0,1.0,0.0,1.0,1.0,1.2446626361921118,0.051499799999874,0.0003545236986979,0.0003896107826631
handle-only-drop-residual,this-work,user-certified,primary,1,c9666d92f54946afd0d7939364a7c039fd43c592f9b82d70e359b08e301f2cf4,1.0,1,6,1.0,0.5,0.5,0.5,0.5,0.5,0.4995,0.0,-1.0548994110669773e-18,-3.4694469519536136e-17,0.0,3.122502256758253e-17,1.0,1.0,plan-c,1.0,0.2504168056018673,0.2504168056018673,0.0,0.178,3.1339735588065887,0.0733397000003606,0.0003043654261299,0.0003406159486922
