gradient_correlation,lambda,method,seeds,realized_cosine,deterministic_distortion_mean,deterministic_distortion_std,noisy_mse_mean,record_utilization,aggregate_snr
-0.9,0.0,stable-local-fallback,10,-0.9000000000000002,0.00022784391009871,2.6723577304667316e-05,0.00024199481668684,1.0,0.7286339643158944
-0.9,0.0,unitscope-tuned,10,-0.9000000000000001,0.00022784391009871,2.7933394806864632e-05,0.00024199481668684,1.0,0.7286339643158944
-0.9,0.1428571428571428,unitscope-equal,10,-0.9000000000000002,0.00020274357526371,2.3712079907723724e-05,0.00021742926885735,1.0,1.0278978122100673
-0.9,0.25,unitscope-tuned,10,-0.9000000000000001,0.00018723041134144,2.3959990940292745e-05,0.00020222835785372,1.0,1.3334522927131767
-0.9,0.5,unitscope-tuned,10,-0.9000000000000001,0.00017548469103958,2.8639947634667874e-05,0.00019140009760694,1.0,1.9209890996913117
-0.9,0.75,unitscope-tuned,10,-0.9000000000000001,0.00019364735835168,3.591942462662633e-05,0.00020975631131751,1.0,2.2457849096007316
-0.9,0.9,unitscope-tuned,10,-0.9000000000000001,0.00021360802430413,4.064567564505164e-05,0.00022953756285196998,1.0,2.343232366516742
-0.9,1.0,handle-only-drop-residual,10,-0.9000000000000002,0.0002283754206647,4.206684237729557e-05,0.00024418534960055,0.2491934467460987,2.4253198084587533
-0.9,1.0,unitscope-tuned,10,-0.9000000000000001,0.00022837542066470002,4.3971273119857096e-05,0.00024418534960055,0.2491934467460987,2.4253198084587533
-0.5,0.0,stable-local-fallback,10,-0.5,0.00035390798716099,3.5299124336224986e-05,0.00036871471259755005,1.0,0.949090800622572
-0.5,0.0,unitscope-tuned,10,-0.5,0.00035390798716099003,3.689717005994423e-05,0.00036871471259755,1.0,0.949090800622572
-0.5,0.1428571428571428,unitscope-equal,10,-0.5,0.00032650259820649,3.431315163419964e-05,0.00034199954544399,1.0,1.2065321839377883
-0.5,0.25,unitscope-tuned,10,-0.5,0.00030550977784622,3.659858463729958e-05,0.00032134817510044,1.0,1.4859124601013547
-0.5,0.5,unitscope-tuned,10,-0.5,0.00027366743693801,4.183920660299349e-05,0.00029030255089796,1.0,2.2472203967682116
-0.5,0.75,unitscope-tuned,10,-0.5,0.00028658488942234,4.816315800508264e-05,0.00030325787539546,1.0,2.591416064709461
-0.5,0.9,unitscope-tuned,10,-0.5,0.00030818002195142003,5.206331532029682e-05,0.00032457219325544997,1.0,2.6431626632898753
-0.5,1.0,handle-only-drop-residual,10,-0.5,0.00032405454311987,5.258047585219567e-05,0.00034025950464449,0.2491934467460987,2.6945408932661086
-0.5,1.0,unitscope-tuned,10,-0.5,0.00032405454311987,5.496087497446212e-05,0.00034025950464449,0.2491934467460987,2.694540893266109
0.0,0.0,stable-local-fallback,10,2.524681130782901e-19,0.00032573973886332,3.466867969454825e-05,0.00034080553270769,1.0,1.1729566375712606
0.0,0.0,unitscope-tuned,10,2.5246811307829014e-19,0.00032573973886332005,3.623818421837604e-05,0.00034080553270769,1.0,1.1729566375712603
0.0,0.1428571428571428,unitscope-equal,10,2.524681130782901e-19,0.00030403004261506003,3.438192496267763e-05,0.00031992899934037,1.0,1.3752044783615467
0.0,0.25,unitscope-tuned,10,2.5246811307829014e-19,0.00028546922860468,3.628812102155642e-05,0.00030172754813272,1.0,1.6245611825611803
0.0,0.5,unitscope-tuned,10,2.5246811307829014e-19,0.00025776383752199,4.001115583794764e-05,0.00027486067025636,1.0,2.3185964740040736
0.0,0.75,unitscope-tuned,10,2.5246811307829014e-19,0.00026411493642808,4.34979085107342e-05,0.00028131142672611,1.0,2.812597448459347
0.0,0.9,unitscope-tuned,10,2.5246811307829014e-19,0.00028135996668608,4.538528928464226e-05,0.00029827132577112,1.0,2.9658423526876527
0.0,1.0,handle-only-drop-residual,10,2.524681130782901e-19,0.00029646580442811,4.5154859916660334e-05,0.00031312405566827996,0.2491934467460987,2.986835644132648
0.0,1.0,unitscope-tuned,10,2.5246811307829014e-19,0.00029646580442811,4.719908996915791e-05,0.00031312405566828,0.2491934467460987,2.986835644132648
0.5,0.0,stable-local-fallback,10,0.5,0.0003046607522734,3.581867759566078e-05,0.00031988475407227,1.0,1.3612522933211864
0.5,0.0,unitscope-tuned,10,0.5,0.0003046607522734,3.744024429561097e-05,0.00031988475407227,1.0,1.3612522933211864
0.5,0.1428571428571428,unitscope-equal,10,0.5,0.00028690534877255,3.594868044411008e-05,0.00030309611417948004,1.0,1.5170156631166203
0.5,0.25,unitscope-tuned,10,0.5,0.00027020795817540996,3.7458335360497455e-05,0.00028678222276526,1.0,1.7406384298425555
0.5,0.5,unitscope-tuned,10,0.5,0.00024551338386301,3.977568128311794e-05,0.00026298247987975,1.0,2.374213512054662
0.5,0.75,unitscope-tuned,10,0.5,0.00025300277296031,4.2319008145257844e-05,0.00027062784476126003,1.0,2.8233186100689336
0.5,0.9,unitscope-tuned,10,0.5,0.00026901825309574,4.375182967213383e-05,0.00028644136811014,1.0,3.0294582491818662
0.5,1.0,handle-only-drop-residual,10,0.5,0.00028205109250947,4.321558287207479e-05,0.00029933956966618,0.2491934467460987,3.1831262003649305
0.5,1.0,unitscope-tuned,10,0.5,0.00028205109250947,4.517201886603745e-05,0.00029933956966618003,0.2491934467460987,3.1831262003649305
0.9,0.0,stable-local-fallback,10,0.9000000000000002,0.00028970759052984,3.802306511766334e-05,0.00030501947833621,1.0,1.4896984000253988
0.9,0.0,unitscope-tuned,10,0.9000000000000001,0.00028970759052984,3.974442783576409e-05,0.00030501947833621,1.0,1.4896984000253988
0.9,0.1428571428571428,unitscope-equal,10,0.9000000000000002,0.00027438205081849995,3.8373386584094265e-05,0.00029078362396357,1.0,1.614463030287473
0.9,0.25,unitscope-tuned,10,0.9000000000000001,0.00025915924751015,3.950672049586347e-05,0.00027599160438338997,1.0,1.8199306123578172
0.9,0.5,unitscope-tuned,10,0.9000000000000001,0.00023690085235344,4.067350204894546e-05,0.00025473837125914,1.0,2.408223165475181
0.9,0.75,unitscope-tuned,10,0.9000000000000001,0.00024526427594631997,4.276290576209234e-05,0.00026336810124184004,1.0,2.8235236552969116
0.9,0.9,unitscope-tuned,10,0.9000000000000001,0.00026134540203798,4.424282983823651e-05,0.00027931346891028,1.0,3.0125936171187417
0.9,1.0,handle-only-drop-residual,10,0.9000000000000002,0.00027429551070689,4.373078141455909e-05,0.00029217307196373,0.2491934467460987,3.154914143410909
0.9,1.0,unitscope-tuned,10,0.9000000000000001,0.00027429551070689,4.5710541240009504e-05,0.00029217307196372996,0.2491934467460987,3.1549141434109096
