B,C,H,aggregate_snr,certificate_type,certified_sensitivity,clip_fraction,comparison_tier,complete_units,config_hash,contributing_record_gradient_evaluations,dataset,delta,diagnostic_gradient_seconds,diagnostic_record_gradient_evaluations,dropped_units,effective_record_utilization,epsilon,evidence_seed,evidence_view,gradient_distortion_l2,group_gradient_evaluations,handle_users_fully_covered_fraction,handle_users_with_residual_fraction,implementation_provenance,lambda,local_atom_units,local_mixed_units,manifest_hash,mean_residual_records_per_handle_user,method,metric_name,metric_value,noise_multiplier,noise_seed,noise_sensitivity,noisy_releases,non_dummy_record_gradient_evaluations,oracle_audit_seconds,overlap_probability,partial_clip_fraction,partial_gradient_distortion_l2,partial_handle_record_fraction,partial_handle_units,patient_or_user_auprc,plan_config_hash,privacy_semantics,public_normalizer,q_record_given_handle,q_record_given_handle_pooled,q_record_given_handle_requested,q_record_total,q_user,q_user_requested,realized_overlap_fraction,record_gradient_evaluations,residual_clip_fraction,residual_gradient_distortion_l2,residual_record_fraction,run_id,sample_accuracy,scenario,schedule_seed,seed,split_seed,structural_sensitivity_bound,topology_seed,user_macro_accuracy,validation_pass,wall_time_seconds,frontier_source
6,1.0,1,0.004437954394135782,plan-c,1.0,0.9999999845027924,primary,0,321be27adaa6b18de46f154b7b19f483da8cd90548babd6e4abfb57532665fdf,6442,femnist,1e-05,11.401743200054625,25600,1655,0.251640625,4.0,31003,controlled,0.6899090705811978,5394,0.0,1.0,this-work,1.0,0,0,807205a46345f70a8bce8ce6770ffa3d758f69cd83498477bad0f4cd949a3523,15.993846153846153,handle-only-drop-residual,user_macro_accuracy,0.2038778409090909,9.214933748786253,101005,1.0,50,6442,0.06884320006065536,0.5,0.9999999845027924,0.2004740957543254,0.251640625,325,,1ff157e6e19bb70a469f3512054134ecba838394572619b67f17c7b6da38f8a7,user-certified,512.0,0.5000992555831265,0.5000961723408348,0.5,0.25002404077315127,0.5,0.5,0.5,25600,0.0,0.5478525772690773,0.0,03aee4b751f501e4d7e936ebf01ec79afcac4065ac13c2fa273e8894e4483524,0.20395046245493023,controlled-middle,31011,7,31001,1.0,31002,0.2038778409090909,True,21.04070839988708,lambda=1 endpoint
6,1.0,1,0.004721637136081076,plan-c,1.0,0.9999999845027924,primary,0,321be27adaa6b18de46f154b7b19f483da8cd90548babd6e4abfb57532665fdf,6386,femnist,1e-05,11.441837699981988,25600,1655,0.249453125,4.0,31003,controlled,0.8994190420210362,5336,0.0,1.0,this-work,1.0,0,0,807205a46345f70a8bce8ce6770ffa3d758f69cd83498477bad0f4cd949a3523,15.993846153846153,handle-only-drop-residual,user_macro_accuracy,0.18826704545454548,9.214933748786253,71005,1.0,50,6386,0.06897929996193852,0.5,0.9999999845027924,0.25680189426988365,0.249453125,325,,1ff157e6e19bb70a469f3512054134ecba838394572619b67f17c7b6da38f8a7,user-certified,512.0,0.5000992555831265,0.5000961723408348,0.5,0.25002404077315127,0.5,0.5,0.5,25600,0.0,0.7072058656811714,0.0,0c00c3cb540025118af67edbc38e774d27387ea2f71acaa45a832527613f6d48,0.1885875529079793,controlled-middle,31008,4,31001,1.0,31002,0.18826704545454548,True,23.410586700047133,lambda=1 endpoint
6,1.0,1,0.0024170274544098418,plan-c,1.0,0.9999999713897705,primary,0,321be27adaa6b18de46f154b7b19f483da8cd90548babd6e4abfb57532665fdf,25600,femnist,1e-05,0.0,0,0,1.0,4.0,31003,controlled,0.798496849089861,21306,0.0,1.0,this-work,0.14285714285714285,1655,0,807205a46345f70a8bce8ce6770ffa3d758f69cd83498477bad0f4cd949a3523,15.993846153846153,unitscope-equal,user_macro_accuracy,0.10203125,9.214933748786253,121005,1.0,50,25600,0.1771181999502005,0.5,0.9999999797344208,0.25436627604067324,0.25,325,,1ff157e6e19bb70a469f3512054134ecba838394572619b67f17c7b6da38f8a7,user-certified,512.0,0.5000992555831265,0.5000961723408348,0.5,0.25002404077315127,0.5,0.5,0.5,25600,0.9999999833106995,0.5940723231434822,0.75,1888406637069f591a35050de1769963112e64a05972261ee466c0ff276fa49b,0.1023671421852955,controlled-middle,31013,9,31001,1.0,31002,0.10203125,True,22.95616860005248,equal-allocation ablation
6,1.0,1,0.002349555035171988,plan-c,1.0,0.9999999868869781,primary,0,321be27adaa6b18de46f154b7b19f483da8cd90548babd6e4abfb57532665fdf,25600,femnist,1e-05,0.0,0,0,1.0,4.0,31003,controlled,0.9775922378897667,21261,0.0,1.0,this-work,0.14285714285714285,1655,0,807205a46345f70a8bce8ce6770ffa3d758f69cd83498477bad0f4cd949a3523,15.993846153846153,unitscope-equal,user_macro_accuracy,0.1577556818181818,9.214933748786253,41005,1.0,50,25600,0.07110659996396862,0.5,0.9999999856948852,0.2791511394828558,0.245859375,325,,1ff157e6e19bb70a469f3512054134ecba838394572619b67f17c7b6da38f8a7,user-certified,512.0,0.5000992555831265,0.5000961723408348,0.5,0.25002404077315127,0.5,0.5,0.5,25600,0.9999999904632568,0.7526266920566559,0.754140625,1d060889c2b830079500756de506560a6f459c4e6d9adfa373de0e24f0c40f0d,0.1570779118984167,controlled-middle,31005,1,31001,1.0,31002,0.1577556818181818,True,23.845590900047682,equal-allocation ablation
6,1.0,1,0.002276074343576123,plan-c,1.0,0.9999999845027924,primary,0,321be27adaa6b18de46f154b7b19f483da8cd90548babd6e4abfb57532665fdf,25600,femnist,1e-05,0.0,0,0,1.0,4.0,31003,controlled,0.9922321411967278,21339,0.0,1.0,this-work,0.14285714285714285,1655,0,807205a46345f70a8bce8ce6770ffa3d758f69cd83498477bad0f4cd949a3523,15.993846153846153,unitscope-equal,user_macro_accuracy,0.17029829545454547,9.214933748786253,71005,1.0,50,25600,0.07236420002300292,0.5,0.9999999845027924,0.30003027625381945,0.249453125,325,,1ff157e6e19bb70a469f3512054134ecba838394572619b67f17c7b6da38f8a7,user-certified,512.0,0.5000992555831265,0.5000961723408348,0.5,0.25002404077315127,0.5,0.5,0.5,25600,0.9999999868869781,0.7589061303436756,0.750546875,227329edfed8e2d3083ce18c2a181fb7ec0629b07484099b1fff83d8541f8d70,0.1705596488477818,controlled-middle,31008,4,31001,1.0,31002,0.17029829545454547,True,23.57998349997797,equal-allocation ablation
6,1.0,1,0.004893182908529135,plan-c,1.0,0.9999999856948852,primary,0,321be27adaa6b18de46f154b7b19f483da8cd90548babd6e4abfb57532665fdf,6414,femnist,1e-05,10.728042799964896,25600,1655,0.250546875,4.0,31003,controlled,0.9965234744548798,5366,0.0,1.0,this-work,1.0,0,0,807205a46345f70a8bce8ce6770ffa3d758f69cd83498477bad0f4cd949a3523,15.993846153846153,handle-only-drop-residual,user_macro_accuracy,0.09373579545454545,9.214933748786253,91005,1.0,50,6414,0.06392789997335058,0.5,0.9999999856948852,0.2712730300426483,0.250546875,325,,1ff157e6e19bb70a469f3512054134ecba838394572619b67f17c7b6da38f8a7,user-certified,512.0,0.5000992555831265,0.5000961723408348,0.5,0.25002404077315127,0.5,0.5,0.5,25600,0.0,0.7806293192505837,0.0,22f3c9e2e23c55ef9767da0b6ccb0b0fb841fd276d1234e83a831cb2b0463894,0.09374510111302713,controlled-middle,31010,6,31001,1.0,31002,0.09373579545454545,True,20.174503000060213,lambda=1 endpoint
6,1.0,1,0.004988971121190475,plan-c,1.0,0.9999999797344208,primary,0,321be27adaa6b18de46f154b7b19f483da8cd90548babd6e4abfb57532665fdf,6400,femnist,1e-05,11.414504400017904,25600,1655,0.25,4.0,31003,controlled,0.6482703667879105,5334,0.0,1.0,this-work,1.0,0,0,807205a46345f70a8bce8ce6770ffa3d758f69cd83498477bad0f4cd949a3523,15.993846153846153,handle-only-drop-residual,user_macro_accuracy,0.1615056818181818,9.214933748786253,121005,1.0,50,6400,0.06912249994638842,0.5,0.9999999797344208,0.19600084830075504,0.25,325,,1ff157e6e19bb70a469f3512054134ecba838394572619b67f17c7b6da38f8a7,user-certified,512.0,0.5000992555831265,0.5000961723408348,0.5,0.25002404077315127,0.5,0.5,0.5,25600,0.0,0.5074054469168187,0.0,25a02075e7dd28ec75328b28728ec3c224ed6093a1974ad1be5f8643e91beb13,0.16084025709358835,controlled-middle,31013,9,31001,1.0,31002,0.1615056818181818,True,23.101497400028165,lambda=1 endpoint
6,1.0,1,0.0020546617605383386,plan-c,1.0,0.9999999797344208,primary,0,321be27adaa6b18de46f154b7b19f483da8cd90548babd6e4abfb57532665fdf,25600,femnist,1e-05,0.0,0,0,1.0,4.0,31003,controlled,0.7470079289376735,21208,0.0,1.0,this-work,0.14285714285714285,1655,0,807205a46345f70a8bce8ce6770ffa3d758f69cd83498477bad0f4cd949a3523,15.993846153846153,unitscope-equal,user_macro_accuracy,0.1707244318181818,9.214933748786253,101005,1.0,50,25600,0.06821649997436907,0.5,0.9999999845027924,0.2335005524009466,0.251640625,325,,1ff157e6e19bb70a469f3512054134ecba838394572619b67f17c7b6da38f8a7,user-certified,512.0,0.5000992555831265,0.5000961723408348,0.5,0.25002404077315127,0.5,0.5,0.5,25600,0.9999999880790711,0.5744877134263515,0.748359375,3a4a4904a296629505768775a436322510c8c17359e61e92a8714848de78a3b7,0.17008935569838532,controlled-middle,31011,7,31001,1.0,31002,0.1707244318181818,True,21.088761400038493,equal-allocation ablation
6,1.0,1,0.002360855251779066,plan-c,1.0,0.9999999964237213,primary,0,321be27adaa6b18de46f154b7b19f483da8cd90548babd6e4abfb57532665fdf,25600,femnist,1e-05,0.0,0,0,1.0,4.0,31003,controlled,0.7799080383777618,20514,0.0,1.0,this-work,0.0,1657,0,807205a46345f70a8bce8ce6770ffa3d758f69cd83498477bad0f4cd949a3523,15.993846153846153,stable-local-fallback,user_macro_accuracy,0.1732528409090909,9.214933748786253,51005,1.0,50,25600,0.06663380000100005,0.5,0.0,0.0,0.0,0,,1ff157e6e19bb70a469f3512054134ecba838394572619b67f17c7b6da38f8a7,user-certified,512.0,0.5000992555831265,0.5000961723408348,0.5,0.25002404077315127,0.5,0.5,0.5,25600,0.9999999964237213,0.7799080383777618,1.0,3f87b8c191fb94f75d43816c92482b65198f9b78386d2ccfc8df1362ee160a87,0.17322464336102839,controlled-middle,31006,2,31001,1.0,31002,0.1732528409090909,True,16.748855799989542,lambda=0 endpoint
6,1.0,1,0.004362861169960649,plan-c,1.0,0.9999999773502349,primary,0,321be27adaa6b18de46f154b7b19f483da8cd90548babd6e4abfb57532665fdf,6526,femnist,1e-05,11.232499100020505,25600,1655,0.254921875,4.0,31003,controlled,0.49582148194313047,5439,0.0,1.0,this-work,1.0,0,0,807205a46345f70a8bce8ce6770ffa3d758f69cd83498477bad0f4cd949a3523,15.993846153846153,handle-only-drop-residual,user_macro_accuracy,0.1180965909090909,9.214933748786253,81005,1.0,50,6526,0.06832159994519316,0.5,0.9999999773502349,0.13565659245476128,0.254921875,325,,1ff157e6e19bb70a469f3512054134ecba838394572619b67f17c7b6da38f8a7,user-certified,512.0,0.5000992555831265,0.5000961723408348,0.5,0.25002404077315127,0.5,0.5,0.5,25600,0.0,0.3992094746232033,0.0,48667c743b812b2cb3996a7f3ce947f9b3071c85533019baffe7a6caffa8d83b,0.11788681611537859,controlled-middle,31009,5,31001,1.0,31002,0.1180965909090909,True,22.783807900035754,lambda=1 endpoint
