dataset,lambda,paired_seeds,gain_over_fallback_mean,gain_over_fallback_ci_lower,gain_over_fallback_ci_upper,gain_over_fallback_positive_seed_fraction,difference_from_handle_only_mean,difference_from_handle_only_ci_lower,difference_from_handle_only_ci_upper,difference_from_handle_only_positive_seed_fraction,gain_over_naive_2c_mean,gain_over_naive_2c_ci_lower,gain_over_naive_2c_ci_upper,gain_over_naive_2c_positive_seed_fraction,handle_gain_retention,handle_gain_retention_ci_lower,handle_gain_retention_ci_upper,oracle_gap_recovery,oracle_gap_recovery_ci_lower,oracle_gap_recovery_ci_upper
femnist,0.0,10,0.0,0.0,0.0,0.0,-0.02587073863636364,-0.03717049005681818,-0.013767045454545454,0.1,-0.008088068181818184,-0.025738742897727273,0.008720312499999982,0.4,0.0,0.0,0.0,0.0,0.0,0.0
femnist,0.1,10,-0.008454545454545454,-0.015081321022727273,-0.003468749999999994,0.0,-0.03432528409090909,-0.049196200284090906,-0.019528409090909096,0.1,-0.01654261363636364,-0.030679403409090908,-0.0025568181818181853,0.3,-0.3267995387909734,-0.6137414441155222,-0.13720542727921906,-0.03044158713597446,-0.0589826476151702,-0.010911030247058423
femnist,0.14285714285714285,10,-0.006299715909090909,-0.011063920454545451,-0.0024900213068181853,0.1,-0.032170454545454544,-0.0458935369318182,-0.018157492897727293,0.1,-0.014387784090909092,-0.02921033380681818,-0.0001192826704545565,0.4,-0.24350738483500795,-0.44952883528081383,-0.09889982790861597,-0.022682869446916457,-0.04366955938877193,-0.007920965445421826
femnist,0.25,10,-0.0014232954545454536,-0.002938920454545449,0.0002642400568181812,0.2,-0.02729403409090909,-0.03833526278409091,-0.015502840909090904,0.1,-0.009511363636363637,-0.02629261363636364,0.006414843749999991,0.5,-0.055015648163399725,-0.1589544907050886,0.009421926697741263,-0.005124742995673117,-0.01180631022081584,0.0009903000933139314
femnist,0.5,10,0.00871306818181818,0.003589488636363633,0.01388078835227271,0.8,-0.01715767045454546,-0.02475429687500001,-0.009346555397727283,0.1,0.000624999999999995,-0.018235795454545456,0.019030397727272677,0.6,0.33679240103222957,0.21270168760682331,0.4443364485563666,0.03137242867810271,0.012108241972111505,0.055302172293815725
femnist,0.75,10,0.016901988636363642,0.00859375,0.024707386363636362,0.9,-0.008968750000000001,-0.013218750000000001,-0.004781250000000001,0.1,0.008813920454545456,-0.011000781250000001,0.028096874999999976,0.6,0.653324548399495,0.5719452419043595,0.7224588539229907,0.060857601702110256,0.02923522514569339,0.09865697219509051
femnist,0.9,10,0.021901988636363633,0.011249999999999998,0.03207961647727273,0.9,-0.003968750000000004,-0.005750000000000005,-0.002218359375000034,0.1,0.013813920454545447,-0.006750568181818189,0.033800142045454507,0.6,0.8465930928457692,0.791439124130299,0.8889788588618297,0.07886069086854673,0.038808664136930286,0.12431561983915122
femnist,1.0,10,0.02587073863636364,0.013767045454545454,0.03717049005681818,0.9,0.0,0.0,0.0,0.0,0.017782670454545457,-0.0036280539772727224,0.03875582386363633,0.7,1.0,1.0,1.0,0.09315064289440574,0.04755370859349785,0.14621882653974955
synthea,0.0,10,0.0,0.0,0.0,0.0,-0.046927207060191295,-0.056737040687838095,-0.0364596434602334,0.0,-0.04431615152246306,-0.06077184346059764,-0.028308139212800204,0.0,0.0,0.0,0.0,0.0,0.0,0.0
synthea,0.1,10,-0.004279785846361262,-0.006707237767895931,-0.002102725932747664,0.0,-0.05120699290655256,-0.06174056462088608,-0.039532803966056115,0.0,-0.04859593736882432,-0.06573609172664918,-0.031571121716406275,0.0,-0.09120052341644334,-0.1414885024341959,-0.0475090827086724,-0.055391464111997975,-0.09324637935937231,-0.026306730552627014
synthea,0.14285714285714285,10,-0.002351648671526116,-0.0037812438880521796,-0.0010189061060271007,0.1,-0.04927885573171741,-0.05944148275192059,-0.03821887625208289,0.0,-0.04666780019398917,-0.06354398753340053,-0.030080091181035936,0.0,-0.050112691950956474,-0.07847979774804968,-0.022940074047645104,-0.030436397443488125,-0.05185956371338642,-0.01278152857202389
synthea,0.25,10,0.0035607687343688745,0.001984262046333782,0.005583443784481392,1.0,-0.04336643832582242,-0.0531810648115649,-0.033331644326191075,0.0,-0.04075538278809417,-0.05733542147288638,-0.024828281500913797,0.0,0.07587855654400327,0.0436521536314097,0.12044068501222917,0.04608552872537095,0.02495221963057328,0.07801560156582726
synthea,0.5,10,0.015266485011135329,0.010646294393598278,0.020978701375437107,1.0,-0.03166072204905597,-0.04188821950228807,-0.02185369210094122,0.0,-0.02904966651132772,-0.04587176066246004,-0.013092003699705701,0.2,0.3253226852293539,0.23137078607174502,0.45482705803800844,0.19758768007741026,0.13179816396293467,0.29627544779827975
synthea,0.75,10,0.031508360356059174,0.023998986162436918,0.03818230211011599,1.0,-0.015418846704132124,-0.021233162067680507,-0.01065563606761989,0.0,-0.01280779116640388,-0.025576359177582567,-0.0012478297448134665,0.2,0.6714305480751263,0.5943790704099267,0.7474721831270794,0.4077994260797948,0.310425211953856,0.5167622044319804
synthea,0.9,10,0.04166683425579564,0.03198624904300471,0.050380470595837376,1.0,-0.005260372804395658,-0.007360208841088044,-0.0035332903291010725,0.0,-0.0026493172666674112,-0.012171347521677985,0.006313831543295539,0.5,0.8879035609843896,0.8535107161022228,0.9216697932107862,0.5392762715692322,0.42469270401264114,0.6490738028576453
synthea,1.0,10,0.046927207060191295,0.036459643460233386,0.05673704068783809,1.0,0.0,0.0,0.0,0.0,0.002611055537728246,-0.00563542532755298,0.0107417889127956,0.6,1.0,1.0,1.0,0.607359059323238,0.4890170997377672,0.7143992214593573
