dataset,lambda,frontier_source,seeds,metric_name,metric_mean,metric_std,metric_ci_lower,metric_ci_upper,effective_record_utilization_mean,partial_handle_record_fraction_mean,residual_record_fraction_mean,gradient_distortion_l2_mean,certified_sensitivity_mean
femnist,0.0,lambda=0 endpoint,10,user_macro_accuracy,0.13685085227272725,0.04330498328562362,0.11092379261363637,0.16146171874999998,1.0,0.0,1.0,0.8408343974649906,1.0
femnist,0.1,fixed descriptive grid,10,user_macro_accuracy,0.12839630681818182,0.03785987954321531,0.10570593039772727,0.14965063920454547,1.0,0.25111328125,0.7488867187499999,0.8867618135809897,1.0
femnist,0.14285714285714285,equal-allocation ablation,10,user_macro_accuracy,0.13055113636363638,0.03950524900812094,0.10699264914772727,0.1528806818181818,1.0,0.25111328125,0.74888671875,0.8751264453232288,1.0
femnist,0.25,fixed descriptive grid,10,user_macro_accuracy,0.1354275568181818,0.04270325774134367,0.10990621448863637,0.15945205965909087,1.0,0.25111328125,0.74888671875,0.8495684337615966,1.0
femnist,0.5,fixed descriptive grid,10,user_macro_accuracy,0.14556392045454544,0.046599169346015865,0.11792574573863636,0.1722856889204545,1.0,0.25111328125,0.74888671875,0.8077888377010822,1.0
femnist,0.75,fixed descriptive grid,10,user_macro_accuracy,0.1537528409090909,0.046846427146408125,0.12569580965909088,0.18102993607954543,1.0,0.25111328125,0.74888671875,0.7819137847870589,1.0
femnist,0.9,fixed descriptive grid,10,user_macro_accuracy,0.1587528409090909,0.046195546658191276,0.13138196022727272,0.18559414062499993,1.0,0.25111328125000004,0.74888671875,0.7731633522063495,1.0
femnist,1.0,lambda=1 endpoint,10,user_macro_accuracy,0.1627215909090909,0.04650592246471494,0.1351120383522727,0.18919332386363633,0.25111328125,0.25111328125,0.0,0.768349353864789,1.0
synthea,0.0,lambda=0 endpoint,10,patient_or_user_auprc,0.20368568712151336,0.018078645257248175,0.193485820463499,0.21442276325324605,1.0,0.0,1.0,0.7028840578868987,1.0
synthea,0.1,fixed descriptive grid,10,patient_or_user_auprc,0.19940590127515206,0.014743344604397007,0.19091883316054867,0.2081386317106237,1.0,0.41224609375,0.58775390625,0.638505160421133,1.0
synthea,0.14285714285714285,equal-allocation ablation,10,patient_or_user_auprc,0.20133403844998723,0.015991488007676347,0.19201586445931923,0.2109246407366477,1.0,0.41224609375,0.58775390625,0.6691015595793723,1.0
synthea,0.25,fixed descriptive grid,10,patient_or_user_auprc,0.2072464558558822,0.02064349748791354,0.1954776461429691,0.21944890317228571,1.0,0.41224609375,0.58775390625,0.7086302004009484,1.0
synthea,0.5,fixed descriptive grid,10,patient_or_user_auprc,0.21895217213264867,0.025713645588119186,0.2044026162123488,0.2344752740685884,1.0,0.41224609375,0.5877539062499999,0.6907617457136512,1.0
synthea,0.75,fixed descriptive grid,10,patient_or_user_auprc,0.2351940474775725,0.028573995164192123,0.2183935028628213,0.25145175302279377,1.0,0.41224609375000004,0.5877539062499999,0.5759689192473888,1.0
synthea,0.9,fixed descriptive grid,10,patient_or_user_auprc,0.24535252137730898,0.030480348981204327,0.22650557097448745,0.26251645014116975,1.0,0.41224609375000004,0.5877539062499999,0.5010184224285186,1.0
synthea,1.0,lambda=1 endpoint,10,patient_or_user_auprc,0.2506128941817046,0.03076154371027288,0.23167708870334933,0.2677891655374624,0.41224609375000004,0.41224609375000004,0.0,0.45156964522600174,1.0
