seed,n_units,dimension,share_seconds,party_aggregate_seconds,reconstruction_seconds,measured_compute_seconds,payload_bytes,response_bytes,total_communication_bytes,lan_1gbps_projected_seconds,wan_100mbps_projected_seconds,max_fixed_point_error,backend,threat_model
0,1000,128,0.0018471000075805932,0.0001795999996829778,2.7999922167509794e-06,0.002029499999480322,2048000,2048,2050048,0.016900384,0.18400384,0,two-party additive sharing over uint64,"semi-honest, at most one non-colluding aggregation party"
1,1000,128,0.0010658999963197857,0.00017290000687353313,2.3000029614195228e-06,0.0012411000061547384,2048000,2048,2050048,0.016900384,0.18400384,0,two-party additive sharing over uint64,"semi-honest, at most one non-colluding aggregation party"
2,1000,128,0.0006971999973757192,0.00017099999240599573,1.8999999156221747e-06,0.0008700999896973372,2048000,2048,2050048,0.016900384,0.18400384,0,two-party additive sharing over uint64,"semi-honest, at most one non-colluding aggregation party"
3,1000,128,0.0006493999972008169,0.00016670001787133515,1.7999991541728377e-06,0.0008179000142263249,2048000,2048,2050048,0.016900384,0.18400384,0,two-party additive sharing over uint64,"semi-honest, at most one non-colluding aggregation party"
4,1000,128,0.0006548999954247847,0.00016870000399649143,1.7999991541728377e-06,0.000825399998575449,2048000,2048,2050048,0.016900384,0.18400384,0,two-party additive sharing over uint64,"semi-honest, at most one non-colluding aggregation party"
0,1000,1024,0.007637499991687946,0.0014427999849431217,4.2000028770416975e-06,0.00908449997950811,16384000,16384,16400384,0.131703072,1.3320307200000001,0,two-party additive sharing over uint64,"semi-honest, at most one non-colluding aggregation party"
1,1000,1024,0.007395099994027987,0.0013532000011764467,4.1000021155923605e-06,0.008752399997320026,16384000,16384,16400384,0.131703072,1.3320307200000001,0,two-party additive sharing over uint64,"semi-honest, at most one non-colluding aggregation party"
2,1000,1024,0.007337300005019642,0.0013291999930515885,4.0000013541430235e-06,0.008670499999425374,16384000,16384,16400384,0.131703072,1.3320307200000001,0,two-party additive sharing over uint64,"semi-honest, at most one non-colluding aggregation party"
3,1000,1024,0.007440699992002919,0.0012340999965090305,3.7999998312443495e-06,0.008678599988343194,16384000,16384,16400384,0.131703072,1.3320307200000001,0,two-party additive sharing over uint64,"semi-honest, at most one non-colluding aggregation party"
4,1000,1024,0.007238199992571026,0.0014402000088011846,4.2000028770416975e-06,0.008682600004249252,16384000,16384,16400384,0.131703072,1.3320307200000001,0,two-party additive sharing over uint64,"semi-honest, at most one non-colluding aggregation party"
0,10000,128,0.00549289995979052,0.0016919999761739746,2.3000029614195228e-06,0.0071871999389259145,20480000,2048,20482048,0.164356384,1.65856384,0,two-party additive sharing over uint64,"semi-honest, at most one non-colluding aggregation party"
1,10000,128,0.005747699993662536,0.001785299988114275,2.3000029614195228e-06,0.007535299984738231,20480000,2048,20482048,0.164356384,1.65856384,0,two-party additive sharing over uint64,"semi-honest, at most one non-colluding aggregation party"
2,10000,128,0.00739979998616036,0.0016653999336995184,2.6000052457675338e-06,0.009067799925105646,20480000,2048,20482048,0.164356384,1.65856384,0,two-party additive sharing over uint64,"semi-honest, at most one non-colluding aggregation party"
3,10000,128,0.005777000027592294,0.0016728000482544303,2.9999937396496534e-06,0.007452800069586374,20480000,2048,20482048,0.164356384,1.65856384,0,two-party additive sharing over uint64,"semi-honest, at most one non-colluding aggregation party"
4,10000,128,0.005491399977472611,0.0016705999878467992,2.3000029614195228e-06,0.0071642999682808295,20480000,2048,20482048,0.164356384,1.65856384,0,two-party additive sharing over uint64,"semi-honest, at most one non-colluding aggregation party"
0,10000,1024,0.07845500003895722,0.014646400028141215,9.2999980552122e-06,0.09311070006515365,163840000,16384,163856384,1.311351072,13.12851072,0,two-party additive sharing over uint64,"semi-honest, at most one non-colluding aggregation party"
1,10000,1024,0.08121019996178802,0.014813500005402602,4.899993655271828e-06,0.0960285999608459,163840000,16384,163856384,1.311351072,13.12851072,0,two-party additive sharing over uint64,"semi-honest, at most one non-colluding aggregation party"
2,10000,1024,0.0814031000045361,0.015079099961440079,5.099995178170502e-06,0.09648729996115435,163840000,16384,163856384,1.311351072,13.12851072,0,two-party additive sharing over uint64,"semi-honest, at most one non-colluding aggregation party"
3,10000,1024,0.07809699996141717,0.014397499995538965,4.2000028770416975e-06,0.09249869995983317,163840000,16384,163856384,1.311351072,13.12851072,0,two-party additive sharing over uint64,"semi-honest, at most one non-colluding aggregation party"
4,10000,1024,0.07695690001128241,0.014936299994587898,5.699999746866524e-06,0.09189890000561718,163840000,16384,163856384,1.311351072,13.12851072,0,two-party additive sharing over uint64,"semi-honest, at most one non-colluding aggregation party"
0,100000,128,0.051339100042241625,0.01673630005097948,3.4999975468963385e-06,0.068078900090768,204800000,2048,204802048,1.6389163839999998,16.40416384,0,two-party additive sharing over uint64,"semi-honest, at most one non-colluding aggregation party"
1,100000,128,0.05208120003226213,0.01695629999449011,3.3999967854470015e-06,0.06904090002353769,204800000,2048,204802048,1.6389163839999998,16.40416384,0,two-party additive sharing over uint64,"semi-honest, at most one non-colluding aggregation party"
2,100000,128,0.05243420018814504,0.01705609995406121,5.0000089686363935e-06,0.06949530015117489,204800000,2048,204802048,1.6389163839999998,16.40416384,0,two-party additive sharing over uint64,"semi-honest, at most one non-colluding aggregation party"
3,100000,128,0.05238220002502203,0.017292999997152947,9.800001862458885e-06,0.06968500002403744,204800000,2048,204802048,1.6389163839999998,16.40416384,0,two-party additive sharing over uint64,"semi-honest, at most one non-colluding aggregation party"
4,100000,128,0.05296589998761192,0.01720010003191419,4.5000051613897085e-06,0.0701705000246875,204800000,2048,204802048,1.6389163839999998,16.40416384,0,two-party additive sharing over uint64,"semi-honest, at most one non-colluding aggregation party"
0,100000,1024,0.8188187000196194,0.14439600011974107,4.9000082071870565e-06,0.9632196001475677,1638400000,16384,1638416384,13.107831072,131.09331072,0,two-party additive sharing over uint64,"semi-honest, at most one non-colluding aggregation party"
1,100000,1024,0.8492866999440594,0.14909979990625288,1.0000003385357559e-05,0.9983964998536976,1638400000,16384,1638416384,13.107831072,131.09331072,0,two-party additive sharing over uint64,"semi-honest, at most one non-colluding aggregation party"
2,100000,1024,0.817403299806756,0.1435753998666769,5.1000097300857306e-06,0.9609837996831629,1638400000,16384,1638416384,13.107831072,131.09331072,0,two-party additive sharing over uint64,"semi-honest, at most one non-colluding aggregation party"
3,100000,1024,0.7913962000166066,0.13800480007193983,5.599998985417187e-06,0.9294066000875318,1638400000,16384,1638416384,13.107831072,131.09331072,0,two-party additive sharing over uint64,"semi-honest, at most one non-colluding aggregation party"
4,100000,1024,0.7633950000890763,0.1317212000139989,5.199995939619839e-06,0.8951214000990149,1638400000,16384,1638416384,13.107831072,131.09331072,0,two-party additive sharing over uint64,"semi-honest, at most one non-colluding aggregation party"
