scope,people,records,threshold,candidate_recall,mean_candidates,retained_edges,pair_precision,pair_recall,pair_f1,components,largest_component,deletion_wur_mean_over_c,deletion_wur_p99_over_c,deletion_wur_max_over_c,max_changed_survivor_records,edge_build_seconds,evaluate_seconds
county,10000,20000,0.7,0.9682,69.2754,8196,0.9426646175670884,0.7974,0.8639687957094099,11853,8,1.263,3.0,5.0,7.0,6.3793946000078,0.0393659000110346
county,10000,20000,0.8,0.9682,69.2754,7256,0.982916495831625,0.7192,0.8306288618120923,12753,4,1.308,2.009999999999991,4.0,2.0,6.3793946000078,0.0371481000038329
county,10000,20000,0.9,0.9682,69.2754,5071,0.9968491532099252,0.5062,0.6714418357872397,14930,4,1.498,2.0,2.0,2.0,6.3793946000078,0.0328658999933395
county,25000,50000,0.7,0.95068,111.72912,20463,0.8915481400437637,0.78228,0.8333475370717573,29775,17,1.268,3.0,5.0,16.0,25.58941680000862,0.0933605000027455
county,25000,50000,0.8,0.95068,111.72912,17884,0.9699636923753988,0.70528,0.8167122145537079,32154,6,1.3,3.0,4.0,5.0,25.58941680000862,0.089228799988632
county,25000,50000,0.9,0.95068,111.72912,12338,0.9959556741891128,0.49252,0.6591012498996333,37666,4,1.498,2.0,2.0,2.0,25.58941680000862,0.0801575999939814
county,50000,100000,0.7,0.936,148.08466,40797,0.8524495932083481,0.77116,0.8097698252688171,59763,24,1.285,3.0,8.0,23.0,67.443975400005,0.1926261000044178
county,50000,100000,0.8,0.936,148.08466,35498,0.9558253894123788,0.69586,0.8053841969421651,64622,9,1.32,3.0,5.0,8.0,67.443975400005,0.1834711999981664
county,50000,100000,0.9,0.936,148.08466,24259,0.9940816242653404,0.48374,0.6507917288883507,75750,4,1.486,2.0,2.0,2.0,67.443975400005,0.1631306000053882
statewide,50000,100000,0.7,0.96854,76.51478,40547,0.9683743699108182,0.79918,0.875679347826087,59531,14,1.212,2.0,3.0,3.0,34.941724599993904,0.1738619999960065
statewide,50000,100000,0.8,0.96854,76.51478,35972,0.997806043101533,0.71858,0.8354804204260069,64032,4,1.262,2.0,3.0,2.0,34.941724599993904,0.1638614999974379
statewide,50000,100000,0.9,0.96854,76.51478,24816,0.9997985333225884,0.49626,0.6632895827207356,75184,3,1.5,2.0,2.0,0.0,34.941724599993904,0.1447484000091208
statewide,100000,200000,0.7,0.9609,138.98769,81755,0.8967086953092429,0.79582,0.8432574477215773,118626,74,1.233,3.0,4.0,8.0,124.47681080001348,0.3507855999923777
statewide,100000,200000,0.8,0.9609,138.98769,71805,0.9958159577425632,0.71639,0.8333023147609632,128214,5,1.284,2.0,3.0,2.0,124.47681080001348,0.3513052999915089
statewide,100000,200000,0.9,0.9609,138.98769,49554,0.99957628828538,0.49541,0.6624811115122826,150448,4,1.515,2.0,2.0,0.0,124.47681080001348,0.3063201999902958
statewide,250000,500000,0.7,0.909168,202.835268,202289,0.7441422093122069,0.770592,0.7571361758822212,299941,178,1.257,3.0,4.0,111.0,455.21082940000633,0.8813746999949217
statewide,250000,500000,0.8,0.909168,202.835268,175322,0.9921760474550848,0.698484,0.8198207503321612,324752,6,1.303,2.0,3.0,2.0,455.21082940000633,0.8497487999993609
statewide,250000,500000,0.9,0.909168,202.835268,122386,0.9992648620391094,0.489344,0.6569680956753825,377620,4,1.487,2.0,2.0,0.0,455.21082940000633,0.7550085999973817
