dataset,replicate,seed,method,round,epsilon,metric_name,metric_value
femnist,0,100,unitscope-lambda-sweep,0,0.0,user_macro_accuracy,0.15671875
femnist,0,100,unitscope-lambda-sweep,10,1.7096469091901927,user_macro_accuracy,0.10953125
femnist,0,100,unitscope-lambda-sweep,20,2.456862121625803,user_macro_accuracy,0.1428125
femnist,0,100,unitscope-lambda-sweep,30,3.0456862121625807,user_macro_accuracy,0.1553125
femnist,0,100,unitscope-lambda-sweep,40,3.5289407275705784,user_macro_accuracy,0.10796875
femnist,0,100,unitscope-lambda-sweep,50,4.0,user_macro_accuracy,0.12
femnist,0,100,naive-recalibrated-2c,0,0.0,user_macro_accuracy,0.15671875
femnist,0,100,naive-recalibrated-2c,10,1.7096469091901927,user_macro_accuracy,0.0996875
femnist,0,100,naive-recalibrated-2c,20,2.456862121625803,user_macro_accuracy,0.13234375
femnist,0,100,naive-recalibrated-2c,30,3.0456862121625807,user_macro_accuracy,0.17734375
femnist,0,100,naive-recalibrated-2c,40,3.5289407275705784,user_macro_accuracy,0.121875
femnist,0,100,naive-recalibrated-2c,50,4.0,user_macro_accuracy,0.10203125
femnist,0,100,handle-only-drop-residual,0,0.0,user_macro_accuracy,0.15671875
femnist,0,100,handle-only-drop-residual,10,1.7096469091901927,user_macro_accuracy,0.11046875
femnist,0,100,handle-only-drop-residual,20,2.456862121625803,user_macro_accuracy,0.15046875
femnist,0,100,handle-only-drop-residual,30,3.0456862121625807,user_macro_accuracy,0.15625
femnist,0,100,handle-only-drop-residual,40,3.5289407275705784,user_macro_accuracy,0.11
femnist,0,100,handle-only-drop-residual,50,4.0,user_macro_accuracy,0.12265625
femnist,0,100,stable-local-fallback,0,0.0,user_macro_accuracy,0.15671875
femnist,0,100,stable-local-fallback,10,1.7096469091901927,user_macro_accuracy,0.10390625
femnist,0,100,stable-local-fallback,20,2.456862121625803,user_macro_accuracy,0.1021875
femnist,0,100,stable-local-fallback,30,3.0456862121625807,user_macro_accuracy,0.15109375
femnist,0,100,stable-local-fallback,40,3.5289407275705784,user_macro_accuracy,0.10265625
femnist,0,100,stable-local-fallback,50,4.0,user_macro_accuracy,0.1128125
femnist,1,101,unitscope-lambda-sweep,0,0.0,user_macro_accuracy,0.09421875
femnist,1,101,unitscope-lambda-sweep,10,1.7096469091901927,user_macro_accuracy,0.08328125
femnist,1,101,unitscope-lambda-sweep,20,2.456862121625803,user_macro_accuracy,0.09390625
femnist,1,101,unitscope-lambda-sweep,30,3.0456862121625807,user_macro_accuracy,0.13109375
femnist,1,101,unitscope-lambda-sweep,40,3.5289407275705784,user_macro_accuracy,0.1071875
femnist,1,101,unitscope-lambda-sweep,50,4.0,user_macro_accuracy,0.1725
femnist,1,101,handle-only-drop-residual,0,0.0,user_macro_accuracy,0.09421875
femnist,1,101,handle-only-drop-residual,10,1.7096469091901927,user_macro_accuracy,0.08296875
femnist,1,101,handle-only-drop-residual,20,2.456862121625803,user_macro_accuracy,0.093125
femnist,1,101,handle-only-drop-residual,30,3.0456862121625807,user_macro_accuracy,0.12875
femnist,1,101,handle-only-drop-residual,40,3.5289407275705784,user_macro_accuracy,0.113125
femnist,1,101,handle-only-drop-residual,50,4.0,user_macro_accuracy,0.17265625
femnist,1,101,naive-recalibrated-2c,0,0.0,user_macro_accuracy,0.09421875
femnist,1,101,naive-recalibrated-2c,10,1.7096469091901927,user_macro_accuracy,0.145625
femnist,1,101,naive-recalibrated-2c,20,2.456862121625803,user_macro_accuracy,0.1575
femnist,1,101,naive-recalibrated-2c,30,3.0456862121625807,user_macro_accuracy,0.103125
femnist,1,101,naive-recalibrated-2c,40,3.5289407275705784,user_macro_accuracy,0.120625
femnist,1,101,naive-recalibrated-2c,50,4.0,user_macro_accuracy,0.146875
femnist,1,101,stable-local-fallback,0,0.0,user_macro_accuracy,0.09421875
femnist,1,101,stable-local-fallback,10,1.7096469091901927,user_macro_accuracy,0.08921875
femnist,1,101,stable-local-fallback,20,2.456862121625803,user_macro_accuracy,0.09421875
femnist,1,101,stable-local-fallback,30,3.0456862121625807,user_macro_accuracy,0.12640625
femnist,1,101,stable-local-fallback,40,3.5289407275705784,user_macro_accuracy,0.08296875
femnist,1,101,stable-local-fallback,50,4.0,user_macro_accuracy,0.15390625
femnist,2,102,unitscope-lambda-sweep,0,0.0,user_macro_accuracy,0.11203125
