dataset,replicate,seed,method,active_residual_units,residual_clip_saturation_rate,residual_norm_share,round,saturated_residual_units
femnist,0,100,stable-local-fallback,403,1.0,1.0,1,403
femnist,0,100,stable-local-fallback,404,1.0,1.0,2,404
femnist,0,100,stable-local-fallback,422,1.0,1.0,3,422
femnist,0,100,stable-local-fallback,407,1.0,1.0,4,407
femnist,0,100,stable-local-fallback,408,1.0,1.0,5,408
femnist,0,100,stable-local-fallback,401,1.0,1.0,6,401
femnist,0,100,stable-local-fallback,414,1.0,1.0,7,414
femnist,0,100,stable-local-fallback,397,1.0,1.0,8,397
femnist,0,100,stable-local-fallback,403,1.0,1.0,9,403
femnist,0,100,stable-local-fallback,413,1.0,1.0,10,413
femnist,0,100,stable-local-fallback,404,1.0,1.0,11,404
femnist,0,100,stable-local-fallback,416,1.0,1.0,12,416
femnist,0,100,stable-local-fallback,412,1.0,1.0,13,412
femnist,0,100,stable-local-fallback,395,1.0,1.0,14,395
femnist,0,100,stable-local-fallback,401,1.0,1.0,15,401
femnist,0,100,stable-local-fallback,396,1.0,1.0,16,396
femnist,0,100,stable-local-fallback,420,1.0,1.0,17,420
femnist,0,100,stable-local-fallback,414,1.0,1.0,18,414
femnist,0,100,stable-local-fallback,410,1.0,1.0,19,410
femnist,0,100,stable-local-fallback,413,1.0,1.0,20,413
femnist,0,100,stable-local-fallback,408,1.0,1.0,21,408
femnist,0,100,stable-local-fallback,398,1.0,1.0,22,398
femnist,0,100,stable-local-fallback,406,1.0,1.0,23,406
femnist,0,100,stable-local-fallback,410,1.0,1.0,24,410
femnist,0,100,stable-local-fallback,402,1.0,1.0,25,402
femnist,0,100,stable-local-fallback,406,1.0,1.0,26,406
femnist,0,100,stable-local-fallback,408,1.0,1.0,27,408
femnist,0,100,stable-local-fallback,409,1.0,1.0,28,409
femnist,0,100,stable-local-fallback,418,1.0,1.0,29,418
femnist,0,100,stable-local-fallback,408,1.0,1.0,30,408
femnist,0,100,stable-local-fallback,418,1.0,1.0,31,418
femnist,0,100,stable-local-fallback,412,1.0,1.0,32,412
femnist,0,100,stable-local-fallback,411,1.0,1.0,33,411
femnist,0,100,stable-local-fallback,408,1.0,1.0,34,408
femnist,0,100,stable-local-fallback,410,1.0,1.0,35,410
femnist,0,100,stable-local-fallback,409,1.0,1.0,36,409
femnist,0,100,stable-local-fallback,408,1.0,1.0,37,408
femnist,0,100,stable-local-fallback,421,1.0,1.0,38,421
femnist,0,100,stable-local-fallback,412,1.0,1.0,39,412
femnist,0,100,stable-local-fallback,418,1.0,1.0,40,418
femnist,0,100,stable-local-fallback,423,1.0,1.0,41,423
femnist,0,100,stable-local-fallback,419,1.0,1.0,42,419
femnist,0,100,stable-local-fallback,393,1.0,1.0,43,393
femnist,0,100,stable-local-fallback,415,1.0,1.0,44,415
femnist,0,100,stable-local-fallback,410,1.0,1.0,45,410
femnist,0,100,stable-local-fallback,419,1.0,1.0,46,419
femnist,0,100,stable-local-fallback,415,1.0,1.0,47,415
femnist,0,100,stable-local-fallback,407,1.0,1.0,48,407
femnist,0,100,stable-local-fallback,432,1.0,1.0,49,432
femnist,0,100,stable-local-fallback,419,1.0,1.0,50,419
femnist,0,100,unitscope-lambda-sweep,301,1.0,0.03966007238420408,1,301
femnist,0,100,unitscope-lambda-sweep,312,1.0,0.04102897066725681,2,312
femnist,0,100,unitscope-lambda-sweep,332,1.0,0.037769873900726676,3,332
femnist,0,100,unitscope-lambda-sweep,313,1.0,0.04395092291646031,4,313
femnist,0,100,unitscope-lambda-sweep,322,1.0,0.03710487009723612,5,322
femnist,0,100,unitscope-lambda-sweep,320,1.0,0.040190680720586236,6,320
femnist,0,100,unitscope-lambda-sweep,332,1.0,0.039225632898586354,7,332
femnist,0,100,unitscope-lambda-sweep,318,1.0,0.03957382053403821,8,318
