dataset,replicate,seed,method,metric_name,metric_value,residual_norm_share,residual_clip_saturation_rate,residual_only_subgroup_metric,residual_only_subgroup_people,residual_only_subgroup_records,effective_record_utilization,partial_handle_record_fraction,residual_record_fraction,residual_clip_fraction,clip_fraction,noise_multiplier,epsilon,delta,rounds,run_id,config_hash,manifest_hash
femnist,0,100,stable-local-fallback,user_macro_accuracy,0.1128125,1.0,1.0,0.1084375,100,3200,1.0,0.0,1.0,0.9999999952316284,0.9999999952316284,9.214933748786253,4.0,1e-05,,3bb85ae7ed216805b0a4109afc45b81fdffe89ab3a1a3043b2529ba703032d40,fbbb4b77206a000273ac05d586dbfa85484ef085ea8e0cc1966386211916d045,c1b73a169d16ea41f1c2717d354b461b65370766e4d12e28c94cd87fb6bef074
femnist,0,100,unitscope-lambda-sweep,user_macro_accuracy,0.12,0.041724968295562624,1.0,0.1146875,100,3200,1.0,0.250234375,0.749765625,0.9999999880790711,0.9999999856948852,9.214933748786253,4.0,1e-05,,727eae802c6ce613e178585ebeadffe0b9ac4217f3c5663fec3d3f76dd79a48d,fbbb4b77206a000273ac05d586dbfa85484ef085ea8e0cc1966386211916d045,c1b73a169d16ea41f1c2717d354b461b65370766e4d12e28c94cd87fb6bef074
femnist,0,100,naive-recalibrated-2c,user_macro_accuracy,0.10203125,0.3025682445670138,1.0,0.09875,100,3200,1.0,0.250234375,0.749765625,0.9999999880790711,0.9999535822868347,9.214933748786253,4.0,1e-05,,7795ff947892f7900b30bf0bda28309685a0c85885ddfa9314df87851017b8b8,fbbb4b77206a000273ac05d586dbfa85484ef085ea8e0cc1966386211916d045,c1b73a169d16ea41f1c2717d354b461b65370766e4d12e28c94cd87fb6bef074
femnist,0,100,handle-only-drop-residual,user_macro_accuracy,0.12265625,0.0,,0.1171875,100,3200,0.250234375,0.250234375,0.0,0.0,0.9999999856948852,9.214933748786253,4.0,1e-05,,e8f391b1f1027f6cd69b9f1e6ea637e0542f68f600eba31c41f1fd6e91913211,fbbb4b77206a000273ac05d586dbfa85484ef085ea8e0cc1966386211916d045,c1b73a169d16ea41f1c2717d354b461b65370766e4d12e28c94cd87fb6bef074
femnist,1,101,handle-only-drop-residual,user_macro_accuracy,0.17265625,0.0,,0.169375,100,3200,0.2530859375,0.2530859375,0.0,0.0,0.9999999833106995,9.214933748786253,4.0,1e-05,,121259c7755a65ccd7b048a5f4e2bac7a43c0394df787c467066b042e6a2100b,76930f26628f64251e1fd97be55f5bad2360ecf59d458badf7a9301931d2a143,5481636b3c724063910f9379851037c0bc21c57cf730a63acefaca8ffa416542
femnist,1,101,naive-recalibrated-2c,user_macro_accuracy,0.146875,0.3195169404600638,1.0,0.1465625,100,3200,1.0,0.2530859375,0.7469140625,0.9999999868869781,0.9999517893791199,9.214933748786253,4.0,1e-05,,13d20f665681594153971716333b3257cde1aaf911fd4077c7bf1560a09ae9ec,76930f26628f64251e1fd97be55f5bad2360ecf59d458badf7a9301931d2a143,5481636b3c724063910f9379851037c0bc21c57cf730a63acefaca8ffa416542
femnist,1,101,unitscope-lambda-sweep,user_macro_accuracy,0.1725,0.04553968973400728,1.0,0.169375,100,3200,1.0,0.2530859375,0.7469140625,0.9999999868869781,0.9999999821186065,9.214933748786253,4.0,1e-05,,c4287bf4295e10656236c96b639896d70bb795f4f8075a7f075dea1f233eed09,76930f26628f64251e1fd97be55f5bad2360ecf59d458badf7a9301931d2a143,5481636b3c724063910f9379851037c0bc21c57cf730a63acefaca8ffa416542
femnist,1,101,stable-local-fallback,user_macro_accuracy,0.15375,1.0,1.0,0.1515625,100,3200,1.0,0.0,1.0,0.9999999952316284,0.9999999952316284,9.214933748786253,4.0,1e-05,,d54605d18c3fe526b9c9c04b6d784a46057a51fe9857a10b697b1010db0523ea,76930f26628f64251e1fd97be55f5bad2360ecf59d458badf7a9301931d2a143,5481636b3c724063910f9379851037c0bc21c57cf730a63acefaca8ffa416542
femnist,2,102,naive-recalibrated-2c,user_macro_accuracy,0.10796875,0.31880516591369956,0.9994355243351731,0.100625,100,3200,1.0,0.2533203125,0.7466796875,0.9994387078285217,0.9992910957336426,9.214933748786253,4.0,1e-05,,17c5f374666d442bd84d559a74ea1863acdf5c9516395311820b629cff182863,fc94f0b0ca333c0d59e89f5b00206c7e5528db39ab640b9079045ff6fbde717a,533aac9e15e3d540f0b4a6dbeaf308564280abd006bbb764dacd171553ac2939
femnist,2,102,unitscope-lambda-sweep,user_macro_accuracy,0.168125,0.044328969204881025,1.0,0.170625,100,3200,1.0,0.2533203125,0.7466796875,0.9999999856948852,0.9999999773502349,9.214933748786253,4.0,1e-05,,7d1a867e10664d8a201f344403ab4fd6955dfbb42f31546f625eb32e8d3ba554,fc94f0b0ca333c0d59e89f5b00206c7e5528db39ab640b9079045ff6fbde717a,533aac9e15e3d540f0b4a6dbeaf308564280abd006bbb764dacd171553ac2939
