dataset,replicate,seed,method,metric_name,metric_value,people,records
femnist,0,100,stable-local-fallback,writer_macro_accuracy,0.1084375,100,3200
femnist,0,100,unitscope-lambda-sweep,writer_macro_accuracy,0.1146875,100,3200
femnist,0,100,naive-recalibrated-2c,writer_macro_accuracy,0.09875,100,3200
femnist,0,100,handle-only-drop-residual,writer_macro_accuracy,0.1171875,100,3200
femnist,1,101,handle-only-drop-residual,writer_macro_accuracy,0.169375,100,3200
femnist,1,101,naive-recalibrated-2c,writer_macro_accuracy,0.1465625,100,3200
femnist,1,101,unitscope-lambda-sweep,writer_macro_accuracy,0.169375,100,3200
femnist,1,101,stable-local-fallback,writer_macro_accuracy,0.1515625,100,3200
femnist,2,102,naive-recalibrated-2c,writer_macro_accuracy,0.100625,100,3200
femnist,2,102,unitscope-lambda-sweep,writer_macro_accuracy,0.170625,100,3200
femnist,2,102,stable-local-fallback,writer_macro_accuracy,0.156875,100,3200
femnist,2,102,handle-only-drop-residual,writer_macro_accuracy,0.1703125,100,3200
femnist,3,103,stable-local-fallback,writer_macro_accuracy,0.105,100,3200
femnist,3,103,unitscope-lambda-sweep,writer_macro_accuracy,0.1315625,100,3200
femnist,3,103,handle-only-drop-residual,writer_macro_accuracy,0.134375,100,3200
femnist,3,103,naive-recalibrated-2c,writer_macro_accuracy,0.14125,100,3200
femnist,4,104,unitscope-lambda-sweep,writer_macro_accuracy,0.1790625,100,3200
femnist,4,104,naive-recalibrated-2c,writer_macro_accuracy,0.1678125,100,3200
femnist,4,104,handle-only-drop-residual,writer_macro_accuracy,0.184375,100,3200
femnist,4,104,stable-local-fallback,writer_macro_accuracy,0.166875,100,3200
femnist,5,105,handle-only-drop-residual,writer_macro_accuracy,0.175,100,3200
femnist,5,105,unitscope-lambda-sweep,writer_macro_accuracy,0.168125,100,3200
femnist,5,105,naive-recalibrated-2c,writer_macro_accuracy,0.17375,100,3200
femnist,5,105,stable-local-fallback,writer_macro_accuracy,0.125,100,3200
femnist,6,106,unitscope-lambda-sweep,writer_macro_accuracy,0.23705357142857142,100,3175
femnist,6,106,naive-recalibrated-2c,writer_macro_accuracy,0.19593214285714286,100,3175
femnist,6,106,stable-local-fallback,writer_macro_accuracy,0.19776607142857142,100,3175
femnist,6,106,handle-only-drop-residual,writer_macro_accuracy,0.24174107142857143,100,3175
femnist,7,107,stable-local-fallback,writer_macro_accuracy,0.1453125,100,3200
femnist,7,107,handle-only-drop-residual,writer_macro_accuracy,0.2103125,100,3200
femnist,7,107,naive-recalibrated-2c,writer_macro_accuracy,0.208125,100,3200
femnist,7,107,unitscope-lambda-sweep,writer_macro_accuracy,0.209375,100,3200
femnist,8,108,unitscope-lambda-sweep,writer_macro_accuracy,0.1196875,100,3200
femnist,8,108,naive-recalibrated-2c,writer_macro_accuracy,0.08875,100,3200
femnist,8,108,handle-only-drop-residual,writer_macro_accuracy,0.120625,100,3200
femnist,8,108,stable-local-fallback,writer_macro_accuracy,0.1,100,3200
femnist,9,109,naive-recalibrated-2c,writer_macro_accuracy,0.115625,100,3200
femnist,9,109,handle-only-drop-residual,writer_macro_accuracy,0.141875,100,3200
femnist,9,109,stable-local-fallback,writer_macro_accuracy,0.09875,100,3200
femnist,9,109,unitscope-lambda-sweep,writer_macro_accuracy,0.135,100,3200
femnist,10,110,naive-recalibrated-2c,writer_macro_accuracy,0.1459375,100,3200
femnist,10,110,stable-local-fallback,writer_macro_accuracy,0.1315625,100,3200
femnist,10,110,handle-only-drop-residual,writer_macro_accuracy,0.18125,100,3200
femnist,10,110,unitscope-lambda-sweep,writer_macro_accuracy,0.1709375,100,3200
femnist,11,111,naive-recalibrated-2c,writer_macro_accuracy,0.1228125,100,3200
femnist,11,111,unitscope-lambda-sweep,writer_macro_accuracy,0.116875,100,3200
femnist,11,111,handle-only-drop-residual,writer_macro_accuracy,0.116875,100,3200
femnist,11,111,stable-local-fallback,writer_macro_accuracy,0.1084375,100,3200
femnist,12,112,naive-recalibrated-2c,writer_macro_accuracy,0.1271875,100,3200
femnist,12,112,stable-local-fallback,writer_macro_accuracy,0.11625,100,3200
femnist,12,112,unitscope-lambda-sweep,writer_macro_accuracy,0.1359375,100,3200
femnist,12,112,handle-only-drop-residual,writer_macro_accuracy,0.1403125,100,3200
femnist,13,113,handle-only-drop-residual,writer_macro_accuracy,0.1171875,100,3200
femnist,13,113,unitscope-lambda-sweep,writer_macro_accuracy,0.1175,100,3200
femnist,13,113,naive-recalibrated-2c,writer_macro_accuracy,0.085,100,3200
